,cell_type,gene,effect,age,sex,mean,hdi_2.5%,hdi_97.5%,FC,FC_ratio,term
0,Olfactory astrocytes,Odf2,mtDSB_at_age×sex,21,female,-0.019033531516479036,-0.6373705137230782,0.5889212389525406,1.0311143261686189,,"beta[21] (mtDSB effect @ age, sex=female)"
1,Olfactory astrocytes,Odf2,mtDSB_at_age×sex,21,male,-0.06890807683492786,-0.8193094557714969,0.659628612771116,1.0048256697243485,,"beta[21] (mtDSB effect @ age, sex=male)"
2,Olfactory astrocytes,Odf2,mtDSB_at_age×sex,60,female,-0.956195197947063,-1.7418019397138191,-0.011393947565498427,0.4253623827108462,,"beta[60] (mtDSB effect @ age, sex=female)"
3,Olfactory astrocytes,Odf2,mtDSB_at_age×sex,60,male,-1.6022817661141235,-2.403223583910791,-0.5284926109957521,0.2295880210644903,,"beta[60] (mtDSB effect @ age, sex=male)"
4,Olfactory astrocytes,Odf2,age_interaction(old-young) within sex,60-21,female,-0.9371616664305839,-1.6692639089264403,-0.09395315849380002,,0.427003000807959,age_interaction(60-21) (within sex=female)
5,Olfactory astrocytes,Odf2,age_interaction(old-young) within sex,60-21,male,-1.5333736892791958,-2.4244864507044626,-0.4132065591262182,,0.24886393858793054,age_interaction(60-21) (within sex=male)
6,Olfactory astrocytes,Odf2,sex_interaction(sex2-sex1) within age,21,male-female,-0.049874545318448815,-0.7440695822466319,0.6750690767037548,,1.018389690486161,sex_interaction(male-female) (within age=21)
7,Olfactory astrocytes,Odf2,sex_interaction(sex2-sex1) within age,60,male-female,-0.6460865681670606,-1.533019618159744,0.294307919115809,,0.5863427115904977,sex_interaction(male-female) (within age=60)
8,Olfactory astrocytes,Sox8,mtDSB_at_age×sex,21,female,-0.1821620294111954,-0.8378208407893617,0.4267344505530178,0.8769774578527879,,"beta[21] (mtDSB effect @ age, sex=female)"
9,Olfactory astrocytes,Sox8,mtDSB_at_age×sex,21,male,-0.36498287168999705,-1.123424956342101,0.36923067292808437,0.7449736121054029,,"beta[21] (mtDSB effect @ age, sex=male)"
10,Olfactory astrocytes,Sox8,mtDSB_at_age×sex,60,female,-1.06000141073787,-1.9117943537563236,-0.14330029570230088,0.3847927973191172,,"beta[60] (mtDSB effect @ age, sex=female)"
11,Olfactory astrocytes,Sox8,mtDSB_at_age×sex,60,male,-2.117374236635062,-3.0360870512375584,-0.8059209978304887,0.14462293849227217,,"beta[60] (mtDSB effect @ age, sex=male)"
12,Olfactory astrocytes,Sox8,age_interaction(old-young) within sex,60-21,female,-0.8778393813266746,-1.7155742016186293,0.004549827359710318,,0.457313467550086,age_interaction(60-21) (within sex=female)
13,Olfactory astrocytes,Sox8,age_interaction(old-young) within sex,60-21,male,-1.752391364945065,-2.8344373781527508,-0.47058429000325297,,0.2124949514735953,age_interaction(60-21) (within sex=male)
14,Olfactory astrocytes,Sox8,sex_interaction(sex2-sex1) within age,21,male-female,-0.18282084227880166,-0.8822835024833938,0.5122861328676906,,0.8883326399227892,sex_interaction(male-female) (within age=21)
15,Olfactory astrocytes,Sox8,sex_interaction(sex2-sex1) within age,60,male-female,-1.0573728258971922,-1.9801877655511397,0.024541684667878004,,0.39620784642755597,sex_interaction(male-female) (within age=60)
16,Olfactory astrocytes,Lama5,mtDSB_at_age×sex,21,female,-0.04043275008730252,-0.6745336893644315,0.5830277707525489,1.0108480302588057,,"beta[21] (mtDSB effect @ age, sex=female)"
17,Olfactory astrocytes,Lama5,mtDSB_at_age×sex,21,male,-0.039093072728554376,-0.7322688279886912,0.6701945114186345,1.0283425287351078,,"beta[21] (mtDSB effect @ age, sex=male)"
18,Olfactory astrocytes,Lama5,mtDSB_at_age×sex,60,female,-0.969408353724661,-1.744672224488833,-0.05142982098546068,0.41735305000131895,,"beta[60] (mtDSB effect @ age, sex=female)"
19,Olfactory astrocytes,Lama5,mtDSB_at_age×sex,60,male,-1.404713857685847,-2.2097538279695614,-0.37752683607209264,0.27680367347088464,,"beta[60] (mtDSB effect @ age, sex=male)"
20,Olfactory astrocytes,Lama5,age_interaction(old-young) within sex,60-21,female,-0.9289756036373585,-1.706227413385548,-0.09600555972533563,,0.4294983778253421,age_interaction(60-21) (within sex=female)
21,Olfactory astrocytes,Lama5,age_interaction(old-young) within sex,60-21,male,-1.365620784957293,-2.256618470158795,-0.3315598215526717,,0.29010664796530533,age_interaction(60-21) (within sex=male)
22,Olfactory astrocytes,Lama5,sex_interaction(sex2-sex1) within age,21,male-female,0.0013396773587481406,-0.6917932643549961,0.7161741711654142,,1.0709984908862271,sex_interaction(male-female) (within age=21)
23,Olfactory astrocytes,Lama5,sex_interaction(sex2-sex1) within age,60,male-female,-0.43530550396118617,-1.2916047288876369,0.5037943864425287,,0.7203398176005423,sex_interaction(male-female) (within age=60)
24,Olfactory astrocytes,Ccnd2,mtDSB_at_age×sex,21,female,-0.07614988011176745,-0.8353161232782848,0.6477620398858436,0.9989337707239226,,"beta[21] (mtDSB effect @ age, sex=female)"
25,Olfactory astrocytes,Ccnd2,mtDSB_at_age×sex,21,male,-0.3246826149893185,-1.271953079257387,0.6183758728257553,0.809235577364225,,"beta[21] (mtDSB effect @ age, sex=male)"
26,Olfactory astrocytes,Ccnd2,mtDSB_at_age×sex,60,female,-0.47725993552726775,-1.5329719694539352,0.6021259156595394,0.7180578283666705,,"beta[60] (mtDSB effect @ age, sex=female)"
27,Olfactory astrocytes,Ccnd2,mtDSB_at_age×sex,60,male,-0.9423494703595066,-2.1754492473898632,0.35784289026934574,0.48114893726218555,,"beta[60] (mtDSB effect @ age, sex=male)"
28,Olfactory astrocytes,Ccnd2,age_interaction(old-young) within sex,60-21,female,-0.4011100554155003,-1.2385222425613087,0.4770392856440291,,0.7375017785037715,age_interaction(60-21) (within sex=female)
29,Olfactory astrocytes,Ccnd2,age_interaction(old-young) within sex,60-21,male,-0.6176668553701882,-1.7394077738756155,0.5369482723125767,,0.6367137815505077,age_interaction(60-21) (within sex=male)
30,Olfactory astrocytes,Ccnd2,sex_interaction(sex2-sex1) within age,21,male-female,-0.24853273487755104,-1.053604816551719,0.5894522110486929,,0.8505693698718627,sex_interaction(male-female) (within age=21)
31,Olfactory astrocytes,Ccnd2,sex_interaction(sex2-sex1) within age,60,male-female,-0.46508953483223886,-1.574876972486998,0.6390127071029015,,0.7319045985356174,sex_interaction(male-female) (within age=60)
32,Olfactory astrocytes,Nrp2,mtDSB_at_age×sex,21,female,-0.14137108301850915,-0.8270748129288672,0.6300518697902284,0.9260159981722524,,"beta[21] (mtDSB effect @ age, sex=female)"
33,Olfactory astrocytes,Nrp2,mtDSB_at_age×sex,21,male,-0.19657973481553992,-1.1550375673470474,0.6556464183106382,0.9228700262321031,,"beta[21] (mtDSB effect @ age, sex=male)"
