,cell_type,gene,effect,age,sex,mean,hdi_2.5%,hdi_97.5%,FC,FC_ratio,term
0,Telencephalon astrocytes,Gtf2e2,mtDSB_at_age×sex,21,female,0.13503654721995295,-0.6670966631946876,0.9249248184976587,1.2397939322239964,,"beta[21] (mtDSB effect @ age, sex=female)"
1,Telencephalon astrocytes,Gtf2e2,mtDSB_at_age×sex,21,male,0.14253195242039812,-0.7905781154335025,1.0893896189277792,1.2986259781833953,,"beta[21] (mtDSB effect @ age, sex=male)"
2,Telencephalon astrocytes,Gtf2e2,mtDSB_at_age×sex,60,female,-0.30052864484246306,-1.2992729503207523,0.7620707254000865,0.8553018157380243,,"beta[60] (mtDSB effect @ age, sex=female)"
3,Telencephalon astrocytes,Gtf2e2,mtDSB_at_age×sex,60,male,-0.588881485814003,-1.8077261195484877,0.7393154725534483,0.6886553299293577,,"beta[60] (mtDSB effect @ age, sex=male)"
4,Telencephalon astrocytes,Gtf2e2,age_interaction(old-young) within sex,60-21,female,-0.43556519206241595,-1.326032375481871,0.494704581910478,,0.7179388296059958,age_interaction(60-21) (within sex=female)
5,Telencephalon astrocytes,Gtf2e2,age_interaction(old-young) within sex,60-21,male,-0.7314134382344012,-1.9299947664596913,0.5195319479831918,,0.5854063138227873,age_interaction(60-21) (within sex=male)
6,Telencephalon astrocytes,Gtf2e2,sex_interaction(sex2-sex1) within age,21,male-female,0.007495405200445148,-0.8215619819054766,0.8010978717060314,,1.0979898914673236,sex_interaction(male-female) (within age=21)
7,Telencephalon astrocytes,Gtf2e2,sex_interaction(sex2-sex1) within age,60,male-female,-0.28835284097154,-1.4131829917807301,0.8281097298128146,,0.8827616545884897,sex_interaction(male-female) (within age=60)
8,Telencephalon astrocytes,Cxcl12,mtDSB_at_age×sex,21,female,-0.34281979899459347,-1.1143848266679839,0.4411902320359682,0.7683861816074994,,"beta[21] (mtDSB effect @ age, sex=female)"
9,Telencephalon astrocytes,Cxcl12,mtDSB_at_age×sex,21,male,-0.5604640470177178,-1.4746946310735052,0.4271581388055827,0.6455596765951518,,"beta[21] (mtDSB effect @ age, sex=male)"
10,Telencephalon astrocytes,Cxcl12,mtDSB_at_age×sex,60,female,0.20508298655034346,-0.8177314222121662,1.1945434392520005,1.4009757361126047,,"beta[60] (mtDSB effect @ age, sex=female)"
11,Telencephalon astrocytes,Cxcl12,mtDSB_at_age×sex,60,male,0.26103448790018025,-0.9767545988391911,1.4561566780627024,1.5586044576681701,,"beta[60] (mtDSB effect @ age, sex=male)"
12,Telencephalon astrocytes,Cxcl12,age_interaction(old-young) within sex,60-21,female,0.5479027855449371,-0.35433249962856084,1.4395004797135371,,1.922771013806549,age_interaction(60-21) (within sex=female)
13,Telencephalon astrocytes,Cxcl12,age_interaction(old-young) within sex,60-21,male,0.821498534917898,-0.376418782660107,1.9939515263082634,,2.7271445906598437,age_interaction(60-21) (within sex=male)
14,Telencephalon astrocytes,Cxcl12,sex_interaction(sex2-sex1) within age,21,male-female,-0.2176442480231242,-1.0475866378339045,0.6296005735900042,,0.8764399606569809,sex_interaction(male-female) (within age=21)
15,Telencephalon astrocytes,Cxcl12,sex_interaction(sex2-sex1) within age,60,male-female,0.05595150134983678,-1.0330223376088798,1.1005237512636608,,1.2294416911628492,sex_interaction(male-female) (within age=60)
16,Telencephalon astrocytes,Csk,mtDSB_at_age×sex,21,female,0.4135994239912797,-0.40167520052460326,1.185147992067572,1.6384676815798216,,"beta[21] (mtDSB effect @ age, sex=female)"
17,Telencephalon astrocytes,Csk,mtDSB_at_age×sex,21,male,0.5656489812446807,-0.4629351151970514,1.508030583489191,1.988599087653648,,"beta[21] (mtDSB effect @ age, sex=male)"
18,Telencephalon astrocytes,Csk,mtDSB_at_age×sex,60,female,0.20817825312955976,-0.811959950607209,1.2333187178318368,1.4105159206247886,,"beta[60] (mtDSB effect @ age, sex=female)"
19,Telencephalon astrocytes,Csk,mtDSB_at_age×sex,60,male,0.06021309600666033,-1.117507968286747,1.230741063239484,1.275647812748141,,"beta[60] (mtDSB effect @ age, sex=male)"
20,Telencephalon astrocytes,Csk,age_interaction(old-young) within sex,60-21,female,-0.20542117086172,-1.0550018714460687,0.6722997844610901,,0.8970171421152934,age_interaction(60-21) (within sex=female)
