,cell_type,gene,effect,age,sex,mean,hdi_2.5%,hdi_97.5%,FC,FC_ratio,term
0,Oligodendrocytes precursor cells,Ets2,mtDSB_at_age×sex,21,female,0.14014570072759927,-0.6297050849998821,0.8308198292401083,1.231761570920366,,"beta[21] (mtDSB effect @ age, sex=female)"
1,Oligodendrocytes precursor cells,Ets2,mtDSB_at_age×sex,21,male,0.31077612688396755,-0.6159436029806865,1.1727246408462555,1.5158407796357443,,"beta[21] (mtDSB effect @ age, sex=male)"
2,Oligodendrocytes precursor cells,Ets2,mtDSB_at_age×sex,60,female,-0.6686774478093005,-1.631184298739987,0.3579178429223489,0.5862718021914507,,"beta[60] (mtDSB effect @ age, sex=female)"
3,Oligodendrocytes precursor cells,Ets2,mtDSB_at_age×sex,60,male,-0.7515202758455709,-1.8371057475576986,0.42890577131536,0.5558487392511455,,"beta[60] (mtDSB effect @ age, sex=male)"
4,Oligodendrocytes precursor cells,Ets2,age_interaction(old-young) within sex,60-21,female,-0.8088231485368996,-1.7134655748741416,0.12977283276639612,,0.497750401009571,age_interaction(60-21) (within sex=female)
5,Oligodendrocytes precursor cells,Ets2,age_interaction(old-young) within sex,60-21,male,-1.0622964027295385,-2.1279602099265413,0.08590304222450208,,0.41006817039258775,age_interaction(60-21) (within sex=male)
6,Oligodendrocytes precursor cells,Ets2,sex_interaction(sex2-sex1) within age,21,male-female,0.17063042615636836,-0.6066044619301654,0.9592908710416913,,1.287666775403566,sex_interaction(male-female) (within age=21)
7,Oligodendrocytes precursor cells,Ets2,sex_interaction(sex2-sex1) within age,60,male-female,-0.08284282803627051,-1.1162386680301164,0.9338574776055644,,1.0530894263790482,sex_interaction(male-female) (within age=60)
8,Oligodendrocytes precursor cells,Bhlhe40,mtDSB_at_age×sex,21,female,0.10627963365188497,-0.6574227248619801,0.8833739237432129,1.1977236889124758,,"beta[21] (mtDSB effect @ age, sex=female)"
9,Oligodendrocytes precursor cells,Bhlhe40,mtDSB_at_age×sex,21,male,0.01950721939264254,-0.9361647287056586,0.9775353129142635,1.1471129883793665,,"beta[21] (mtDSB effect @ age, sex=male)"
10,Oligodendrocytes precursor cells,Bhlhe40,mtDSB_at_age×sex,60,female,-0.14257639147601475,-1.1697208689094232,0.9493462975178052,1.0030190645199013,,"beta[60] (mtDSB effect @ age, sex=female)"
11,Oligodendrocytes precursor cells,Bhlhe40,mtDSB_at_age×sex,60,male,-0.3402518050025086,-1.5891804211767535,0.912322317604471,0.8718920648065418,,"beta[60] (mtDSB effect @ age, sex=male)"
12,Oligodendrocytes precursor cells,Bhlhe40,age_interaction(old-young) within sex,60-21,female,-0.24885602512789973,-1.1223228820415552,0.640508839433268,,0.8616681142862924,age_interaction(60-21) (within sex=female)
13,Oligodendrocytes precursor cells,Bhlhe40,age_interaction(old-young) within sex,60-21,male,-0.3597590243951512,-1.4283775040826634,0.7623413292007275,,0.824260607247904,age_interaction(60-21) (within sex=male)
14,Oligodendrocytes precursor cells,Bhlhe40,sex_interaction(sex2-sex1) within age,21,male-female,-0.08677241425924245,-0.891834775302581,0.759002986728428,,1.0030402922661161,sex_interaction(male-female) (within age=21)
15,Oligodendrocytes precursor cells,Bhlhe40,sex_interaction(sex2-sex1) within age,60,male-female,-0.19767541352649384,-1.2890177075031248,0.9583611514315564,,0.9717850181945792,sex_interaction(male-female) (within age=60)
16,Oligodendrocytes precursor cells,Cdkn2d,mtDSB_at_age×sex,21,female,0.19026213905226644,-0.6115879362088888,0.9740944630403944,1.3113550320521359,,"beta[21] (mtDSB effect @ age, sex=female)"
17,Oligodendrocytes precursor cells,Cdkn2d,mtDSB_at_age×sex,21,male,0.3013500383813033,-0.7287988224385894,1.2719495025664627,1.5344327276428744,,"beta[21] (mtDSB effect @ age, sex=male)"
18,Oligodendrocytes precursor cells,Cdkn2d,mtDSB_at_age×sex,60,female,-0.23144060310493456,-1.2557808737090188,0.862013229479148,0.9178604869656255,,"beta[60] (mtDSB effect @ age, sex=female)"
19,Oligodendrocytes precursor cells,Cdkn2d,mtDSB_at_age×sex,60,male,-0.1964347132677803,-1.4297297078216162,1.1032112253105344,1.0110826282359282,,"beta[60] (mtDSB effect @ age, sex=male)"
20,Oligodendrocytes precursor cells,Cdkn2d,age_interaction(old-young) within sex,60-21,female,-0.42170274215720105,-1.312120828794994,0.469093946789439,,0.7295259613216779,age_interaction(60-21) (within sex=female)
21,Oligodendrocytes precursor cells,Cdkn2d,age_interaction(old-young) within sex,60-21,male,-0.49778475164908365,-1.632776454362817,0.6954964046477108,,0.7303491846398783,age_interaction(60-21) (within sex=male)
22,Oligodendrocytes precursor cells,Cdkn2d,sex_interaction(sex2-sex1) within age,21,male-female,0.1110878993290369,-0.6985510956197049,0.9324077116900966,,1.2204333467216097,sex_interaction(male-female) (within age=21)
23,Oligodendrocytes precursor cells,Cdkn2d,sex_interaction(sex2-sex1) within age,60,male-female,0.03500588983715426,-1.1053990076925826,1.1800227470092273,,1.2167769465814597,sex_interaction(male-female) (within age=60)
24,Oligodendrocytes precursor cells,S100a10,mtDSB_at_age×sex,21,female,-0.018845881497596445,-0.757126697932813,0.6878836971488654,1.0501174546251852,,"beta[21] (mtDSB effect @ age, sex=female)"
25,Oligodendrocytes precursor cells,S100a10,mtDSB_at_age×sex,21,male,0.07869353014639774,-0.7896490472394115,0.9314257813660167,1.1932447637285541,,"beta[21] (mtDSB effect @ age, sex=male)"
26,Oligodendrocytes precursor cells,S100a10,mtDSB_at_age×sex,60,female,0.7694604550775912,-0.23260828042210177,1.6902366229444825,2.4389037716718893,,"beta[60] (mtDSB effect @ age, sex=female)"
27,Oligodendrocytes precursor cells,S100a10,mtDSB_at_age×sex,60,male,1.1465157466758635,-0.04377350473445394,2.2048906735342824,3.6860389347265854,,"beta[60] (mtDSB effect @ age, sex=male)"
28,Oligodendrocytes precursor cells,S100a10,age_interaction(old-young) within sex,60-21,female,0.7883063365751878,-0.13938675301060655,1.6471637231274034,,2.4393989827065687,age_interaction(60-21) (within sex=female)
29,Oligodendrocytes precursor cells,S100a10,age_interaction(old-young) within sex,60-21,male,1.0678222165294657,-0.09259999185475412,2.088765786387383,,3.389266800131194,age_interaction(60-21) (within sex=male)
30,Oligodendrocytes precursor cells,S100a10,sex_interaction(sex2-sex1) within age,21,male-female,0.09753941164399418,-0.6996644492307913,0.8776028108511902,,1.1946243932535836,sex_interaction(male-female) (within age=21)
31,Oligodendrocytes precursor cells,S100a10,sex_interaction(sex2-sex1) within age,60,male-female,0.3770552915982723,-0.7241732080959903,1.422294553993385,,1.6856137153100648,sex_interaction(male-female) (within age=60)
32,Oligodendrocytes precursor cells,Nfix,mtDSB_at_age×sex,21,female,-0.7545508846344551,-1.4830129824178984,0.03012442157418019,0.5065333737168914,,"beta[21] (mtDSB effect @ age, sex=female)"
33,Oligodendrocytes precursor cells,Nfix,mtDSB_at_age×sex,21,male,-1.134868473347387,-1.9979063292155907,-0.15533327311949155,0.36202209948244596,,"beta[21] (mtDSB effect @ age, sex=male)"
34,Oligodendrocytes precursor cells,Nfix,mtDSB_at_age×sex,60,female,-0.2406544762504378,-1.1349109050219877,0.6076452440260673,0.8654392177223783,,"beta[60] (mtDSB effect @ age, sex=female)"
35,Oligodendrocytes precursor cells,Nfix,mtDSB_at_age×sex,60,male,-0.30322848680974823,-1.2656933547844973,0.6313855506364067,0.8271548251094969,,"beta[60] (mtDSB effect @ age, sex=male)"
36,Oligodendrocytes precursor cells,Nfix,age_interaction(old-young) within sex,60-21,female,0.5138964083840173,-0.33358424680656856,1.2979231938268883,,1.8268313699185357,age_interaction(60-21) (within sex=female)
37,Oligodendrocytes precursor cells,Nfix,age_interaction(old-young) within sex,60-21,male,0.8316399865376387,-0.2694823139958295,1.8178467663930036,,2.6451290725331402,age_interaction(60-21) (within sex=male)
38,Oligodendrocytes precursor cells,Nfix,sex_interaction(sex2-sex1) within age,21,male-female,-0.380317588712932,-1.1208333584576635,0.3581798906686829,,0.7350049682363551,sex_interaction(male-female) (within age=21)
39,Oligodendrocytes precursor cells,Nfix,sex_interaction(sex2-sex1) within age,60,male-female,-0.06257401055931047,-1.0295586805272434,0.8848461809270718,,1.0558712297195938,sex_interaction(male-female) (within age=60)
40,Oligodendrocytes precursor cells,S1pr2,mtDSB_at_age×sex,21,female,0.006822049259151281,-0.7420219726192351,0.772561839652858,1.0886104136835901,,"beta[21] (mtDSB effect @ age, sex=female)"
41,Oligodendrocytes precursor cells,S1pr2,mtDSB_at_age×sex,21,male,-0.07050256389625605,-1.0622555058839056,0.8890887568063066,1.0537584081885174,,"beta[21] (mtDSB effect @ age, sex=male)"
42,Oligodendrocytes precursor cells,S1pr2,mtDSB_at_age×sex,60,female,-0.4289671617211486,-1.4512198744779699,0.6716769119282556,0.7559515530075183,,"beta[60] (mtDSB effect @ age, sex=female)"
43,Oligodendrocytes precursor cells,S1pr2,mtDSB_at_age×sex,60,male,-0.7165214615872398,-1.9425590417465926,0.5983432373391965,0.6039104586723456,,"beta[60] (mtDSB effect @ age, sex=male)"
44,Oligodendrocytes precursor cells,S1pr2,age_interaction(old-young) within sex,60-21,female,-0.43578921098029993,-1.3041499833269892,0.4412893975860651,,0.7128038569466485,age_interaction(60-21) (within sex=female)
45,Oligodendrocytes precursor cells,S1pr2,age_interaction(old-young) within sex,60-21,male,-0.6460188976909838,-1.7573465523081755,0.484569248459386,,0.6227205605477002,age_interaction(60-21) (within sex=male)
46,Oligodendrocytes precursor cells,S1pr2,sex_interaction(sex2-sex1) within age,21,male-female,-0.07732461315540734,-0.9257646557297395,0.7574806826918336,,1.0130511703758023,sex_interaction(male-female) (within age=21)
47,Oligodendrocytes precursor cells,S1pr2,sex_interaction(sex2-sex1) within age,60,male-female,-0.2875542998660912,-1.4062689982196102,0.8340984625446521,,0.8769445943606531,sex_interaction(male-female) (within age=60)
48,Oligodendrocytes precursor cells,Kmt2b,mtDSB_at_age×sex,21,female,0.03245092135497488,-0.7312515172984606,0.7654868373380251,1.1062564276757885,,"beta[21] (mtDSB effect @ age, sex=female)"
49,Oligodendrocytes precursor cells,Kmt2b,mtDSB_at_age×sex,21,male,0.10943283503251877,-0.8331800434163353,1.0099154371661179,1.2447949796146605,,"beta[21] (mtDSB effect @ age, sex=male)"
50,Oligodendrocytes precursor cells,Kmt2b,mtDSB_at_age×sex,60,female,-0.6590489122404485,-1.6260238621329095,0.32240399683193866,0.584213676374864,,"beta[60] (mtDSB effect @ age, sex=female)"
51,Oligodendrocytes precursor cells,Kmt2b,mtDSB_at_age×sex,60,male,-1.0466063945217479,-2.093806434177335,0.14237546681177377,0.4170821277420885,,"beta[60] (mtDSB effect @ age, sex=male)"
52,Oligodendrocytes precursor cells,Kmt2b,age_interaction(old-young) within sex,60-21,female,-0.6914998335954234,-1.5252641279095864,0.1719506450396868,,0.5525860336492402,age_interaction(60-21) (within sex=female)
53,Oligodendrocytes precursor cells,Kmt2b,age_interaction(old-young) within sex,60-21,male,-1.1560392295542665,-2.2774259531909147,0.0336210418288359,,0.3734329140575436,age_interaction(60-21) (within sex=male)
54,Oligodendrocytes precursor cells,Kmt2b,sex_interaction(sex2-sex1) within age,21,male-female,0.07698191367754388,-0.7604594424647244,0.8554749266120173,,1.1712081803807906,sex_interaction(male-female) (within age=21)
55,Oligodendrocytes precursor cells,Kmt2b,sex_interaction(sex2-sex1) within age,60,male-female,-0.3875574822812993,-1.378049906937011,0.6480799298089939,,0.7778072770709853,sex_interaction(male-female) (within age=60)
56,Oligodendrocytes precursor cells,Sh3bp2,mtDSB_at_age×sex,21,female,0.14741099175549138,-0.6226521778191326,0.8777039082464104,1.245019952912807,,"beta[21] (mtDSB effect @ age, sex=female)"
57,Oligodendrocytes precursor cells,Sh3bp2,mtDSB_at_age×sex,21,male,0.4353441505529531,-0.5550825425717084,1.3807932630989819,1.7452666128281726,,"beta[21] (mtDSB effect @ age, sex=male)"
58,Oligodendrocytes precursor cells,Sh3bp2,mtDSB_at_age×sex,60,female,-0.38006335136133645,-1.3688000258289483,0.6259389750409606,0.7819885478232904,,"beta[60] (mtDSB effect @ age, sex=female)"
