,cell_type,gene,effect,age,sex,mean,hdi_2.5%,hdi_97.5%,FC,FC_ratio,term
0,Mature oligodendrocytes,C1ql1,mtDSB_at_age×sex,21,female,0.11876766860996371,-0.6246311210055597,0.8450225456764725,1.2093078686452126,,"beta[21] (mtDSB effect @ age, sex=female)"
1,Mature oligodendrocytes,C1ql1,mtDSB_at_age×sex,21,male,0.17154974323197036,-0.9403033650803007,1.2688822970009594,1.389082892502485,,"beta[21] (mtDSB effect @ age, sex=male)"
2,Mature oligodendrocytes,C1ql1,mtDSB_at_age×sex,60,female,0.43511966596286544,-0.6963521027705133,1.5838559386172295,1.804333837883617,,"beta[60] (mtDSB effect @ age, sex=female)"
3,Mature oligodendrocytes,C1ql1,mtDSB_at_age×sex,60,male,0.6861469788413438,-0.9118084282815734,2.2806805515103226,2.76710767856437,,"beta[60] (mtDSB effect @ age, sex=male)"
4,Mature oligodendrocytes,C1ql1,age_interaction(old-young) within sex,60-21,female,0.31635199735290165,-0.5418898784028454,1.1052465006819105,,1.49539473993727,age_interaction(60-21) (within sex=female)
5,Mature oligodendrocytes,C1ql1,age_interaction(old-young) within sex,60-21,male,0.5145972356093734,-0.6774925084254202,1.668039733568942,,2.004710186431631,age_interaction(60-21) (within sex=male)
6,Mature oligodendrocytes,C1ql1,sex_interaction(sex2-sex1) within age,21,male-female,0.05278207462200663,-0.7732240213725704,0.8273494091279401,,1.146681641077007,sex_interaction(male-female) (within age=21)
7,Mature oligodendrocytes,C1ql1,sex_interaction(sex2-sex1) within age,60,male-female,0.25102731287847835,-0.9926147751237048,1.4113057377724156,,1.533460207840205,sex_interaction(male-female) (within age=60)
8,Mature oligodendrocytes,Nrp1,mtDSB_at_age×sex,21,female,-0.20345713400961984,-0.9312153433160006,0.5075178584399931,0.8735851124088393,,"beta[21] (mtDSB effect @ age, sex=female)"
9,Mature oligodendrocytes,Nrp1,mtDSB_at_age×sex,21,male,-0.16233838030751666,-1.2529558106050034,0.9122083276965097,0.9887144637285267,,"beta[21] (mtDSB effect @ age, sex=male)"
10,Mature oligodendrocytes,Nrp1,mtDSB_at_age×sex,60,female,0.17605880239718102,-0.9333528241459482,1.302821561583253,1.384764241852963,,"beta[60] (mtDSB effect @ age, sex=female)"
11,Mature oligodendrocytes,Nrp1,mtDSB_at_age×sex,60,male,0.4938661664178696,-1.0765471408573581,2.0669886081034656,2.258564689192997,,"beta[60] (mtDSB effect @ age, sex=male)"
12,Mature oligodendrocytes,Nrp1,age_interaction(old-young) within sex,60-21,female,0.37951593640680087,-0.4649033607197517,1.1557047484727234,,1.5885346399766287,age_interaction(60-21) (within sex=female)
13,Mature oligodendrocytes,Nrp1,age_interaction(old-young) within sex,60-21,male,0.6562045467253863,-0.5206214458483535,1.7956292319008136,,2.29809052989739,age_interaction(60-21) (within sex=male)
14,Mature oligodendrocytes,Nrp1,sex_interaction(sex2-sex1) within age,21,male-female,0.0411187537021032,-0.7696191755451324,0.8013687323463458,,1.1299123406062024,sex_interaction(male-female) (within age=21)
15,Mature oligodendrocytes,Nrp1,sex_interaction(sex2-sex1) within age,60,male-female,0.3178073640206886,-0.9062834342548294,1.4616090875004308,,1.6307779826660982,sex_interaction(male-female) (within age=60)
16,Mature oligodendrocytes,Fli1,mtDSB_at_age×sex,21,female,0.16727234716650846,-0.5504491784030914,0.8684421171497503,1.2632723295082378,,"beta[21] (mtDSB effect @ age, sex=female)"
17,Mature oligodendrocytes,Fli1,mtDSB_at_age×sex,21,male,0.29800229383780646,-0.7813466264496871,1.358253773468381,1.56141778221908,,"beta[21] (mtDSB effect @ age, sex=male)"
18,Mature oligodendrocytes,Fli1,mtDSB_at_age×sex,60,female,0.6126889501801617,-0.48232569417770843,1.726103181921281,2.135932438462557,,"beta[60] (mtDSB effect @ age, sex=female)"
19,Mature oligodendrocytes,Fli1,mtDSB_at_age×sex,60,male,1.0889157729718473,-0.46645509117457756,2.652188058745259,4.071230178833725,,"beta[60] (mtDSB effect @ age, sex=male)"
20,Mature oligodendrocytes,Fli1,age_interaction(old-young) within sex,60-21,female,0.4454166030136532,-0.3916086960105662,1.2148088643339958,,1.6942901983687173,age_interaction(60-21) (within sex=female)
21,Mature oligodendrocytes,Fli1,age_interaction(old-young) within sex,60-21,male,0.7909134791340408,-0.3775276043425479,1.9230959038373145,,2.622619284950769,age_interaction(60-21) (within sex=male)
22,Mature oligodendrocytes,Fli1,sex_interaction(sex2-sex1) within age,21,male-female,0.13072994667129798,-0.6725180172673233,0.8839563906312718,,1.2340068583497676,sex_interaction(male-female) (within age=21)
23,Mature oligodendrocytes,Fli1,sex_interaction(sex2-sex1) within age,60,male-female,0.4762268227916855,-0.7381046550612298,1.6117024250985572,,1.905749800437756,sex_interaction(male-female) (within age=60)
24,Mature oligodendrocytes,Epha4,mtDSB_at_age×sex,21,female,-0.02946492279585298,-0.7679649878705062,0.6920042018065545,1.0417245417665648,,"beta[21] (mtDSB effect @ age, sex=female)"
25,Mature oligodendrocytes,Epha4,mtDSB_at_age×sex,21,male,0.14315644598032393,-0.9633025665057198,1.2335280909524744,1.3479363648294826,,"beta[21] (mtDSB effect @ age, sex=male)"
