,Unnamed: 0,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
0,Endocrine Cells,0.06399953,0.028504627,0.986,0.014,0.014,0.014,True,Atf5
1,Endocrine Cells,0.063962676,0.02835179,0.986,0.014,0.014,0.0095,True,Erbin
3121,Endocrine Cells,0.063047394,0.028299568,0.984,0.016,0.016,0.013,True,Rbp1
372,Endocrine Cells,0.055671535,0.028283864,0.974,0.026,0.026,0.026,True,Bcam
2628,Endocrine Cells,0.054477695,0.028533185,0.969,0.031,0.031,0.031,True,Parvb
1657,Endocrine Cells,0.05364738,0.028228438,0.969,0.031,0.031,0.0155,True,Igf2
1308,Microglia,0.05253976,0.01903217,1.0,0.0,0.0,0.0,True,Gfap
1548,Endocrine Cells,0.051680647,0.028440144,0.964,0.036,0.036,0.036,True,Hexb
2258,Oligodendrocytes,0.0510629,0.010094869,1.0,0.0,0.0,0.0,True,Mt2
0,Endocrine Cells,0.05064652,0.028205164,0.96,0.04,0.04,0.04,True,Dusp6
0,Endocrine Cells,0.050011143,0.028245358,0.958,0.042,0.042,0.042,True,Cd9
1,Microglia,0.049632434,0.019163769,0.998,0.002,0.002,0.001,True,H2-D1
1092,Endocrine Cells,0.048234086,0.028351527,0.954,0.046,0.046,0.046,True,Ezr
0,Endocrine Cells,0.048100714,0.028284084,0.954,0.046,0.046,0.046,True,Itgb5
0,Endocrine Cells,0.047042258,0.028104797,0.952,0.048,0.048,0.048,True,S100a1
2136,Neural Stem Cells,0.04602659,0.020229157,0.994,0.006,0.006,0.006,True,Meis2
6,Astrocytes,0.045617472,0.019257944,0.988,0.012,0.012,0.0031428571428571,True,Mt2
1500,Oligodendrocytes,0.044402067,0.008924437,1.0,0.0,0.0,0.0,True,Gstp1
0,Endocrine Cells,0.04398566,0.028388755,0.94,0.06,0.06,0.06,False,Rhoc
1,Endocrine Cells,0.04395146,0.028254993,0.941,0.059,0.059,0.036,True,Pltp
2460,Oligodendrocytes,0.043759536,0.010017761,1.0,0.0,0.0,0.0,True,Nmu
0,Endocrine Cells,0.04330841,0.028205436,0.939,0.061,0.061,0.061,False,Calb1
1,Neural Stem Cells,0.04327956,0.020886086,0.989,0.011,0.011,0.0055,True,Cldn10
2,Oligodendrocytes,0.042920563,0.012780523,0.999,0.001,0.001,0.0003333333333333,True,Ptgds
0,Endocrine Cells,0.04284519,0.028619174,0.933,0.067,0.067,0.067,False,Il6st
1313,Astrocytes,0.042168386,0.017663447,0.988,0.012,0.012,0.0034999999999999,True,Gfap
361,Microglia,0.042128257,0.022229185,0.968,0.032,0.032,0.0165,True,B2m
1132,Endocrine Cells,0.041378316,0.028174348,0.931,0.069,0.069,0.0414,True,Fam107a
4117,Oligodendrocyte Precursor Cells,0.041356258,0.011811677,1.0,0.0,0.0,0.0,True,Hspa5
254,Endocrine Cells,0.040645473,0.02840112,0.922,0.078,0.078,0.026,True,Apod
1478,Endocrine Cells,0.04063082,0.028197266,0.926,0.074,0.074,0.0246666666666666,True,Gprc5b
3841,Endocrine Cells,0.040500496,0.02905735,0.918,0.082,0.082,0.0545,False,Tmem176a
2800,Endocrine Cells,0.039879248,0.028223807,0.92,0.08,0.08,0.0465999999999999,True,Plpp3
1825,Endocrine Cells,0.038914766,0.02833343,0.915,0.085,0.085,0.0455,True,Jun
1310,Oligodendrocyte Precursor Cells,0.03862969,0.011688897,1.0,0.0,0.0,0.0,True,Gfap
194,Neural Stem Cells,0.038536582,0.019235548,0.987,0.013,0.013,0.0076666666666666,True,Aldoc
3,Oligodendrocytes,0.03843418,0.009458955,1.0,0.0,0.0,0.0,True,Gfap
0,Microglia,0.03808479,0.020226972,0.968,0.032,0.032,0.032,True,Grn
3,Endocrine Cells,0.038030103,0.028063914,0.913,0.087,0.087,0.0427499999999999,True,Gja1
6,Neural Stem Cells,0.037770294,0.019883003,0.979,0.021,0.021,0.0059999999999999,True,Gfap
1,Endocrine Cells,0.037397426,0.02786207,0.911,0.089,0.089,0.0445,True,Il33
3877,Astrocytes,0.037059017,0.01733796,0.98,0.02,0.02,0.01,True,Tsc22d3
0,Endocrine Cells,0.036246642,0.027965289,0.904,0.096,0.096,0.096,False,Clic6
1,Endocrine Cells,0.035433315,0.028102595,0.901,0.099,0.099,0.087,False,Rnase4
5,Endocrine Cells,0.035304803,0.028872812,0.891,0.109,0.109,0.0494999999999999,True,Selenop
2844,Endocrine Cells,0.03516941,0.028299885,0.896,0.104,0.104,0.104,False,Plxnb2
1316,Endothelial Cells,0.034262266,0.030132785,0.873,0.127,0.127,0.0231111111111111,True,Gfap
3397,Oligodendrocytes,0.034073208,0.010027249,0.999,0.001,0.001,0.0005,True,Sgk1
2,Endocrine Cells,0.033986527,0.028037053,0.889,0.111,0.111,0.067,False,Mmp15
4,Neurons,0.03396899,0.013453369,0.991,0.009,0.009,0.0018,True,Gfap
4168,Neurons,0.033820864,0.012815212,0.996,0.004,0.004,0.001,True,Mt2
2390,Endocrine Cells,0.033528164,0.028075911,0.886,0.114,0.114,0.0716666666666666,False,Neat1
4,Neural Stem Cells,0.03312439,0.020715902,0.938,0.062,0.062,0.0308,True,Car2
3880,Endocrine Cells,0.03270216,0.028460411,0.874,0.126,0.126,0.057,False,Tsc22d3
0,Medium Spiny Neurons,0.03234553,0.009516925,0.999,0.001,0.001,0.001,True,Car2
1,Endocrine Cells,0.03224627,0.028107075,0.874,0.126,0.126,0.1205,False,Prelp
2261,Oligodendrocyte Precursor Cells,0.031921886,0.01182034,0.995,0.005,0.005,0.0016666666666666,True,Mt2
1317,Endocrine Cells,0.03182723,0.027911864,0.872,0.128,0.128,0.0336,True,Gfap
2,Endocrine Cells,0.031187186,0.028088799,0.86,0.14,0.14,0.101,False,Lamb2
3,Medium Spiny Neurons,0.030949496,0.009616775,0.999,0.001,0.001,0.00025,True,Mt2
565,Microglia,0.030597253,0.018823335,0.947,0.053,0.053,0.0475,True,Cd9
2,Endocrine Cells,0.030543555,0.028061075,0.858,0.142,0.142,0.1213333333333333,False,Myo1d
181,Oligodendrocytes,0.03018601,0.010173964,0.999,0.001,0.001,0.0005,True,Aldoa
2,Endocrine Cells,0.029891113,0.028147848,0.851,0.149,0.149,0.0876666666666666,False,Col1a2
1,Microglia,0.029597687,0.01884978,0.943,0.057,0.057,0.0285,True,H2-K1
2,Endocrine Cells,0.029365996,0.028122704,0.847,0.153,0.153,0.0893333333333333,False,Rnf13
