cell_class,gene,effect,age,mean,hdi_2.5%,hdi_97.5%,term
Oligodendrocytes precursor cells,Dagla,age_interaction,60–21,-0.2855025808617878,-0.49814436971827614,-0.07469266489043816,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Maz,mtDSB_at_age,21,0.17185169484465213,0.029067781154415138,0.31350316632931996,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Maz,mtDSB_at_age,60,-0.09337225896540187,-0.23897794711609513,0.05305268832254589,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Maz,age_interaction,60–21,-0.26522395381005404,-0.4746455421836579,-0.05720015804199079,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Pmch,mtDSB_at_age,21,0.4892380266970236,-1.2037135372144536,2.0397437705746073,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Pmch,mtDSB_at_age,60,-0.5836478556720186,-2.131185972486531,1.0086810430358282,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Pmch,age_interaction,60–21,-1.0728858823690424,-2.885393281390101,0.8906256826957408,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Zup1,mtDSB_at_age,21,0.20962179067161196,0.017527530887546303,0.3969195136398355,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Zup1,mtDSB_at_age,60,-0.12344103190898563,-0.30730036908209307,0.06973834478835449,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Zup1,age_interaction,60–21,-0.33306282258059766,-0.5855378635249331,-0.07026648172731387,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Ldb1,mtDSB_at_age,21,0.003662031212216498,-1.729019986594907,1.7809515889126701,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Ldb1,mtDSB_at_age,60,-0.0143249268420436,-1.6736332532178575,1.733019185236138,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Ldb1,age_interaction,60–21,-0.017986958054260094,-1.8017383601349828,1.8640733025347218,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Ephb3,mtDSB_at_age,21,0.10698054953098321,-0.08091383136086905,0.2908201136836984,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Ephb3,mtDSB_at_age,60,-0.1985389570880661,-0.3805604694023273,-0.017381010998041835,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Ephb3,age_interaction,60–21,-0.3055195066190493,-0.5694541518915901,-0.04588845970459851,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Bbs1,mtDSB_at_age,21,0.1515113005784028,-0.04505202593832069,0.37996823992999196,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Bbs1,mtDSB_at_age,60,-0.14670863082586785,-0.33424761768980926,0.05186007889098237,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Bbs1,age_interaction,60–21,-0.29821993140427067,-0.5632478062349059,-0.039210824848303065,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Cpeb4,mtDSB_at_age,21,0.01088814005328988,-1.7987934355933728,1.845618623240652,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Cpeb4,mtDSB_at_age,60,-0.012010909300292128,-1.7919251848018407,1.772515244673269,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Cpeb4,age_interaction,60–21,-0.022899049353582,-1.9168904667074065,1.90605376136301,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Cxxc1,mtDSB_at_age,21,0.11353991751126438,0.0003838663292783824,0.21922390538009404,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Cxxc1,mtDSB_at_age,60,-0.06529027763499111,-0.1705563013557516,0.03937633908593888,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Cxxc1,age_interaction,60–21,-0.1788301951462555,-0.3290154485791782,-0.025918436455536573,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Ninj2,mtDSB_at_age,21,-0.07449039799468823,-0.17737138656905377,0.02115620653940736,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Ninj2,mtDSB_at_age,60,-0.23862542762013556,-0.342886636689683,-0.130110760567804,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Ninj2,age_interaction,60–21,-0.16413502962544732,-0.3003869361917279,-0.019313049819232042,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Camsap1,mtDSB_at_age,21,0.018936449297070126,-1.72826594685172,1.715717403173803,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Camsap1,mtDSB_at_age,60,-0.012860326994852697,-1.6601870028031385,1.6596520709035718,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Camsap1,age_interaction,60–21,-0.031796776291922825,-1.8935930348127208,1.7664601778600173,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Rcc2,mtDSB_at_age,21,0.0458630664336976,-0.039639763693687435,0.13422911533773704,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Rcc2,mtDSB_at_age,60,-0.08760647066839916,-0.17143529095655413,0.0008013963564093683,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Rcc2,age_interaction,60–21,-0.13346953710209675,-0.25203259857423777,-0.008251887583131199,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Prox1,mtDSB_at_age,21,0.14313188841271085,-0.01988375960082913,0.30533077231994976,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Prox1,mtDSB_at_age,60,-0.11251350274219803,-0.27243391803741385,0.04961117781460065,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Prox1,age_interaction,60–21,-0.25564539115490886,-0.48736990913119016,-0.042045083608055055,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Cldn12,mtDSB_at_age,21,0.10863587982917629,-0.04526127166019947,0.25871133478235653,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Cldn12,mtDSB_at_age,60,-0.14450914900790954,-0.2801255904330069,-0.0027748869886798136,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Cldn12,age_interaction,60–21,-0.2531450288370859,-0.4383615130908345,-0.04362620716173919,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Dcc,mtDSB_at_age,21,0.005088562883207866,-1.506147778414391,1.4617180181944294,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Dcc,mtDSB_at_age,60,-0.030939362406598107,-1.5268146909452713,1.4919819650602295,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Dcc,age_interaction,60–21,-0.03602792528980596,-1.6022928215231362,1.5945601375125142,age_interaction(60 - 21)
Oligodendrocytes precursor cells,Ina,mtDSB_at_age,21,0.009483342793028097,-1.714245464300877,1.7436303573567382,beta[21] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Ina,mtDSB_at_age,60,0.0007120194393365815,-1.7977748477790358,1.7138471822044488,beta[60] (mtDSB effect @ age)
Oligodendrocytes precursor cells,Ina,age_interaction,60–21,-0.008771323353691513,-1.8941316280682883,1.8231673604840533,age_interaction(60 - 21)
