,fraction_cells
Npepps,0.42258195046269653
Hmgcr,0.42244978049618637
Tppp,0.4219333009347467
Slc8a1,0.4206187181139956
Pkp4,0.42053941613408946
Ahi1,0.42050281522028665
Scarb2,0.4203350610320238
Ptgds,0.4198866998379393
Rab5c,0.419675227891523
Sorl1,0.4188191731853572
Trappc10,0.41828947662726645
Cabp1,0.4182111913394104
Dbn1,0.4178695828105842
Nefl,0.41749340675205526
Pi4ka,0.4169413429688628
Brsk2,0.4155332244795045
Clk1,0.41548950672135115
Sqstm1,0.41483780711725105
Gnal,0.4146863200017894
Dlgap4,0.41447688143947325
Raf1,0.41292744275515414
Rock2,0.41189956709252507
Prpf19,0.4116372605436049
Ggnbp2,0.4113353030047317
Klc2,0.40983669892291646
Adgrl1,0.4096984288041058
Eif4g1,0.40959370952294777
Epas1,0.4083075940795989
Vps28,0.40807578829218105
Plpp3,0.4077250295349041
Sept8,0.4066046348957179
Gpm6a,0.40448178189515466
Myh10,0.40397546925421574
Gabra1,0.4030828136342471
Mib1,0.4021362733356243
Cdc37,0.40188210032310473
Itpr1,0.4018515995616024
Map2k1,0.4017997482670484
Lmo4,0.40122328387465406
Sez6l2,0.400949793713183
Marcks,0.40044958122454455
Bsn,0.4003458786354366
Camkv,0.3995010075418216
Apc,0.399427805714216
Epb41l1,0.3992671683703036
Tmem63b,0.39862461899465423
Plk2,0.398466015034842
Tubb3,0.3982250590189735
Plec,0.3975540422659219
Camk2g,0.39743203921991255
Gars,0.3968230406819157
Tcp1,0.3965302333714932
Bex3,0.3962801271271739
Stk39,0.39536612097415363
Gabrb3,0.3941887915801631
Ptpra,0.3938075320613838
Smarcc2,0.39277965639875473
Mapk9,0.3927684727862039
Kcnab2,0.3921472739436061
Kmt2e,0.39063748624924
Ddx6,0.39046363190867667
Nbr1,0.3903873800049208
Dctn2,0.39028774418401313
Nr1d1,0.3896756955698661
Sept4,0.38962892773556246
Kdm5b,0.3896065605104607
Syne1,0.3895008245372526
Map1lc3a,0.3890971977933716
Nf1,0.3883397622160633
Cdkn1b,0.3877256802178161
Ap1b1,0.38692147680620426
Pafah1b1,0.38685234174679894
Sort1,0.38625757689750323
Smdt1,0.38583259962057054
Frrs1l,0.3857939653226676
Slc12a5,0.38400763739068017
Araf,0.38388970111287113
Mpc1,0.38314548253221387
Crk,0.38127476916007
Lingo1,0.3811639497266115
Ptpn5,0.3805346173476131
Ogdh,0.3797710816180044
Ppp1r16b,0.3786059525286148
Gpr37l1,0.37837109666504676
Ncor1,0.3780894729671751
Gtf2a1,0.3775058917304302
Cit,0.37744285682332535
Eif4a3,0.37736660491956947
Mapk10,0.37717343343005466
Sdhc,0.3761679249925273
Cfap36,0.37543895679262124
Sel1l,0.3753291540512128
Coro2b,0.3749438277642332
Zfp106,0.37472727235756653
Ndn,0.37430331177268394
Cct7,0.3734025226163147
Capn2,0.37334762124561044
Cisd2,0.3728240248398202
Cttnbp2,0.3720432053453601
Hif1a,0.3712857697680519
Nrcam,0.370962461696127
Mef2a,0.37034024616147915
Atg13,0.36802625505550124
Fyn,0.3663253292557204
Immt,0.36520086784833394
Scn2a,0.3651561333981305
Cul1,0.3648673928559083
Srrm1,0.36416485864930426
Rabep1,0.3636178783263622
Rangap1,0.3632447523439835
Fbxo3,0.36252595106457824
Syngr3,0.36220264299265337
Drosha,0.362015571655439
Ptk2,0.3614970587098991
Appl1,0.36096939553590857
Slc17a7,0.3609419448505564
Msmo1,0.3587845243202905
Ddit4,0.3580728398852358
Ctnnd1,0.35803420558733284
Dnajb6,0.35763261222755194
Enah,0.35752077610204336
Cyfip1,0.3574048732083344
Adcy1,0.3570276804577554
Myo6,0.35624381088714513
Vdac2,0.35616349221518895
Spag9,0.35604657262942996
Spop,0.3557984997692109
Celsr2,0.3556073616637962
Psmd1,0.35463133729572116
Asna1,0.354121974578632
Edil3,0.3540253888338746
Dync1i2,0.35369903068579944
Dgcr2,0.3535333098816367
Amd1,0.35306563153860077
Sh3gl2,0.3514318074141251
Atl1,0.3510169970576932
Slc25a22,0.35043849928119875
Pou3f3,0.3492987874930611
Hk1,0.3492052518244539
Pitpnm1,0.34758871146482956
Mlc1,0.3475592273953773
Csnk1d,0.3474819587995714
Dnajb1,0.3466076036365041
Fgfr3,0.34642358237543996
Bnip3,0.3462080436608234
Smpd1,0.3451171330910895
Snx6,0.34502766419068265
Ptp4a1,0.34435969751378126
Ina,0.3441807597129675
Cadm1,0.34335520576830403
Mkln1,0.3419938551132493
Nfix,0.3415902283693683
Abcd3,0.3409212450004168
Arhgap35,0.34085922678536207
Mal,0.34070265620965
Appbp2,0.34064063799459526
Kcnip3,0.3400184224599474
Scn8a,0.33949584274620725
Mast3,0.33939315684914934
Mboat7,0.3390129140224201
Pik3r2,0.3387526408576001
Fh1,0.33691751170720896
Myo18a,0.3368697271808553
Disp2,0.33651693503947816
Psmd14,0.3361336421365987
Gria4,0.335643596568461
Id4,0.3352318362881793
Slc4a10,0.3351637179208241
Ubr5,0.3340412898975378
Ppp5c,0.3339121700071778
Npc1,0.333784066808868
Id2,0.33378000004066766
Tnr,0.3335644613260511
Caskin1,0.3330835659863641
Wapl,0.3329585128642045
Crmp1,0.33272467369268655
Usp32,0.332652488557131
Eif4g3,0.33247355075631724
Mcl1,0.33119455215731886
Ncam2,0.3309932471314034
Fgf12,0.3307868586452375
Zeb2,0.3290849161534066
Kcnj10,0.32906966577265545
Cops8,0.3276178295251438
Ldb1,0.32736568989672443
Stip1,0.3268736109444866
Prkcz,0.32678210865997953
Ehmt2,0.3267129736005742
Tpr,0.32592097049356333
Gphn,0.32572678231199836
Grin2a,0.32558444542498743
Smarca2,0.32532620564426756
Fbxw7,0.3250039142643928
Adam10,0.3249896805756917
Cops2,0.3240817745749719
Mpp2,0.32392622069130994
Rbbp7,0.32301933138264016
Lamp2,0.32259130402955727
Ppp2r2b,0.32244896714254634
Rph3a,0.3223737319308405
Hdac3,0.3221480262957232
Srebf2,0.3219467212698077
Gabbr2,0.32186233582965124
Rgs20,0.3217982842304963
Adora1,0.32157054521127876
Mllt6,0.3213865239502146
Ap2a2,0.32064027198545725
Map7,0.32033729775453396
Ctbp1,0.31895662995052776
Camsap2,0.31885597743757005
Echs1,0.3180548241021084
Laptm4b,0.3174000744218581
Etv5,0.3173045053691507
Trim28,0.3172780713758487
Ppp1r2,0.31719978608799265
Sumo1,0.3171886024754418
Ppp1cc,0.31715911840598954
Anapc5,0.31677175873490976
Ube2i,0.3163691486830788
Grik2,0.3163162806964747
Skp1a,0.3161027753659583
Tle4,0.31578760083043406
Gnai1,0.31506574947487853
Srsf2,0.31428594667246856
Adh5,0.3140531241930007
Ap1g1,0.3138294519419835
Acsl4,0.3135864625420148
Rab1a,0.3132418039370383
Homer1,0.31304761575547335
Kcnma1,0.3129205292492136
Gstp1,0.3127710755178521
Vamp3,0.31233999808861895
Itgb1,0.3123054305589163
Nedd4l,0.31229933040661584
Tnks2,0.3115246110644562
Bcr,0.31043370049472235
Psmc2,0.31042048349807133
Mfn2,0.309987372684738
Cpsf6,0.30983385218517623
Zfyve9,0.3098216518805753
Copg1,0.30981860180442505
Zeb1,0.30978200089062224
Ppp1r7,0.30849080198702294
Selenof,0.3081451266899964
Baz1b,0.3081288596171951
Baiap2,0.3080027898029854
Mbd3,0.30755341191685087
Dnajc7,0.3073195727453329
Map3k7,0.30696169714370536
Rpn1,0.30674310835293855
Exoc4,0.30662110530692915
Nrn1,0.3064645347312171
Spock3,0.3063537152977586
Chd4,0.3062957638509041
Cdh2,0.30629068039065377
Map4k4,0.3060924254408885
Snx5,0.30591857110032517
Mdm4,0.3051042007682125
Wasl,0.3050401491690576
Spast,0.30441590025030957
Erbin,0.30314503518771185
Ptpn11,0.30289289555929244
Usp2,0.30240895014345526
Itsn1,0.30230321417024714
Frmd4a,0.30204090762132696
Plekha1,0.3015722125862409
Ptk2b,0.3007181912641752
Arhgap44,0.3000858088090266
Ap3m2,0.29919925334135844
H2-T23,0.2983391318669923
Lamtor2,0.29825982988708616
Usp14,0.29730210597591256
Lbh,0.2970723335725949
Pip5k1c,0.2967612258052709
Sacm1l,0.2966880239776653
Brd4,0.29647248526304876
Crebrf,0.29607190859531796
Cdc42,0.2960231073769142
Set,0.2959387219367577
Kat2a,0.29586450341710196
Gramd1b,0.29559609671588133
Dnajc5,0.29523618773015364
Hlf,0.29498201471763413
Pias2,0.2947268250130645
S1pr1,0.29463125596035716
Trrap,0.2944543515436435
Agpat4,0.2943892832524385
Gabrg2,0.2940608917202633
Washc2,0.2940222574223603
Rnd2,0.2935098446291209
Smarca4,0.2934020752718126
Anapc2,0.2927137747539097
Kifap3,0.2926324393899034
Adarb1,0.29258160478739953
Camk4,0.2924230008275873
Adgrl3,0.2924026669865858
Mark2,0.2922125455732211
Fmr1,0.2921911950401695
Serpini1,0.29167674886282996
Brd2,0.29115010238088945
Ncl,0.29095388081522433
Pdap1,0.29084306138176585
Plppr4,0.2895864300078692
Appl2,0.28903436622467676
Lnpk,0.28766081526502113
Jak1,0.2874320595537535
Kansl2,0.28724498821653915
Usp22,0.2862120290936597
Itch,0.2858856709455846
Tnpo1,0.28586025364433265
Dlg3,0.2856711489230181
Taf9,0.28528683932808857
Hcfc1,0.28521262080843285
Zfp148,0.2849187968059603
Lztr1,0.28457312150893366
Chtop,0.28436266625456746
Sumo3,0.28414814423200097
Csnk1a1,0.28378010170987267
Fbxw11,0.283575746607807
Pfkl,0.2835360956178539
Mapk8,0.2834425599492467
Fam92a,0.28300843244386337
Gm2a,0.28250618657112475
Sirt2,0.28210052644314354
Foxg1,0.2817477343017664
Sgk1,0.2812038040549746
Slc12a2,0.28089879643995114
Ndufa9,0.28069749141403566
Sec23a,0.2806954580299355
Hist1h2bc,0.2794632272652407
Dek,0.2791368691171656
Shoc2,0.2788582954954442
Prkar2b,0.278738325833535
Nosip,0.2786661406979794
Slc9a3r2,0.2784292514503112
Ryr2,0.27833673247375407
Flot2,0.27789142135581985
Tfrc,0.27775111785290907
Asap1,0.27667444097187627
Pygb,0.2764650024095602
H2afy,0.27605019205312825
Scn1a,0.2756201313159452
Egln2,0.2752958065519702
S100a1,0.2752032875754131
Btrc,0.2750965349101549
Rbfox3,0.2750690842248028
Tyro3,0.275045700307651
Cic,0.274798644139482
Tiam1,0.27479559406333176
Rtcb,0.2745831054248654
Mtor,0.27398630719146955
Sept11,0.2736324983580423
Cry2,0.27328275629281545
Arfip2,0.27321158784931
Pltp,0.27284557871128184
Riok3,0.2727164588209219
Ilf2,0.2724643191925025
Nfat5,0.27199664084946656
Actr1b,0.2715269291223304
Bicd2,0.27097181526298775
Rnaset2a,0.27094639796173575
Atn1,0.2708884465148813
Thumpd1,0.2708518456010785
Il6st,0.2705529381383555
Ash1l,0.27038823402624285
Max,0.2699856239744119
Nlgn2,0.2695891140748814
Fbxo2,0.26958301392258094
Wdr82,0.2685287042666499
Polr2a,0.2684280517536921
Pcx,0.26799290755625865
Cacna1a,0.26795528995040574
Smad4,0.2676187648818299
Dync1li1,0.26722428836639955
Hsd17b4,0.2666234233648033
Ash2l,0.2665583550735983
Rab5b,0.2665583550735983
Luc7l3,0.2665044703949442
P4hb,0.2662096297004215
Cryab,0.2656077480067752
Adar,0.2655548800201712
Mast2,0.2655213291825186
Pcmtd2,0.2654979452653668
Slitrk1,0.265461344351564
Ubtf,0.26523258864029636
Hprt,0.2647750772177612
Anxa6,0.264655107555852
Ddx42,0.2645331045098426
Psmb6,0.2641823457525656
Bcl7b,0.26380921977018695
Dusp6,0.2636231651250226
Kif1c,0.2635275960723153
Abca3,0.2634747280857112
Ppp6c,0.26317378723888807
Supt6,0.2630934685669319
Utrn,0.2630456840405782
Plekha5,0.26259020600214317
Fundc1,0.26231163238042177
Slk,0.26198730761644684
Pcm1,0.26173516798802743
Ankle2,0.2615521634190134
Rragd,0.2614199934525032
Lifr,0.2614189767604531
Ddah1,0.26117802074458457
Hnrnpk,0.2610326337814234
Arrb1,0.2610234835529727
Zdhhc8,0.260715425861799
Arc,0.26026198120746413
Dyrk1a,0.2600017080426441
Ero1l,0.25990715568198686
Egln1,0.2598400540066817
Sox9,0.25948929524940473
Foxp1,0.2593174742929415
Igsf11,0.2586291737750386
Hadhb,0.2585336047223312
Ndel1,0.2574325272320966
Cacna1b,0.25700144980286344
Adcyap1r1,0.2569841660380121
Stxbp5l,0.2569587487367601
Gatad2b,0.25695366527650976
Mecp2,0.2568774133727539
Mapk3,0.2565917229066819
Nr2f1,0.2557326181243658
Dip2a,0.2553889762114394
Cdipt,0.2550931188248667
Mbd2,0.25508701867256617
Cpeb2,0.2549761992391077
Hipk2,0.2545186878165725
Smarcd3,0.2539808577220811
Erc2,0.25393713996392775
Tle1,0.25389647228192463
Rab11a,0.25359756481920165
Coro1c,0.25337490926023454
Vstm2a,0.2531868212309701
Khsrp,0.2529234979899998
Anapc4,0.25269982573898264
Sf3a1,0.2526367908318778
Gabrb2,0.25221384693904525
Gjb6,0.2521985965582941
Fus,0.2518610547976681
Dnm2,0.251599764940798
Psmd13,0.2513771093818309
Mapre1,0.25128255702117364
Isca1,0.25104465108145535
Ap3b2,0.2509195979592957
Fzd3,0.2508118286019874
Ogt,0.2503990516296557
Galnt17,0.2502963657325978
Fbxo11,0.2501601289978873
Snrpa,0.24989375568076683
Vegfb,0.24951351285403758
Snrk,0.2494860621686855
Zbtb16,0.24936100904652586
Hnrnpdl,0.24878962811438193
Prpf4b,0.24867575860477317
Crebbp,0.24843378589685455
Fto,0.24832194977134595
Mfn1,0.2480545597621754
Supt5,0.24753096335638514
Cct3,0.24725137304261363
Fat1,0.24697076603679205
Nae1,0.24666880849791883
Fmc1,0.24648072046865438
Psma4,0.24615842908877958
Rab28,0.24543861111732423
Acaca,0.2454213273524729
Mark3,0.2451417370387014
Thap12,0.245084802283897
Ecpas,0.24503803444959343
Xiap,0.2448479130362288
Gfap,0.24479301166552458
Cacnb1,0.24478182805297372
Ambra1,0.2446476247023634
Kmt5b,0.2444056519944448
Lamtor4,0.24415961251832588
Dpp10,0.24413317852502384
Paxbp1,0.24412809506477345
Fbxo33,0.24407421038611932
Sept2,0.24403557608821633
Vps26b,0.24390035604555593
Stx1a,0.24385155482715218
Rgs6,0.24368380063888928
Aip,0.24362991596023514
Syt4,0.2433249083452117
Fam13b,0.24302396749838853
Ccp110,0.24285417992602548
Gopc,0.24280537870762173
Marcksl1,0.24238243481478922
Akt1,0.2421770630206734
Ranbp1,0.24215977925582208
Minar2,0.24208149396796608
Arnt2,0.2419218733161038
Egr1,0.24176021928014135
Camk2d,0.2416788839161351
Edc4,0.2415162131881226
Cldn11,0.24136269268856078
Top2b,0.24125390663920243
B4galnt1,0.2411207199806422
Bcl2l1,0.24067032540245756
Slc1a1,0.24060525711125255
Adipor1,0.24055950596899903
Rxrb,0.24052595513134645
Rala,0.24008776085776276
Hexb,0.24000235872555617
Ly6h,0.24000032534145602
Kras,0.23999320849710548
Afg3l2,0.23937912649885826
Mycbp2,0.23924492314824794
Eif4enif1,0.23912902025453903
Mta3,0.238920598384273
Stub1,0.23889213100687082
Lin7c,0.23888196408637002
Pdxk,0.23837361806133092
Vldlr,0.23740471053760642
Ufd1,0.23734675909075195
Pak2,0.2367682613142575
Dusp3,0.23659237358959395
Sptbn2,0.23656898967244216
Opa1,0.23652425522223872
Mest,0.23644393655028254
Slc24a3,0.23640530225237957
Apod,0.2356529501353217
Camk1d,0.23547909579475834
Grb2,0.23533370883159715
H2-D1,0.23525847361989138
Yars,0.23485789695216058
Fubp1,0.23439428537732493
Epb41l3,0.23436073453967235
Cdc23,0.23385340520668332
Pde8b,0.23381070414058006
Irs2,0.23371818516402293
Ivd,0.23348536268455503
Spry2,0.23333489226114346
Panx2,0.23313765400342829
Sgta,0.23273504395159733
Camsap1,0.23252255531313099
Eif4e,0.2323304005156662
Nlgn3,0.23210062811234855
Arhgef7,0.2320792775792969
Snf8,0.2318932229341326
Idh2,0.2318881394738822
Atg9a,0.23174071912662086
Rcn2,0.231651250226214
Ybx3,0.2316268496170121
Plxdc2,0.2315241637199542
Ube2b,0.23108393606227035
Gatd3a,0.23090703164555676
Ppp6r3,0.23078502859954736
Becn1,0.23074944437779463
Htt,0.23045358699122187
Ncor2,0.23042613630586978
Mtch2,0.2303783517795161
Slc32a1,0.23031226679626102
Dtnbp1,0.2299920088004864
Elavl2,0.22984967191347544
Kat5,0.22935555957713744
Tmem35a,0.22933115896793557
Gpt2,0.22908410279976657
Sp3,0.22892244876380413
Emc3,0.2286631922910342
Mbnl1,0.22864590852618288
Myo9a,0.22859507392367895
Fbxl20,0.2284954381027713
Emc4,0.22846697072536912
Lrpprc,0.22840800258646457
Smarcd1,0.22827278254380418
Ncoa2,0.22796269146853032
Hibadh,0.22761803286355384
Yy1,0.22715238790461803
Clic4,0.22686669743854604
Slc2a3,0.22661455781012665
Psmd12,0.22654847282687157
Dpy30,0.22636038479760712
Nptxr,0.22631158357920336
Arid1a,0.22591507367967287
Fabp3,0.22555821477009544
Rlim,0.2254199446512848
Snapin,0.22536911004878088
Pik3c3,0.2252847246086244
Sf3b6,0.2251576381023646
Uri1,0.22503461836430516
Smarca5,0.2246177746237731
Jak2,0.22430463347234902
Fbxl3,0.22416941342968863
Sfxn3,0.22411857882718472
Sfxn1,0.22408096122133184
Gria3,0.223653950560299
Selenos,0.22357973204064327
Grin2b,0.22341807800468086
Gucy1a1,0.2233001417268718
Tssc4,0.22316288830011122
Sec22b,0.2230713860156042
Sptb,0.2228975316750408
Csnk2a1,0.22268809311272472
Blmh,0.22266572588762298
Bclaf1,0.22254677291776384
Ptprk,0.22234953466004867
Rnh1,0.22228649975294384
Psat1,0.2222458320709407
Vcp,0.22212281233288125
Cxxc5,0.2220597774257764
Apmap,0.22153414763588597
Rnf130,0.22138469390452448
Thrap3,0.22138062713632417
Cx3cl1,0.22130640861666848
Itsn2,0.2212952250041176
Pak3,0.22115390480915673
Tsc22d4,0.22107765290540088
Ermn,0.2210715527531004
Pde1b,0.22103596853134766
Dusp7,0.22082856335313172
Psmd3,0.22080314605187976
Ewsr1,0.22059879094981405
Rap2a,0.2205906574134134
Odf2,0.2202795496460895
Epha5,0.22018093051723192
Med15,0.22000707617666854
Ctcf,0.2199104904319111
Wrnip1,0.21959836597253712
Cav2,0.21959734928048705
Grb10,0.21904833557344483
Csnk1e,0.21870571035256847
Smc5,0.21864165875341354
Rnf220,0.2185084720948533
H2afz,0.21846068756849962
Gfpt1,0.2183508848270912
Cpox,0.21812924596017413
Lsm14a,0.21808756158612094
Kcnh1,0.21805401074846836
Commd1,0.21777035366649655
Cdc42bpb,0.2176361503158862
Ncan,0.21757921556108184
Ubxn7,0.21753244772677824
Prpsap2,0.21733520946906307
Zdhhc2,0.2171664385887501
Emc10,0.21690921550008033
Flot1,0.21660115780890662
Calb1,0.21648932168339802
Ets2,0.21629106673363277
Ranbp2,0.2161832973763245
Jup,0.2157684870198926
Hist2h2bb,0.21537502719651233
Lgi3,0.21534147635885975
Chrm1,0.21435833514643415
Gaa,0.214226165179924
Cd200,0.21409196182931367
Pianp,0.21387845649879725
Ggps1,0.21363038363857817
Cbl,0.21306408616668462
Sema6a,0.212860747756669
Ncoa1,0.21258420751904772
Usp7,0.21231173404962678
Ece1,0.21208094495425903
Fxr1,0.2118908235408944
Polr2b,0.21141806173760805
Bmp1,0.21122082347989288
Kcnc1,0.21099816792092577
Samd8,0.2109076823284688
Comt,0.21061792509419652
Bmi1,0.21046643797873488
Impad1,0.21005366100640313
Rab3gap2,0.20990319058299156
Dkk3,0.20954124821316372
Atrx,0.20926064120734214
Setd5,0.20914372162158315
Prkcg,0.20907051979397753
Grm3,0.20887023146011213
Tjp1,0.2086801100467475
Otud5,0.2083527352066223
Efnb3,0.20792165777738916
Cetn3,0.20788200678743612
Idh1,0.20776102043347683
Cdk9,0.20774170328452535
Nefh,0.20759021616906367
Kcnt2,0.2072120067264346
Prkci,0.20707882006787437
Rsf1,0.20705543615072255
Kif21b,0.20658877449973667
Nfia,0.20656844065873511
Sema6d,0.20651048921188064
Cntn2,0.20622073197760837
Xpo1,0.20614854684205283
Mcu,0.20602857718014359
Cpne4,0.2059025073659339
Atraid,0.20499663474931423
Klhl3,0.20492139953760846
Lrp8,0.20483904748155213
Pip4p1,0.20451268933347702
Nipsnap2,0.2043093509234614
Mia2,0.20383760581222513
Got2,0.20383150565992464
Twf1,0.20377863767332058
Apc2,0.2035915663361062
Washc4,0.20336077724073845
Mtfp1,0.20335162701228773
