,fraction_cells
Ckb,0.9010046950838873
Aplp1,0.8958419328535903
Ywhaz,0.8716680459788813
Aldoa,0.8415373603827643
Prkar1a,0.8119933060995422
Map2,0.7652041212628942
Gnao1,0.7553879595193893
Ndrg2,0.7535131793790452
Rab7,0.7493721926590767
Ldhb,0.7427453938766672
Gnb1,0.7395794148327236
Mbp,0.7365049380732872
Kif5a,0.7354292778843046
Gabbr1,0.7349646496174188
Dpysl2,0.7325449225382327
Atp2a2,0.7304037690807681
App,0.7217059685923491
Rtn3,0.7130549359382339
Cltc,0.7130488357859335
Hnrnpa1,0.7087705956392044
Sptan1,0.7048847986238056
Ppp2ca,0.7007743126653395
Kif1b,0.6956928857990488
Ntrk2,0.6890101689538849
Ttyh1,0.6878053888745422
Map1b,0.6868334312746674
Snap25,0.6862559501902231
Cyfip2,0.68309505460653
Atp1b2,0.6815537494586115
Aldoc,0.6812792426050903
Atp5o,0.6794390299944488
Ctnnb1,0.6787049783342924
Sdha,0.6706141429997702
Atp5f1,0.6667598634379238
Klc1,0.6660898633769223
Stxbp1,0.6648027312415233
Camk2a,0.6642252501570789
Nedd4,0.659700970534231
Eno2,0.6561181477497555
Nsmf,0.654862533067909
Fam107a,0.6538275405609293
Atxn10,0.6527772976731986
Actr2,0.6515796344382064
Lrp1,0.6503108027597089
Rab6a,0.6494974491196464
Rnf14,0.6489372518000532
Kif5b,0.6485387085164226
Atp6v1b2,0.6480201955708828
Pdia3,0.647360362430382
Ywhag,0.6460955975200847
Dst,0.6437206048911022
Cbx3,0.6430099371480975
Kif5c,0.6429570691614934
Mtch1,0.6403868716588957
Rac1,0.6402435180798347
Rsrp1,0.6387876150641227
Ppp2r1a,0.6370307712015877
Pgk1,0.6340061123526051
Vdac1,0.6333971138146083
Vamp2,0.6311786917613377
Rab3a,0.6297492227389277
Atp6v1a,0.6295164002594598
Pink1,0.6283787218554223
Pja2,0.6265364758606806
Selenop,0.6247043967864397
Map4,0.6237863238652191
Camk2b,0.6233013617573319
Dnm1,0.6215587515834978
Ywhae,0.6164712245649067
Rbbp4,0.6144164899316986
Ppp3cb,0.613835958771104
Mt2,0.6057766408901343
Stmn4,0.6055611021755176
Agpat3,0.60299090467292
Mapt,0.6022812536219654
Canx,0.6006952140238435
Dlg4,0.5995382184708545
Uchl1,0.5979867464024352
Impact,0.5942443029660974
Pak1,0.5904215408578034
Sncb,0.5880709488380227
Mapk8ip1,0.5871020413142981
Sept7,0.5862348029955815
Cct8,0.5832457283683516
Etnk1,0.582601145608602
Mprip,0.5822686873082265
Ppp3r1,0.5816607054622797
Car2,0.5810720407652844
Snrpn,0.5800156977252532
Slc1a3,0.5797930421662861
Syn1,0.5762386867592127
Rtn4,0.5753256972982426
Atp2b2,0.57308185794372
Hpcal4,0.5705258941298235
Gnai2,0.5695895207517014
Rab5a,0.5687751504195888
Hsph1,0.5683684735995576
Bin1,0.5671199757620615
Prkce,0.5649798389966469
Ap2b1,0.5612373955603092
Prkacb,0.5612180784113576
Kpnb1,0.5597316746341434
Prkaca,0.5580663330561153
Mapk8ip2,0.5561661356145192
Fscn1,0.5552917804514519
Mapre2,0.5524663932442847
Cd81,0.5500009150228451
Tpi1,0.5485124778615306
Eps15,0.5469762561738625
Gprc5b,0.545891445756429
Spred1,0.5438377278152711
Hspa5,0.5431524773735185
Sod1,0.5419944651284794
Qdpr,0.5411262101177126
Meg3,0.5381229018017817
Rhoa,0.5379663312260696
Lamp1,0.5356248894347395
Csde1,0.5342696389319853
Atp6v0a1,0.532223037835178
Gria2,0.5317482426477914
Sept5,0.5303452076186835
Cd47,0.5301154352153659
Nsf,0.5293468160255068
Ppt1,0.527087726290233
Adgrb1,0.5240620507492004
Syp,0.5219412311327373
Glud1,0.5218568456925808
Myo5a,0.5213952675018453
Grk2,0.5184997285432227
Ndrg4,0.5178754796244747
Hnrnph1,0.5172918983877297
Cul3,0.5163189240958049
Gtf2i,0.5150999103277611
Cmip,0.5140273002149287
Pcdh10,0.5122724897364938
Sfpq,0.511260881146666
Sorbs1,0.5111612453257584
Amfr,0.5108359038697333
Sdhb,0.510118119282378
Caprin1,0.5098212452037553
Stmn2,0.5068931720995301
Sf1,0.5062455392636303
Dync1h1,0.5060676181548666
Sv2a,0.5059944163272609
Dcaf7,0.5054718366135208
Nfe2l1,0.5052918821206569
Atf4,0.5051454784654457
Prpf8,0.5049970414261342
Ptprn2,0.5045486802320498
Thra,0.5031568288154927
Ube3a,0.502912822723474
Bmpr2,0.5028924888824724
Acsl6,0.5025274964364944
Hspd1,0.500767602497809
Sod2,0.5002551897045696
Cct5,0.49850444599433497
Strn3,0.4982146887600627
Khdrbs1,0.4978995142245385
Saraf,0.4974470862622537
Gap43,0.49548588729765286
Luzp2,0.4944793621680755
Rad23b,0.4934575866577469
Acox1,0.4915004544613464
Trim2,0.49006285190253585
Fam49b,0.4889841416374029
Rap1gap,0.4886760839462292
Pten,0.4885510308240696
Fasn,0.4865511975615658
Cdk5r1,0.4848451883015346
Acly,0.484811637463882
Ldha,0.4843581928095472
Ptpa,0.4825799984139604
Ank2,0.48145045354632354
Ncam1,0.48114442923925
Ptprz1,0.4808790726141796
Ntsr2,0.48041546103934396
Gsk3a,0.47680010410926593
Serpine2,0.47582001297299054
Glg1,0.4748714392902676
Gps1,0.474330559119626
Hspa9,0.473536522628515
Rnf13,0.4734745044134602
Dbp,0.4729986925340236
Tardbp,0.47181119621953227
Cdk5r2,0.4707721369443524
Pik3r1,0.470182455555307
Ppp2r5c,0.4687367194600959
Aplp2,0.4675309226887031
Gria1,0.46604756898763905
Syn2,0.46454693152172366
Ndufs1,0.46439849448241227
Elavl1,0.46299240937715413
Picalm,0.46185371428106653
Tceal5,0.4589876593918962
Pdcd4,0.45862165025386803
Evl,0.45838171093004954
Gmfb,0.45617752256548005
Mef2d,0.45616532226087914
Add2,0.45450099737490113
Slc6a11,0.45423462405778064
Paip1,0.4538309973138996
Rnf10,0.4537893129398464
B2m,0.45327588345455694
Atp6ap2,0.4528580230219748
Sdcbp,0.45285395625377445
Dnm1l,0.45049523069759306
Dctn1,0.4503356100457308
Park7,0.44990453261649765
Grin1,0.44913489673458845
Cyld,0.4489895097714273
Peg3,0.44792096642679513
Tmem106b,0.44739228656075447
Ank,0.44409413755030086
Cap2,0.443029660973869
Rdx,0.44181064720582525
Prrc2b,0.4415422405046046
Rheb,0.43957189131155305
Sirpa,0.43932686852748426
Emc1,0.4385795998706768
Mapk1,0.4377011779394092
Gpi1,0.43741650416538735
Cs,0.4373616027946831
Hivep2,0.43603481966933105
Gnaq,0.4351706314267646
Cnp,0.4349052748016942
Rab10,0.4334341214052311
Dlg1,0.4330884461082045
Rab21,0.43302541120109966
Dner,0.4319517843962171
Pkm,0.4310987797662015
Tcaf1,0.4288661240242298
Hnrnpm,0.42844318013139726
Abi1,0.4283730283799419
Jun,0.42775589630554445
Cntn1,0.4271977323700515
Srsf1,0.4263487945082362
Pfkp,0.4255710250899264
Cspg5,0.4252822845477042
Rasgrf1,0.42444453029843976
Pafah1b2,0.4242401751963741
Gja1,0.42346240577806427
Tsc22d3,0.42330075174210186
Cpeb4,0.42272632073380767
Arhgef12,0.422718187197407
