group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,0.17599796,0.032479737,1.0,0.0,0.0,0.0,True,Txnip,21
Myocytes,-0.11043289,0.025083132,0.0,1.0,0.0,0.0,True,Txnip,21
Oligodendrocyte Precursor Cells,0.01167337,0.011574606,0.835,0.165,0.165,0.055,False,Txnip,21
Medium Spiny Neurons,-0.010949254,0.012340728,0.193,0.807,0.193,0.0895,False,Txnip,21
Astrocytes,0.012551262,0.016311368,0.786,0.214,0.214,0.11439999999999999,False,Txnip,21
Neurons,0.009423499,0.014191687,0.749,0.251,0.251,0.13716666666666666,False,Txnip,21
Excitatory Neurons,0.0049737277,0.012293169,0.654,0.346,0.346,0.167,False,Txnip,21
Neural Stem Cells,0.0057969578,0.017861474,0.632,0.368,0.368,0.192125,False,Txnip,21
Endothelial Cells,0.009746631,0.030699434,0.62,0.38,0.38,0.21299999999999997,False,Txnip,21
Microglia,0.0027107408,0.018441329,0.548,0.452,0.452,0.23689999999999997,False,Txnip,21
Oligodendrocytes,0.00029141604,0.010671312,0.517,0.483,0.483,0.25927272727272727,False,Txnip,21
GABAergic Neurons,-0.0017439444,0.0189164,0.485,0.515,0.485,0.2780833333333333,False,Txnip,21
