group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.059558827,0.024881234,0.99,0.01,0.01,0.01,True,Ap3m2,21
Oligodendrocyte Precursor Cells,0.012892356,0.0117343,0.864,0.136,0.136,0.07300000000000001,False,Ap3m2,21
Medium Spiny Neurons,-0.010931546,0.012132594,0.188,0.812,0.188,0.11133333333333334,False,Ap3m2,21
Neurons,0.011327313,0.013859915,0.793,0.207,0.207,0.13525,False,Ap3m2,21
Endocrine Cells,0.017246012,0.031278845,0.723,0.277,0.277,0.16360000000000002,False,Ap3m2,21
Excitatory Neurons,0.005757039,0.012732283,0.667,0.333,0.333,0.19183333333333333,False,Ap3m2,21
Neural Stem Cells,0.0048531806,0.018127251,0.611,0.389,0.389,0.22,False,Ap3m2,21
Endothelial Cells,-0.008285071,0.031169407,0.399,0.601,0.399,0.242375,False,Ap3m2,21
Astrocytes,0.0028512822,0.016183812,0.593,0.407,0.407,0.26066666666666666,False,Ap3m2,21
Microglia,-0.0026481322,0.018059075,0.431,0.569,0.431,0.2777,False,Ap3m2,21
Oligodendrocytes,-0.0008587515,0.010606843,0.477,0.523,0.477,0.2958181818181818,False,Ap3m2,21
GABAergic Neurons,-0.0018318708,0.019370819,0.485,0.515,0.485,0.3115833333333333,False,Ap3m2,21
