group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013674708,0.01235468,0.128,0.872,0.128,0.128,False,Alg13,21
Oligodendrocyte Precursor Cells,0.011888794,0.011581664,0.844,0.156,0.156,0.14200000000000002,False,Alg13,21
Neurons,0.009017026,0.014188335,0.735,0.265,0.265,0.18300000000000002,False,Alg13,21
Excitatory Neurons,0.0046909,0.012306848,0.649,0.351,0.351,0.225,False,Alg13,21
Neural Stem Cells,0.0061729224,0.018308809,0.636,0.364,0.364,0.2528,False,Alg13,21
Myocytes,0.0071709044,0.024676017,0.614,0.386,0.386,0.27499999999999997,False,Alg13,21
Endothelial Cells,-0.007928926,0.031260923,0.402,0.598,0.402,0.29314285714285715,False,Alg13,21
Endocrine Cells,0.006700745,0.031093191,0.594,0.406,0.406,0.30725,False,Alg13,21
Astrocytes,0.002266349,0.016008107,0.574,0.426,0.426,0.3204444444444445,False,Alg13,21
Oligodendrocytes,-0.0016908572,0.0107000135,0.453,0.547,0.453,0.3337,False,Alg13,21
Microglia,-0.0015858158,0.01796664,0.454,0.546,0.454,0.3446363636363637,False,Alg13,21
GABAergic Neurons,-0.002177067,0.018930191,0.476,0.524,0.476,0.35558333333333336,False,Alg13,21
