group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.119457275,0.02534777,1.0,0.0,0.0,0.0,True,Atp6v1b2,21
Endocrine Cells,-0.07904296,0.0316352,0.004,0.996,0.004,0.002,True,Atp6v1b2,21
Medium Spiny Neurons,-0.022063244,0.011380924,0.017,0.983,0.017,0.007,True,Atp6v1b2,21
Oligodendrocyte Precursor Cells,0.012241814,0.011946365,0.841,0.159,0.159,0.045,True,Atp6v1b2,21
Neural Stem Cells,0.011331793,0.017535925,0.736,0.264,0.264,0.0888,False,Atp6v1b2,21
Neurons,0.003569579,0.012142124,0.629,0.371,0.371,0.13583333333333333,False,Atp6v1b2,21
Endothelial Cells,-0.009168185,0.030706793,0.392,0.608,0.392,0.1724285714285714,False,Atp6v1b2,21
GABAergic Neurons,-0.0058287494,0.02212074,0.41,0.59,0.41,0.20212499999999997,False,Atp6v1b2,21
Astrocytes,0.0025375867,0.016639262,0.581,0.419,0.419,0.22622222222222219,False,Atp6v1b2,21
Microglia,0.0028072342,0.018636843,0.55,0.45,0.45,0.2486,False,Atp6v1b2,21
Oligodendrocytes,0.00018264008,0.009880369,0.514,0.486,0.486,0.27018181818181813,False,Atp6v1b2,21
Excitatory Neurons,0.00016752323,0.01461007,0.506,0.494,0.494,0.2888333333333333,False,Atp6v1b2,21
