group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013636456,0.012369334,0.128,0.872,0.128,0.128,False,Ackr4,21
Oligodendrocyte Precursor Cells,0.012288674,0.011530261,0.852,0.148,0.148,0.138,False,Ackr4,21
Neurons,0.008992098,0.014208353,0.735,0.265,0.265,0.18033333333333335,False,Ackr4,21
Neural Stem Cells,0.010254035,0.018354403,0.707,0.293,0.293,0.20850000000000002,False,Ackr4,21
Excitatory Neurons,0.0045593884,0.012282651,0.642,0.358,0.358,0.23840000000000003,False,Ackr4,21
Myocytes,0.0085482905,0.024661371,0.632,0.368,0.368,0.26,False,Ackr4,21
Endocrine Cells,0.007513712,0.031065792,0.604,0.396,0.396,0.2794285714285714,False,Ackr4,21
Endothelial Cells,-0.008413029,0.03127682,0.399,0.601,0.399,0.294375,False,Ackr4,21
Astrocytes,0.0023369738,0.015979223,0.577,0.423,0.423,0.30866666666666664,False,Ackr4,21
Microglia,-0.002535382,0.017939173,0.433,0.567,0.433,0.3211,False,Ackr4,21
Oligodendrocytes,-0.0017500381,0.010717255,0.452,0.548,0.452,0.33299999999999996,False,Ackr4,21
GABAergic Neurons,-0.0023737543,0.01890081,0.472,0.528,0.472,0.3445833333333333,False,Ackr4,21
