,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
2610035D17Rik,88.34642363830169,0.025044405518799166,0.2556093538766161,0.09797922156983435,0.9219487927536794,0.9994961017325928,54.37949984280075,1.0,55.60017273708678,53.158826948514694,60.20727409021072,48.551725595390764
9630013A20Rik,22.194960722456788,0.7035397850723821,0.4435157171085815,1.5862792634700285,0.11267597413063911,0.9994961017325928,15.890319622524567,1.0,12.905822196296455,18.87481704875268,19.595050104398222,12.185589140650912
A1cf,0.3012589869393778,-0.5840049036094822,3.8427562676026885,-0.15197552562286623,0.8792062391287387,0.9994961017325928,0.3592107831343086,0.4166666666666667,0.428539578951658,0.2898819873169592,0.5531277652315374,0.16529380103707983
A2m,76.15647478102065,1.4265744805278553,0.40489734782745596,3.523299147752826,0.0004262100028977475,0.23886702829069317,36.19872546652521,1.0,20.73298289263487,51.66446804041555,30.716313842486276,41.68113709056414
Aatf,276.9695938979059,-0.0027742365655525924,0.16167550260776584,-0.017159288332525252,0.9863095406075708,0.9994961017325928,162.65336233494546,1.0,160.61246352250578,164.6942611473851,173.1427738257983,152.16395084409262
Abca1,621.9177491400357,0.5085464073066516,0.21959769891519645,2.3158093632986585,0.02056867977447297,0.8718354687600139,360.9501624446509,1.0,310.55809118483415,411.34223370446756,380.72667029550394,341.1736545937979
Abca13,1.7458210170591728,-0.3772291460496065,1.5479202902691773,-0.24370062749420246,0.8074626873498094,0.9994961017325928,1.1674768084172518,0.9166666666666666,1.1291932358883947,1.2057603809461088,1.3742120229032633,0.9607415939312399
Abca3,504.58947457787446,0.09438990133756676,0.1364733157934741,0.6916363157791782,0.48916574953612313,0.9994961017325928,287.12417935679787,1.0,276.89221772936503,297.3561409842307,297.03779284774623,277.21056586584945
Abca4,5.637313096589968,0.36419285452970795,0.8213708232595938,0.4433963859154576,0.6574790495507721,0.9994961017325928,3.4170349978763994,1.0,3.528637418508524,3.305432577244274,3.7348824522398676,3.099187543512931
Abca7,161.80936205166,0.06405782147928196,0.19690110217161105,0.3253299284401758,0.7449313821551362,0.9994961017325928,92.61992950950071,1.0,88.90823774967379,96.33162126932763,96.32222745260647,88.91763156639496
Abca8a,14.958276423476697,-0.871851231121135,0.5820156051836027,-1.497986004767176,0.1341368866382435,0.9994961017325928,7.672875833134829,1.0,9.16929027227107,6.176461393998589,7.131053955922162,8.2146977103475
Abca8b,40.70442130105229,-0.3714971437695277,0.3262133227434632,-1.1388165898474847,0.25477966083555914,0.9994961017325928,20.509155270339733,1.0,21.992374229101795,19.02593631157767,18.625236458617408,22.39307408206206
Abcb1a,193.43249331653968,-0.39853651603798307,0.2161447670825169,-1.8438406879674076,0.06520636106892165,0.9994961017325928,105.12118332742308,1.0,114.49605928452957,95.74630737031661,103.82976692358385,106.41259973126233
Abcb1b,121.27613496069552,0.33872199142615944,0.2980851455703327,1.1363263029362816,0.25582002650307945,0.9994961017325928,65.07268979934082,1.0,62.33231305973121,67.81306653895045,63.61137177945724,66.53400781922443
Abcb4,123.08453665184028,-0.4443850815062469,0.21650418936784221,-2.0525472638833486,0.04011650666622065,0.9994961017325928,73.1454814412866,1.0,79.66363662903666,66.62732625353652,78.61651412874375,67.67444875382945
Abcb8,39.03981619541393,0.09728349616553274,0.3286532155627183,0.2960065246857982,0.7672250985937151,0.9994961017325928,23.085032704197456,1.0,22.19670273767349,23.973362670721425,24.70611971641217,21.463945691982744
Abcc1,111.8300854531982,0.10704468665912016,0.21464873586881655,0.49869702808098976,0.6179928385829769,0.9994961017325928,68.20895837208604,1.0,66.59891854288058,69.81899820129148,74.9932937253047,61.42462301886738
Abcc6,5.245962743632464,-0.7174476833422244,0.8930108846408231,-0.803403066728339,0.42174180306392395,0.9994961017325928,2.6654667623292867,0.9166666666666666,2.695952809717609,2.634980714940964,2.440184379762064,2.890749144896509
Abcc8,47.04912064415287,-0.027257563509064584,0.32004484600443583,-0.08516795020872416,0.9321278700051856,0.9994961017325928,27.067670693991914,1.0,24.25710777458041,29.878233613403413,28.26506292942616,25.87027845855766
Abcc9,10.953429873817564,0.1935783016297963,0.5852559530053841,0.3307583641580071,0.7408270128858886,0.9994961017325928,7.090583806235174,1.0,7.5704926355819095,6.61067497688844,8.165606413315603,6.015561199154746
Abcd2,239.16015243238175,0.04793695172232203,0.1888690092393751,0.25381057440485694,0.7996419037083237,0.9994961017325928,140.04588501296988,1.0,139.52942901786096,140.56234100807873,148.74771869795316,131.34405132798656
Abcd3,765.4491102295341,-0.02373165624291978,0.12980970958768775,-0.18281880699292996,0.8549401914603787,0.9994961017325928,424.7750052488978,1.0,428.0713239947672,421.4786865030282,428.82796507360746,420.7220454241879
Abcf1,230.30958686234325,0.01574271442748242,0.1693886582068637,0.09293842099071847,0.9259524822878105,0.9994961017325928,128.34280467041992,1.0,124.92524601000366,131.76036333083616,130.15171262322573,126.53389671761404
