,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,delta_log2FC,se_delta,z,p_delta,q_delta,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
2610035D17Rik,-0.15876018029443567,0.22106013922323745,0.0,0.31262624698958696,0.0,1.0,1.0,54.37949984280075,1.0,55.60017273708678,53.158826948514694,60.20727409021072,48.551725595390764
9630013A20Rik,0.43214708469492435,0.45644763956391343,0.0,0.6455144423844725,0.0,1.0,1.0,15.890319622524567,1.0,12.905822196296455,18.87481704875268,19.595050104398222,12.185589140650912
A1cf,-0.5382558899836701,2.3351403294360122,0.0,3.3023871239327858,0.0,1.0,1.0,0.3592107831343086,0.4166666666666667,0.428539578951658,0.2898819873169592,0.5531277652315374,0.16529380103707983
A2m,1.1722041962988514,0.36751897818378054,0.0,0.5197503233770041,0.0,1.0,1.0,36.19872546652521,1.0,20.73298289263487,51.66446804041555,30.716313842486276,41.68113709056414
Aatf,0.0469010261922447,0.175327565001414,0.0,0.2479506202828501,0.0,1.0,1.0,162.65336233494546,1.0,160.61246352250578,164.6942611473851,173.1427738257983,152.16395084409262
Abca1,0.2925434084201145,0.1858546018402035,0.0,0.2628380985518674,0.0,1.0,1.0,360.9501624446509,1.0,310.55809118483415,411.34223370446756,380.72667029550394,341.1736545937979
Abca13,0.4378790565048169,1.3783138357613343,0.0,1.9492301197401616,0.0,1.0,1.0,1.1674768084172518,0.9166666666666666,1.1291932358883947,1.2057603809461088,1.3742120229032633,0.9607415939312399
Abca3,0.08808868621130253,0.13795212115186375,0.0,0.19509376069110204,0.0,1.0,1.0,287.12417935679787,1.0,276.89221772936503,297.3561409842307,297.03779284774623,277.21056586584945
Abca4,-0.4865141243486027,0.8389894160648427,0.0,1.1865102108863839,0.0,1.0,1.0,3.4170349978763994,1.0,3.528637418508524,3.305432577244274,3.7348824522398676,3.099187543512931
Abca7,0.13798259646562194,0.19958911046661262,0.0,0.2822616269238654,0.0,1.0,1.0,92.61992950950071,1.0,88.90823774967379,96.33162126932763,96.32222745260647,88.91763156639496
Abca8a,-0.3163989745001043,0.6023955413064006,0.0,0.8519159444285938,0.0,1.0,1.0,7.672875833134829,1.0,9.16929027227107,6.176461393998589,7.131053955922162,8.2146977103475
Abca8b,-0.04857283486784544,0.3754670447098855,0.0,0.5309905868528654,0.0,1.0,1.0,20.509155270339733,1.0,21.992374229101795,19.02593631157767,18.625236458617408,22.39307408206206
Abcb1a,-0.1392019322586608,0.22554461752758573,0.0,0.3189682570277642,0.0,1.0,1.0,105.12118332742308,1.0,114.49605928452957,95.74630737031661,103.82976692358385,106.41259973126233
Abcb1b,-0.1250334928414099,0.24403361944595672,0.0,0.34511565429546665,0.0,1.0,1.0,65.07268979934082,1.0,62.33231305973121,67.81306653895045,63.61137177945724,66.53400781922443
Abcb4,-0.12450727417847263,0.1973726079763603,0.0,0.27912701904111686,0.0,1.0,1.0,73.1454814412866,1.0,79.66363662903666,66.62732625353652,78.61651412874375,67.67444875382945
Abcb8,0.10077936847090463,0.33480287819899684,0.0,0.47348277107056874,0.0,1.0,1.0,23.085032704197456,1.0,22.19670273767349,23.973362670721425,24.70611971641217,21.463945691982744
Abcc1,0.010161273208476344,0.20214081091269895,0.0,0.2858702763018342,0.0,1.0,1.0,68.20895837208604,1.0,66.59891854288058,69.81899820129148,74.9932937253047,61.42462301886738
Abcc6,0.7798900135537071,1.0924004536436602,0.0,1.5448875370853858,0.0,1.0,1.0,2.6654667623292867,0.9166666666666666,2.695952809717609,2.634980714940964,2.440184379762064,2.890749144896509
Abcc8,0.581821264923759,0.32755762395324894,0.0,0.46323643425339084,0.0,1.0,1.0,27.067670693991914,1.0,24.25710777458041,29.878233613403413,28.26506292942616,25.87027845855766
Abcc9,-0.5099610451720993,0.5914725103672278,0.0,0.8364684459321946,0.0,1.0,1.0,7.090583806235174,1.0,7.5704926355819095,6.61067497688844,8.165606413315603,6.015561199154746
Abcd2,-0.04722774040190895,0.19035646756935154,0.0,0.2692046981220112,0.0,1.0,1.0,140.04588501296988,1.0,139.52942901786096,140.56234100807873,148.74771869795316,131.34405132798656
Abcd3,-0.04194376374357553,0.1131814612491838,0.0,0.16006275750780063,0.0,1.0,1.0,424.7750052488978,1.0,428.0713239947672,421.4786865030282,428.82796507360746,420.7220454241879
Abcf1,0.11240286512865998,0.16850257745576558,0.0,0.2382986303327666,0.0,1.0,1.0,128.34280467041992,1.0,124.92524601000366,131.76036333083616,130.15171262322573,126.53389671761404
Abcg2,0.11746288485694804,0.14803242640261058,0.0,0.20934946508956892,0.0,1.0,1.0,165.69273096541795,1.0,165.46960453934224,165.91585739149366,160.36553752624323,171.01992440459267
Abhd17c,-0.12367450927781361,0.14551338382671516,0.0,0.20578700091454238,0.0,1.0,1.0,255.05777607106015,1.0,250.7122906767812,259.4032614653391,249.8845394406081,260.23101270151216
Abhd4,0.05183696689095172,0.1289481268484248,0.0,0.1823601898316486,0.0,1.0,1.0,243.03280749102984,1.0,234.5857419356356,251.47987304642405,235.24183160244596,250.82378337961373
Abhd5,-0.21170124475551644,0.18669198873731888,0.0,0.26402234245872147,0.0,1.0,1.0,93.98691737978403,1.0,94.17071060016166,93.80312415940642,85.44927296511209,102.52456179445596
Abi1,-0.010578178658299176,0.09467435792829053,0.0,0.1338897609911532,0.0,1.0,1.0,800.663446378303,1.0,790.037142823247,811.2897499333593,788.8017035130646,812.5251892435418
Abi3bp,0.15508530557957523,0.5851990398542831,0.0,0.8275964188496405,0.0,1.0,1.0,6.0105542433202475,1.0,4.782482533983284,7.238625952657212,7.61294940837852,4.408159078261977
Abitram,0.19510279150512105,0.20858153261746817,0.0,0.2949788322881896,0.0,1.0,1.0,81.00569380347918,1.0,79.70909126749466,82.30229633946368,76.31149507513476,85.69989253182358
Abl1,-0.20966065589831848,0.11238904568812567,0.0,0.15894211267431677,0.0,1.0,1.0,507.99772879185565,1.0,541.8769515199897,474.11850606372155,536.364706452203,479.6307511315083
Abracl,0.2556164716400598,0.2695478307651253,0.0,0.38119819797628796,0.0,1.0,1.0,38.26634277075587,1.0,34.604164126142685,41.92852141536906,37.14379205862796,39.38889348288378
Abraxas1,0.09745777800183081,0.2793489467774674,0.0,0.3950590691673343,0.0,1.0,1.0,40.06805418133546,1.0,39.5776002055894,40.55850815708153,37.64917173481094,42.48693662786
Abraxas2,-0.0013994887774423286,0.1493735595149068,0.0,0.2112461137259259,0.0,1.0,1.0,196.38260742803675,1.0,196.9952951231492,195.76991973292436,197.59785673310958,195.16735812296398
Acaa2,0.041803589862184146,0.18959255651268017,0.0,0.2681243647452198,0.0,1.0,1.0,135.93055345345252,1.0,132.84682228642006,139.014284620485,121.80656917676178,150.05453773014324
Acaca,0.137776181850089,0.14931878394308218,0.0,0.21116864936936475,0.0,1.0,1.0,208.03126630849565,1.0,186.4477350471303,229.614797569861,179.91550625545938,236.14702636153186
Acacb,0.017886040568780015,0.524914934759166,0.0,0.7423418198286008,0.0,1.0,1.0,9.49575079699247,1.0,9.334737380497215,9.656764213487726,8.95013477857645,10.04136681540849
Acan,-0.3339907274362608,1.3911480036147168,0.0,1.967380373980188,0.0,1.0,1.0,1.5158338850989506,1.0,1.5885248279750213,1.4431429422228803,1.2562171130914366,1.7754506571064648
Ace,-0.1357334794003067,0.49802429052737063,0.0,0.704312706055046,0.0,1.0,1.0,10.406509810864973,1.0,9.976194598380928,10.83682502334902,10.524225132848384,10.288794488881562
Ace2,-0.4555992642156142,0.6433451875831903,0.0,0.9098274895676106,0.0,1.0,1.0,6.332237792658116,1.0,7.212753071128145,5.451722514188087,6.479764569250876,6.1847110160653544
Acer1,-2.550282315948656,3.060705966573541,0.0,4.328491888364555,0.0,1.0,1.0,0.20312068300321284,0.3333333333333333,0.35207223328999215,0.05416913271643359,0.35207223328999215,0.05416913271643359
Ache,0.21617021488712362,0.24891411791369666,0.0,0.35201772141968557,0.0,1.0,1.0,52.37784282880384,1.0,51.759650702983265,52.9960349546244,52.127734933136416,52.62795072447125
Ackr1,-0.04156426092308562,0.24870669222323577,0.0,0.3517243771950512,0.0,1.0,1.0,62.11879142098598,1.0,62.69296311576872,61.54461972620326,67.32012942753177,56.91745341444021
Ackr2,2.769878382954267,2.885980338354114,0.0,4.081392535242482,0.0,1.0,1.0,0.45585443394885616,0.6666666666666666,0.23024120479293853,0.6814676631047738,0.4504668785153241,0.46124198938238825
Ackr3,-0.023533950676739777,0.3668249496208028,0.0,0.5187688187705667,0.0,1.0,1.0,21.817725372815044,1.0,24.055278426191432,19.580172319438653,20.611373240980246,23.02407750464984
Ackr4,0.5437492934168578,2.315753397926893,0.0,3.274969862459791,0.0,1.0,1.0,0.47555706577121576,0.5,0.34224854979662184,0.6088655817458096,0.5814627563514465,0.36965137519098495
Acly,-0.07102126708848201,0.10386312121562234,0.0,0.14688463465353385,0.0,1.0,1.0,889.96807713291,1.0,890.3341929482872,889.601961317533,895.2027857853521,884.7333684804679
Acod1,-1.6333238075739578,2.078584965881654,0.0,2.939563049294652,0.0,1.0,1.0,0.8646375268020412,0.6666666666666666,0.8474529374225117,0.8818221161815708,0.820450372750254,0.9088246808538284
Acot6,-0.15015087156920978,0.35582132581280973,0.0,0.5032073447460514,0.0,1.0,1.0,22.80345980917347,1.0,23.71030936499089,21.896610253356055,20.442074018859504,25.16484559948744
Acox1,-0.03429826332877047,0.11297517738836528,0.0,0.1597710280741324,0.0,1.0,1.0,660.158145471507,1.0,658.9060964885053,661.4101944545088,648.575591605606,671.740699337408
Acp2,-0.05026596434539459,0.13735443414731166,0.0,0.1942485036232103,0.0,1.0,1.0,380.3777025652566,1.0,389.79099599351247,370.9644091370008,413.7665683005062,346.98883683000713
Acp5,-1.6877684444456469,1.7388910303989524,0.0,2.4591632786791244,0.0,1.0,1.0,0.869779002838559,0.8333333333333334,1.1419995522227395,0.5975584534543785,0.9058782382159656,0.8336797674611524
Acr,-0.20928082559370312,0.9665049217094251,0.0,1.3668443683818154,0.0,1.0,1.0,3.023469940992871,1.0,3.5368402648062798,2.510099617179462,3.06567061503462,2.9812692669511223
Acsl1,-0.07549532199309164,0.17482216051124339,0.0,0.24723587039836653,0.0,1.0,1.0,105.37844017812854,1.0,108.05887863760888,102.6980017186482,113.43374443706792,97.32313591918917
Acsl4,-0.04705466789069273,0.11995585529756446,0.0,0.16964319744788015,0.0,1.0,1.0,531.4001476654929,1.0,541.161266175346,521.6390291556397,524.9969969340974,537.8032983968883
Acsl6,-0.07885306946776625,0.15125360962394138,0.0,0.2139049060880636,0.0,1.0,1.0,695.8786751786423,1.0,706.7843148320563,684.9730355252285,636.3488159311925,755.4085344260922
Acss1,-0.007106140561509205,0.1286069724647102,0.0,0.18187772467533636,0.0,1.0,1.0,223.54408551783737,1.0,228.07175070141776,219.01642033425696,246.29502279667676,200.793148238998
Acss2,-0.0358934537533208,0.18538913770442092,0.0,0.26217983285824537,0.0,1.0,1.0,90.3816430161197,1.0,94.5607157456076,86.20257028663177,93.14477664104164,87.61850939119773
Actl6a,-0.008667978510473672,0.21535298019662316,0.0,0.304555105291529,0.0,1.0,1.0,64.12332407262839,1.0,63.87805685777431,64.36859128748249,70.27622982493438,57.970418320322416
Actl6b,0.06323767277327184,0.2037425704302555,0.0,0.2881355063352229,0.0,1.0,1.0,86.2349839217001,1.0,84.80955671060379,87.66041113279641,88.54736163878918,83.92260620461103
Actn1,-0.293884476337455,0.1715476992706073,0.0,0.24260508290239396,0.0,1.0,1.0,181.96282240120328,1.0,201.15518527601705,162.7704595263895,182.2300470692278,181.69559773317874
Actn2,-0.5815948657787334,0.3399223937600462,0.0,0.4807228594097849,0.0,1.0,1.0,47.06991952301208,1.0,50.87940760570064,43.260431440323515,54.80911229315932,39.33072675286484
Actr1a,-0.08735223681041446,0.16653781013534352,0.0,0.2355200297413183,0.0,1.0,1.0,119.91200800504272,1.0,124.8789479877192,114.94506802236624,120.47347557942264,119.35054043066283
Actr1b,-0.0024804167340869245,0.13796305564945419,0.0,0.19510922440589215,0.0,1.0,1.0,258.94641815702226,1.0,263.4557939915153,254.43704232252927,267.35359307331754,250.53924324072705
Actr2,-0.07619129026399173,0.09175595394269188,0.0,0.12976251449423593,0.0,1.0,1.0,2128.487595128555,1.0,2122.1961533718236,2134.779036885285,2131.1273181303745,2125.8478721267343
Acvr1,0.05940222719681705,0.14260013053007614,0.0,0.20166703859180735,0.0,1.0,1.0,165.44680578427827,1.0,166.70144495516962,164.19216661338695,172.954450898731,157.93916066982553
