,cell_type,gene,effect,age,sex,mean,hdi_2.5%,hdi_97.5%,FC,FC_ratio,term
0,Mature oligodendrocytes,C1ql1,mtDSB_at_age×sex,21,female,0.09590937379014772,-0.6655694777126744,0.8453545477715732,1.1856932042617958,,"beta[21] (mtDSB effect @ age, sex=female)"
1,Mature oligodendrocytes,C1ql1,mtDSB_at_age×sex,21,male,0.119965440818491,-0.8184505994198958,1.0661379510249251,1.2627239983393075,,"beta[21] (mtDSB effect @ age, sex=male)"
2,Mature oligodendrocytes,C1ql1,mtDSB_at_age×sex,60,female,0.6109100617763431,-0.46738747889122667,1.6014436698263081,2.1118280415805795,,"beta[60] (mtDSB effect @ age, sex=female)"
3,Mature oligodendrocytes,C1ql1,mtDSB_at_age×sex,60,male,0.9770594089587127,-0.36620662162594775,2.182608793429386,3.250261059477949,,"beta[60] (mtDSB effect @ age, sex=male)"
4,Mature oligodendrocytes,C1ql1,age_interaction(old-young) within sex,60-21,female,0.5150006879861956,-0.39552318108611484,1.407262130176023,,1.853365092698154,age_interaction(60-21) (within sex=female)
5,Mature oligodendrocytes,C1ql1,age_interaction(old-young) within sex,60-21,male,0.8570939681402217,-0.3300315506302217,2.008578151189123,,2.81164113122995,age_interaction(60-21) (within sex=male)
6,Mature oligodendrocytes,C1ql1,sex_interaction(sex2-sex1) within age,21,male-female,0.02405606702834328,-0.7980301259514626,0.8233513653204279,,1.116263429082419,sex_interaction(male-female) (within age=21)
7,Mature oligodendrocytes,C1ql1,sex_interaction(sex2-sex1) within age,60,male-female,0.3661493471823694,-0.7711416499075353,1.4557921096507447,,1.6918799893277834,sex_interaction(male-female) (within age=60)
8,Mature oligodendrocytes,Nrp1,mtDSB_at_age×sex,21,female,-0.4439898071283304,-1.1782541595310498,0.37897196023716934,0.6941923835225612,,"beta[21] (mtDSB effect @ age, sex=female)"
9,Mature oligodendrocytes,Nrp1,mtDSB_at_age×sex,21,male,-0.3685160879442293,-1.2539845628937136,0.5670775387375663,0.7709266060900072,,"beta[21] (mtDSB effect @ age, sex=male)"
10,Mature oligodendrocytes,Nrp1,mtDSB_at_age×sex,60,female,0.20530590099841248,-0.7123439976583682,1.1399827417823645,1.3773712025509377,,"beta[60] (mtDSB effect @ age, sex=female)"
11,Mature oligodendrocytes,Nrp1,mtDSB_at_age×sex,60,male,0.7163040585109992,-0.4360852164849942,1.773931854011893,2.3860084320753048,,"beta[60] (mtDSB effect @ age, sex=male)"
12,Mature oligodendrocytes,Nrp1,age_interaction(old-young) within sex,60-21,female,0.649295708126743,-0.24027569673081767,1.5000440469727823,,2.11200077612781,age_interaction(60-21) (within sex=female)
13,Mature oligodendrocytes,Nrp1,age_interaction(old-young) within sex,60-21,male,1.0848201464552285,-0.09238903989400078,2.146619874075753,,3.4708571856279025,age_interaction(60-21) (within sex=male)
14,Mature oligodendrocytes,Nrp1,sex_interaction(sex2-sex1) within age,21,male-female,0.07547371918410116,-0.7433152753282724,0.8465249581107569,,1.1653143709262606,sex_interaction(male-female) (within age=21)
15,Mature oligodendrocytes,Nrp1,sex_interaction(sex2-sex1) within age,60,male-female,0.5109981575125868,-0.5759825578781972,1.5071584493924253,,1.916359797046366,sex_interaction(male-female) (within age=60)
16,Mature oligodendrocytes,Fli1,mtDSB_at_age×sex,21,female,0.14069106370041445,-0.5121435357382045,0.8213901982535687,1.2200891143965387,,"beta[21] (mtDSB effect @ age, sex=female)"
17,Mature oligodendrocytes,Fli1,mtDSB_at_age×sex,21,male,0.29939375613611435,-0.4305572239009255,1.078360053116636,1.4618142254034916,,"beta[21] (mtDSB effect @ age, sex=male)"
18,Mature oligodendrocytes,Fli1,mtDSB_at_age×sex,60,female,0.9125077679033554,-0.044621300227310624,1.7578559711956565,2.764259915312295,,"beta[60] (mtDSB effect @ age, sex=female)"
19,Mature oligodendrocytes,Fli1,mtDSB_at_age×sex,60,male,1.7694317624242193,0.4539268431560536,2.7362443964356475,6.805601107776731,,"beta[60] (mtDSB effect @ age, sex=male)"
20,Mature oligodendrocytes,Fli1,age_interaction(old-young) within sex,60-21,female,0.771816704202941,-0.07167657702400045,1.5358322932660453,,2.3471359446462876,age_interaction(60-21) (within sex=female)
21,Mature oligodendrocytes,Fli1,age_interaction(old-young) within sex,60-21,male,1.4700380062881049,0.21952801548549575,2.5026342256685714,,5.084339418455948,age_interaction(60-21) (within sex=male)
22,Mature oligodendrocytes,Fli1,sex_interaction(sex2-sex1) within age,21,male-female,0.15870269243569987,-0.5474927079360447,0.8916258060910792,,1.2496162005014622,sex_interaction(male-female) (within age=21)
23,Mature oligodendrocytes,Fli1,sex_interaction(sex2-sex1) within age,60,male-female,0.8569239945208638,-0.2499271273544487,1.81084542798728,,2.6609229256381486,sex_interaction(male-female) (within age=60)
24,Mature oligodendrocytes,Epha4,mtDSB_at_age×sex,21,female,-0.02578284615895082,-0.7949057534585614,0.7188255777970993,1.0474777915688693,,"beta[21] (mtDSB effect @ age, sex=female)"
25,Mature oligodendrocytes,Epha4,mtDSB_at_age×sex,21,male,0.23509802523761864,-0.6971459147964579,1.1460783490933133,1.4093468327141565,,"beta[21] (mtDSB effect @ age, sex=male)"
26,Mature oligodendrocytes,Epha4,mtDSB_at_age×sex,60,female,-0.6686381927376263,-1.6635280904601997,0.4173101350724284,0.5915876587199125,,"beta[60] (mtDSB effect @ age, sex=female)"
27,Mature oligodendrocytes,Epha4,mtDSB_at_age×sex,60,male,-0.6069350247924579,-1.7093242015777446,0.6098795144059972,0.6558500864535862,,"beta[60] (mtDSB effect @ age, sex=male)"
28,Mature oligodendrocytes,Epha4,age_interaction(old-young) within sex,60-21,female,-0.6428553465786754,-1.5227323479970496,0.2829587016663517,,0.585800782544879,age_interaction(60-21) (within sex=female)
29,Mature oligodendrocytes,Epha4,age_interaction(old-young) within sex,60-21,male,-0.8420330500300766,-1.95309313684964,0.33533023053261835,,0.5147162034861107,age_interaction(60-21) (within sex=male)
30,Mature oligodendrocytes,Epha4,sex_interaction(sex2-sex1) within age,21,male-female,0.26088087139656946,-0.580641710695769,1.053389665764036,,1.415489810463132,sex_interaction(male-female) (within age=21)
31,Mature oligodendrocytes,Epha4,sex_interaction(sex2-sex1) within age,60,male-female,0.0617031679451682,-1.0379003317018967,1.1533618236722982,,1.2330473064165577,sex_interaction(male-female) (within age=60)
32,Mature oligodendrocytes,Ccn1,mtDSB_at_age×sex,21,female,-0.03495174605882983,-0.7487719182297927,0.6841916418652317,1.0336266607401963,,"beta[21] (mtDSB effect @ age, sex=female)"
33,Mature oligodendrocytes,Ccn1,mtDSB_at_age×sex,21,male,-0.053537263707864755,-0.9499771839623372,0.8145090363030334,1.050991756900117,,"beta[21] (mtDSB effect @ age, sex=male)"
34,Mature oligodendrocytes,Ccn1,mtDSB_at_age×sex,60,female,-0.0755183657777888,-0.979635508183364,0.9046113263575001,1.0494366843957832,,"beta[60] (mtDSB effect @ age, sex=female)"
35,Mature oligodendrocytes,Ccn1,mtDSB_at_age×sex,60,male,-0.0360135640337863,-1.080507847760739,1.105672897111934,1.1277600042795686,,"beta[60] (mtDSB effect @ age, sex=male)"
36,Mature oligodendrocytes,Ccn1,age_interaction(old-young) within sex,60-21,female,-0.040566619718958974,-0.8270535172019333,0.8053608145067384,,1.048963909739145,age_interaction(60-21) (within sex=female)
37,Mature oligodendrocytes,Ccn1,age_interaction(old-young) within sex,60-21,male,0.017523699674078467,-0.9933285085711946,1.047562408625278,,1.169277773213901,age_interaction(60-21) (within sex=male)
38,Mature oligodendrocytes,Ccn1,sex_interaction(sex2-sex1) within age,21,male-female,-0.01858551764903493,-0.7925583534612133,0.7638573939798902,,1.0614522529806059,sex_interaction(male-female) (within age=21)
39,Mature oligodendrocytes,Ccn1,sex_interaction(sex2-sex1) within age,60,male-female,0.03950480174400251,-0.9587403293810852,1.058802769765438,,1.1899439336194582,sex_interaction(male-female) (within age=60)
40,Mature oligodendrocytes,Gabra2,mtDSB_at_age×sex,21,female,0.11518788772603239,-0.6382478701778145,0.8286448738040214,1.2039478554833218,,"beta[21] (mtDSB effect @ age, sex=female)"
41,Mature oligodendrocytes,Gabra2,mtDSB_at_age×sex,21,male,-0.007377164851194633,-0.9355298533801897,0.9269951536340658,1.1098275370018764,,"beta[21] (mtDSB effect @ age, sex=male)"
42,Mature oligodendrocytes,Gabra2,mtDSB_at_age×sex,60,female,0.6937688227115291,-0.3510116523141677,1.690334297613834,2.2843585791020953,,"beta[60] (mtDSB effect @ age, sex=female)"
43,Mature oligodendrocytes,Gabra2,mtDSB_at_age×sex,60,male,1.0305113995529784,-0.2089935940266454,2.241848005078285,3.391736723433447,,"beta[60] (mtDSB effect @ age, sex=male)"
44,Mature oligodendrocytes,Gabra2,age_interaction(old-young) within sex,60-21,female,0.5785809349854967,-0.32030584707616533,1.4356097418861642,,1.9688164117275193,age_interaction(60-21) (within sex=female)
45,Mature oligodendrocytes,Gabra2,age_interaction(old-young) within sex,60-21,male,1.0378885644041729,-0.186245759234027,2.2012802734016597,,3.3696015290914185,age_interaction(60-21) (within sex=male)
46,Mature oligodendrocytes,Gabra2,sex_interaction(sex2-sex1) within age,21,male-female,-0.12256505257722702,-0.9129603302907019,0.6609759040839119,,0.9606724943239285,sex_interaction(male-female) (within age=21)
