,cell_type,gene,effect,age,sex,mean,hdi_2.5%,hdi_97.5%,FC,FC_ratio,term
136,Microglia,Washc2,mtDSB_at_age×sex,21,female,0.4583599482402931,-0.3670153161206837,1.221839708744169,1.7174404802065573,,"beta[21] (mtDSB effect @ age, sex=female)"
137,Microglia,Washc2,mtDSB_at_age×sex,21,male,0.4233340706308787,-0.5798054213562485,1.3619290661287229,1.7156979396398007,,"beta[21] (mtDSB effect @ age, sex=male)"
138,Microglia,Washc2,mtDSB_at_age×sex,60,female,0.42499807634337705,-0.6299918316906408,1.4071466640580361,1.7446983748619969,,"beta[60] (mtDSB effect @ age, sex=female)"
139,Microglia,Washc2,mtDSB_at_age×sex,60,male,0.24269582356412409,-0.9464289974700356,1.4703160145633154,1.554561151472661,,"beta[60] (mtDSB effect @ age, sex=male)"
140,Microglia,Washc2,age_interaction(old-young) within sex,60-21,female,-0.0333618718969161,-0.8663503492231548,0.8166037263896874,,1.058264710447478,age_interaction(60-21) (within sex=female)
141,Microglia,Washc2,age_interaction(old-young) within sex,60-21,male,-0.18063824706675455,-1.250666474327611,1.0159367204631713,,0.9833695360383242,age_interaction(60-21) (within sex=male)
142,Microglia,Washc2,sex_interaction(sex2-sex1) within age,21,male-female,-0.035025877609414474,-0.860192830498385,0.7748327115608109,,1.0504861605606688,sex_interaction(male-female) (within age=21)
143,Microglia,Washc2,sex_interaction(sex2-sex1) within age,60,male-female,-0.18230225277925294,-1.235439253023882,0.9731977589253239,,0.9772849275232002,sex_interaction(male-female) (within age=60)
144,Microglia,Lamc1,mtDSB_at_age×sex,21,female,-0.06315514108628688,-0.7865741700534798,0.6576153731113884,1.0056228888804708,,"beta[21] (mtDSB effect @ age, sex=female)"
145,Microglia,Lamc1,mtDSB_at_age×sex,21,male,0.360513014126411,-0.6120771415626675,1.3690023973729246,1.6291260557042555,,"beta[21] (mtDSB effect @ age, sex=male)"
146,Microglia,Lamc1,mtDSB_at_age×sex,60,female,-0.4211951392128343,-1.4567980392834041,0.6379250466534229,0.7561629197104205,,"beta[60] (mtDSB effect @ age, sex=female)"
147,Microglia,Lamc1,mtDSB_at_age×sex,60,male,-0.09288821467350175,-1.2687565470855362,1.1701885619968837,1.1044660916470226,,"beta[60] (mtDSB effect @ age, sex=male)"
148,Microglia,Lamc1,age_interaction(old-young) within sex,60-21,female,-0.3580399981265474,-1.2068184500374544,0.519515545533149,,0.773576280644433,age_interaction(60-21) (within sex=female)
149,Microglia,Lamc1,age_interaction(old-young) within sex,60-21,male,-0.45340122879991274,-1.5497457141762356,0.7574097404294301,,0.7587227595507263,age_interaction(60-21) (within sex=male)
150,Microglia,Lamc1,sex_interaction(sex2-sex1) within age,21,male-female,0.4236681552126979,-0.4417683850368495,1.2851591500751778,,1.6782489318476892,sex_interaction(male-female) (within age=21)
151,Microglia,Lamc1,sex_interaction(sex2-sex1) within age,60,male-female,0.3283069245393325,-0.7783292572952459,1.3606170343054231,,1.60575732808854,sex_interaction(male-female) (within age=60)
152,Microglia,Wee1,mtDSB_at_age×sex,21,female,0.46744285000385555,-0.3444453860142663,1.1932912378968235,1.7192822559052479,,"beta[21] (mtDSB effect @ age, sex=female)"
153,Microglia,Wee1,mtDSB_at_age×sex,21,male,0.8863079876990085,-0.1723577029140271,1.8479077478348536,2.756330519920818,,"beta[21] (mtDSB effect @ age, sex=male)"
154,Microglia,Wee1,mtDSB_at_age×sex,60,female,0.13906114154555968,-0.8467462732607933,1.1257187914220212,1.30743095301924,,"beta[60] (mtDSB effect @ age, sex=female)"
