cell_class,gene,effect,age,mean,hdi_2.5%,hdi_97.5%,term
Telencephalon astrocytes,Adgrl1,mtDSB_at_age,60,0.18261494746084234,-1.6448947310298219,1.6986773225987857,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Adgrl1,age_interaction,60–21,0.3682539437725162,-1.8490385668189113,2.456357350046436,age_interaction(60 - 21)
Telencephalon astrocytes,Brpf1,mtDSB_at_age,21,0.08994226081169279,-0.029231553454935003,0.2170542136938197,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Brpf1,mtDSB_at_age,60,-0.11282065673170576,-0.2316144286687131,0.011834030741318296,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Brpf1,age_interaction,60–21,-0.20276291754339854,-0.36784563295991707,-0.030729329838504515,age_interaction(60 - 21)
Telencephalon astrocytes,Atg16l1,mtDSB_at_age,21,0.09494471457822577,-0.04040205196921458,0.21946328659585287,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Atg16l1,mtDSB_at_age,60,-0.11575382666811183,-0.24544990384856027,0.018960216393687977,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Atg16l1,age_interaction,60–21,-0.21069854124633758,-0.40392497448708964,-0.023085375865711615,age_interaction(60 - 21)
Telencephalon astrocytes,Grin2b,mtDSB_at_age,21,0.14516759293715376,-0.06794208962998943,0.3532860444234143,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Grin2b,mtDSB_at_age,60,-0.14949922814614944,-0.35392025529652593,0.05913442486986904,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Grin2b,age_interaction,60–21,-0.2946668210833032,-0.5784962198591317,-0.008210227187986027,age_interaction(60 - 21)
Telencephalon astrocytes,Vamp3,mtDSB_at_age,21,-0.008407583619412223,-1.7802656008887923,1.8225380179272765,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Vamp3,mtDSB_at_age,60,-0.016300715487858747,-1.711921752523236,1.7488982689797459,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Vamp3,age_interaction,60–21,-0.007893131868446524,-1.8664371193262104,1.8338776465041315,age_interaction(60 - 21)
Telencephalon astrocytes,Snrk,mtDSB_at_age,21,0.013829973740011586,-1.7509839101465177,1.7269753768414384,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Snrk,mtDSB_at_age,60,0.007046252930773657,-1.7573059253038283,1.7541774170391453,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Snrk,age_interaction,60–21,-0.006783720809237927,-1.8265373707811172,1.8364767160818574,age_interaction(60 - 21)
Telencephalon astrocytes,H2afv,mtDSB_at_age,21,-0.20652790024270798,-0.4160611909813357,0.007029586300669954,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,H2afv,mtDSB_at_age,60,0.12660416430596397,-0.08676640840682245,0.32362744504241026,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,H2afv,age_interaction,60–21,0.33313206454867195,0.03185452184968079,0.6207516633319801,age_interaction(60 - 21)
Telencephalon astrocytes,Tepsin,mtDSB_at_age,21,0.18980505961960403,0.026621953498102535,0.35439059109107296,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Tepsin,mtDSB_at_age,60,-0.08561122408007939,-0.2455247570998071,0.07825283321733187,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Tepsin,age_interaction,60–21,-0.2754162836996834,-0.5053015875750044,-0.04414473411125246,age_interaction(60 - 21)
Telencephalon astrocytes,Sox8,mtDSB_at_age,21,0.004174748725984527,-1.751265417441417,1.8179094387091808,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Sox8,mtDSB_at_age,60,-0.029257333282830863,-1.7181743014705868,1.670690778917612,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Sox8,age_interaction,60–21,-0.03343208200881539,-1.8904664319104396,1.8365095604153032,age_interaction(60 - 21)
Telencephalon astrocytes,Il15,mtDSB_at_age,21,0.07953211107970097,-0.3754930098763036,0.5031767595914214,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Il15,mtDSB_at_age,60,-0.5298560445339988,-0.9179279184569892,-0.09272388728743206,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Il15,age_interaction,60–21,-0.6093881556136999,-1.1631961184995747,0.02306418064675233,age_interaction(60 - 21)
Telencephalon astrocytes,Pnpla3,mtDSB_at_age,21,-0.019051174220986546,-0.22419533094127791,0.18938130481492,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Pnpla3,mtDSB_at_age,60,-0.3361854971318265,-0.5362530547697675,-0.13225602963067523,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Pnpla3,age_interaction,60–21,-0.31713432291084,-0.6155019742434821,-0.034508003048753795,age_interaction(60 - 21)
Telencephalon astrocytes,Ddit4,mtDSB_at_age,21,-0.0019511807398802858,-1.609677838519858,1.723110519512605,beta[21] (mtDSB effect @ age)
Telencephalon astrocytes,Ddit4,mtDSB_at_age,60,0.19082434203973248,-1.6461007770912395,1.66307468649075,beta[60] (mtDSB effect @ age)
Telencephalon astrocytes,Ddit4,age_interaction,60–21,0.19277552277961263,-1.86388968829527,1.7312909418643239,age_interaction(60 - 21)
