,gene,rbd_annotation,mean_scaled_or_mean,frac
0,Mt2,Caudoputamen,0.19485839555702852,0.6506564596453591
1,Gstp1,Caudoputamen,0.1750017874957299,0.34152364489448367
2,Sqstm1,Caudoputamen,0.08797015474544417,0.3608264394781823
3,Nfe2l1,Caudoputamen,0.4148760701020323,0.5265259085484825
4,Atf4,Caudoputamen,0.054067840323320286,0.39827962299879166
5,Jun,Caudoputamen,0.0659863575443201,0.3242787175371921
6,Atf5,Caudoputamen,0.10187807093827696,0.13339095361566897
7,Hspa5,Caudoputamen,0.14001842947656837,0.5965345515908522
8,Hspd1,Caudoputamen,0.2596780449658253,0.5070584845866712
9,Hspa9,Caudoputamen,0.2556260636073554,0.466724286949092
10,Gdf15,Caudoputamen,0.2033574890696001,0.0017286084701815046
11,Adm,Caudoputamen,0.10182044891148381,0.004691937276206927
12,Cst7,Caudoputamen,0.07547385623503557,0.004115734452813095
13,Igfbp3,Caudoputamen,0.0860271120912308,0.04173354735152452
14,Serpina3n,Caudoputamen,0.006859232332524073,0.026669959254229197
15,B2m,Caudoputamen,0.1363721801971571,0.32362020002474184
16,H2-D1,Caudoputamen,0.11168084068673104,0.14952463267070068
17,H2-K1,Caudoputamen,0.14610589428878035,0.14491501008354876
18,Ctss,Caudoputamen,0.4668847454896833,0.17648269333663377
19,Kif5a,Caudoputamen,0.2728894183167343,0.7724410421041317
20,Kif5b,Caudoputamen,0.16698732136729008,0.6557188130223206
21,Dync1li1,Caudoputamen,0.6028384663457702,0.2549697493518008
22,Itgb1,Caudoputamen,0.20179193393179154,0.2595793719389527
23,Mpzl1,Caudoputamen,0.17466883207169098,0.1416224225212974
24,Ndrg2,Caudoputamen,0.2759164718897131,0.7301724492737297
25,Gfap,Caudoputamen,0.08355761007869725,0.24171708441373904
26,S100a1,Caudoputamen,0.362361516640563,0.27925258262340463
27,Calb2,Caudoputamen,0.0,0.01983784006255933
28,Nmu,Caudoputamen,0.15478099526276853,0.014116969173149025
29,Ccl3,Caudoputamen,0.15962750106110427,0.004280363830925619
30,Mt2,Cortex I,0.033297990553904595,0.6137827099601175
31,Gstp1,Cortex I,0.0,0.27986710508290197
32,Sqstm1,Cortex I,0.2166583351937203,0.4296478969722106
33,Nfe2l1,Cortex I,0.5008932302403962,0.5956980408273879
34,Atf4,Cortex I,0.8207913112315602,0.6580353473076302
35,Jun,Cortex I,0.0593372222320294,0.35405535004797
36,Atf5,Cortex I,0.05889536120654544,0.1482052335936492
37,Hspa5,Cortex I,0.12691935972784768,0.6363885463760296
38,Hspd1,Cortex I,0.17912858038518395,0.5304493766269144
39,Hspa9,Cortex I,0.25630967674508337,0.5072612686669561
40,Gdf15,Cortex I,0.12063222460399611,0.0015070557610631606
41,Adm,Cortex I,0.16913742627241876,0.008288806685847402
42,Cst7,Cortex I,0.007412585211016303,0.0008905329497191401
43,Igfbp3,Cortex I,0.03378035253717661,0.02383888203863516
44,Serpina3n,Cortex I,0.0009963165147482158,0.03664885600767201
45,B2m,Cortex I,0.25507647227984365,0.5661734484175148
46,H2-D1,Cortex I,0.10762071860395285,0.1768392930538509
47,H2-K1,Cortex I,0.10854766451673496,0.1289902726400928
48,Ctss,Cortex I,0.32154674377836395,0.15193862172901043
49,Kif5a,Cortex I,0.41491749643029036,0.8914577339355708
50,Kif5b,Cortex I,0.15362826790446735,0.7012604466362379
51,Dync1li1,Cortex I,0.6854349559319404,0.30216468009317865
52,Itgb1,Cortex I,0.18259550384435927,0.28884093711468767
53,Mpzl1,Cortex I,0.00038891390975586733,0.09165639128648054
54,Ndrg2,Cortex I,0.28807350315152136,0.7765104808873876
55,Gfap,Cortex I,0.0,0.11001507055761464
56,S100a1,Cortex I,0.2286265881003732,0.24979449239623083
57,Calb2,Cortex I,0.01458650295657769,0.0409645156870804
58,Nmu,Cortex I,0.1165750812636706,0.013118235374708928
59,Ccl3,Cortex I,0.07277755039727882,0.0021235785724071803
60,Mt2,Cortex II,0.1252565230030941,0.6588415300547696
61,Gstp1,Cortex II,0.08866495011877383,0.30592349726772894
62,Sqstm1,Cortex II,0.14958185764245113,0.4031475409835632
63,Nfe2l1,Cortex II,0.5973685925872225,0.6008743169399495
64,Atf4,Cortex II,0.9982847917951619,0.6596721311476668
