,gene,rbd_annotation,mean_scaled_or_mean,frac
65,Jun,Cortex II,0.09367908119193741,0.3918688524589745
66,Atf5,Cortex II,0.1717405559448725,0.18155191256829165
67,Hspa5,Cortex II,0.06175536719949376,0.5777923497268085
68,Hspd1,Cortex II,0.27378747867415176,0.5419453551912485
69,Hspa9,Cortex II,0.473808062015755,0.5269071038251112
70,Gdf15,Cortex II,0.25357040902457895,0.0024043715846994514
71,Adm,Cortex II,0.2773389024809101,0.013333333333333293
72,Cst7,Cortex II,0.02530328219875827,0.001967213114754097
73,Igfbp3,Cortex II,0.06876646563339694,0.03632786885245952
74,Serpina3n,Cortex II,0.05871375886267288,0.0545136612021868
75,B2m,Cortex II,0.2135760296834952,0.49914754098355063
76,H2-D1,Cortex II,0.1613130240422388,0.22142076502730282
77,H2-K1,Cortex II,0.18152406442212413,0.16804371584698194
78,Ctss,Cortex II,0.3059176334272394,0.1455300546447991
79,Kif5a,Cortex II,0.5031161834466938,0.9020327868856477
80,Kif5b,Cortex II,0.2538824164451273,0.7229726775958263
81,Dync1li1,Cortex II,0.6639622152689643,0.2929836065573481
82,Itgb1,Cortex II,0.2298143794695838,0.3032568306010626
83,Mpzl1,Cortex II,0.14455062514962957,0.13167213114753315
84,Ndrg2,Cortex II,0.4079317095403421,0.8274535519128852
85,Gfap,Cortex II,0.018397821716829816,0.14281967213113825
86,S100a1,Cortex II,0.30943335319980964,0.278863387978115
87,Calb2,Cortex II,0.00909166264536199,0.035584699453552394
88,Nmu,Cortex II,0.2369575599545651,0.02085245901639352
89,Ccl3,Cortex II,0.11241133700084559,0.0034535519125683018
90,Mt2,Cortex III,0.011875005353333625,0.5705835171445451
91,Gstp1,Cortex III,0.1785033059626014,0.33055945458189695
92,Sqstm1,Cortex III,0.3229871674426119,0.4175355925405559
93,Nfe2l1,Cortex III,0.6437251678687426,0.6028674553839909
94,Atf4,Cortex III,0.7685157660355967,0.6181572087427346
95,Jun,Cortex III,0.07187640395154134,0.364998997393193
96,Atf5,Cortex III,0.13126631460913504,0.15415079205935353
97,Hspa5,Cortex III,0.11745140933736484,0.6042209745337813
98,Hspd1,Cortex III,0.23776085278969145,0.5193503108080334
99,Hspa9,Cortex III,0.3267291727145008,0.4943352717063573
100,Gdf15,Cortex III,0.20699984873243335,0.0016543011830759962
101,Adm,Cortex III,0.1541860236361585,0.007720072187687966
102,Cst7,Cortex III,0.02032276735118434,0.0019049528774814498
103,Igfbp3,Cortex III,0.09230861298721825,0.044716262281933775
104,Serpina3n,Cortex III,0.026311924869027486,0.042961700421095546
105,B2m,Cortex III,0.15895852178172018,0.42495488269495446
106,H2-D1,Cortex III,0.10031077453390737,0.15771004611991157
107,H2-K1,Cortex III,0.10785983717489031,0.12362141568076451
108,Ctss,Cortex III,0.24131834156711637,0.13339683176257847
109,Kif5a,Cortex III,0.5197639890433676,0.9113695608584461
110,Kif5b,Cortex III,0.2879942714451992,0.7295969520754798
111,Dync1li1,Cortex III,0.7415950068701865,0.2848907158612409
112,Itgb1,Cortex III,0.1692350220553326,0.2636354521756666
113,Mpzl1,Cortex III,0.10574436116247901,0.11244235011028249
114,Ndrg2,Cortex III,0.23552656137849604,0.7193703629437299
115,Gfap,Cortex III,0.05584421346253306,0.2234810507319137
116,S100a1,Cortex III,0.2252932284957759,0.21470824142772135
117,Calb2,Cortex III,0.0014080583898228266,0.01874874674152799
118,Nmu,Cortex III,0.14905249625590483,0.01569079606978136
119,Ccl3,Cortex III,0.14482447367977397,0.00350912372167636
120,Mt2,Dentate gyrus,0.0,0.4577891791044843
121,Gstp1,Dentate gyrus,0.05075686110741061,0.25513059701492846
122,Sqstm1,Dentate gyrus,0.0,0.29034514925373506
123,Nfe2l1,Dentate gyrus,0.0,0.3125000000000041
124,Atf4,Dentate gyrus,0.07205918595339711,0.3584421641791094
125,Jun,Dentate gyrus,0.9999999999956737,0.7842817164178553
126,Atf5,Dentate gyrus,0.009686713697520553,0.10634328358209001
127,Hspa5,Dentate gyrus,0.13454451239435858,0.5382462686567154
128,Hspd1,Dentate gyrus,0.2584168317350817,0.43423507462687194
129,Hspa9,Dentate gyrus,0.1824484346104506,0.3859608208955278
130,Gdf15,Dentate gyrus,0.05694000032020548,0.0004664179104477612
131,Adm,Dentate gyrus,0.03055918371148938,0.0023320895522388058
132,Cst7,Dentate gyrus,0.013524737514070597,0.0016324626865671641
133,Igfbp3,Dentate gyrus,0.017453374031705597,0.015391791044776136
134,Serpina3n,Dentate gyrus,0.5271176714308543,0.19822761194030059
135,B2m,Dentate gyrus,0.0,0.22061567164179352
136,H2-D1,Dentate gyrus,0.0,0.06949626865671622
137,H2-K1,Dentate gyrus,0.0,0.07229477611940284
138,Ctss,Dentate gyrus,0.0,0.09188432835820916
139,Kif5a,Dentate gyrus,0.021114280521279515,0.3526119402985123
140,Kif5b,Dentate gyrus,0.027864987874877567,0.5450093283582065
141,Dync1li1,Dentate gyrus,0.752170699771941,0.2194496268656741
142,Itgb1,Dentate gyrus,0.0,0.12383395522388137
143,Mpzl1,Dentate gyrus,0.07199922989019254,0.10890858208955274
144,Ndrg2,Dentate gyrus,0.0,0.41091417910448347
145,Gfap,Dentate gyrus,0.15044144331750833,0.3094682835820936
146,S100a1,Dentate gyrus,0.0,0.08372201492537319
147,Calb2,Dentate gyrus,0.01711701080646971,0.05876865671641764
148,Nmu,Dentate gyrus,0.002173387689651057,0.0018656716417910447
149,Ccl3,Dentate gyrus,0.012448935061805265,0.0011660447761194029
150,Mt2,Fiber tracts (corpus and internal capsule),0.48555282570540187,0.6120476610768669
151,Gstp1,Fiber tracts (corpus and internal capsule),0.999999999988944,0.4359664607238542
152,Sqstm1,Fiber tracts (corpus and internal capsule),0.9999999999676423,0.34514563106801704
153,Nfe2l1,Fiber tracts (corpus and internal capsule),0.13362434467961024,0.28292144748457176
154,Atf4,Fiber tracts (corpus and internal capsule),0.36377687773564765,0.3548102383054458
155,Jun,Fiber tracts (corpus and internal capsule),0.39479230843890295,0.4720211827009285
156,Atf5,Fiber tracts (corpus and internal capsule),0.6548906263214858,0.17992056487201918
157,Hspa5,Fiber tracts (corpus and internal capsule),0.11005622016407347,0.4287731685791013
158,Hspd1,Fiber tracts (corpus and internal capsule),0.20015114952556806,0.3455428067079114
159,Hspa9,Fiber tracts (corpus and internal capsule),0.5954260333283586,0.3654898499559378
160,Gdf15,Fiber tracts (corpus and internal capsule),0.5641342646971261,0.003486319505736977
161,Adm,Fiber tracts (corpus and internal capsule),0.17378428979072685,0.004942630185348635
162,Cst7,Fiber tracts (corpus and internal capsule),0.3025627882382758,0.011871138570167673
163,Igfbp3,Fiber tracts (corpus and internal capsule),0.01697497735598226,0.010723742277140326
164,Serpina3n,Fiber tracts (corpus and internal capsule),0.31090718945825363,0.07700794351279709
165,B2m,Fiber tracts (corpus and internal capsule),0.5608111136683587,0.5228596646073742
166,H2-D1,Fiber tracts (corpus and internal capsule),0.457492063760666,0.32255075022069507
167,H2-K1,Fiber tracts (corpus and internal capsule),0.44001297792267186,0.24783759929390717
168,Ctss,Fiber tracts (corpus and internal capsule),0.8097931879887023,0.17188879082082775
169,Kif5a,Fiber tracts (corpus and internal capsule),0.5953952880530814,0.8007943512797469
170,Kif5b,Fiber tracts (corpus and internal capsule),0.741937927759528,0.6816416593115973
171,Dync1li1,Fiber tracts (corpus and internal capsule),0.5129329109752977,0.14849955869373183
172,Itgb1,Fiber tracts (corpus and internal capsule),0.4049839095173051,0.29351279788175394
173,Mpzl1,Fiber tracts (corpus and internal capsule),0.9999999999773528,0.26641659311562954
174,Ndrg2,Fiber tracts (corpus and internal capsule),0.2996173430288024,0.5855692850839448
175,Gfap,Fiber tracts (corpus and internal capsule),0.5242930329669979,0.5745366284202272
176,S100a1,Fiber tracts (corpus and internal capsule),0.9882901728065215,0.3984554280671673
177,Calb2,Fiber tracts (corpus and internal capsule),0.017334431461790437,0.03468667255074993
178,Nmu,Fiber tracts (corpus and internal capsule),0.16370428955387709,0.010061782877316856
179,Ccl3,Fiber tracts (corpus and internal capsule),0.3820098949726735,0.006928508384819083
180,Mt2,Hippocampal formation,0.1984520695786422,0.7158968021010714
181,Gstp1,Hippocampal formation,0.12738688599314377,0.3899273906998457
182,Sqstm1,Hippocampal formation,0.09133593036905308,0.42684999227562437
183,Nfe2l1,Hippocampal formation,0.344642962922813,0.5685153715433608
184,Atf4,Hippocampal formation,0.5256778778577517,0.6165610999536837
185,Jun,Hippocampal formation,0.010077880265301648,0.3270508265101306
186,Atf5,Hippocampal formation,0.0031102687314016435,0.1429012822493434
187,Hspa5,Hippocampal formation,0.07547191262580782,0.6134713424996436
188,Hspd1,Hippocampal formation,0.36687728923713736,0.5918430403213633
189,Hspa9,Hippocampal formation,0.3050145428340008,0.5424069210567224
190,Gdf15,Hippocampal formation,0.016235547013083683,0.0006179514908079716
191,Adm,Hippocampal formation,0.1041214255843924,0.004634636181059786
192,Cst7,Hippocampal formation,0.004267014417150775,0.0007724393635099645
193,Igfbp3,Hippocampal formation,0.13285896106199374,0.06890159122508915
194,Serpina3n,Hippocampal formation,0.4725732412062632,0.27128070446470764
195,B2m,Hippocampal formation,0.17817273510050854,0.5502858025645245
196,H2-D1,Hippocampal formation,0.08043880286468381,0.19141047427777225
197,H2-K1,Hippocampal formation,0.10248775792985053,0.16360265719141176
198,Ctss,Hippocampal formation,0.17137005362577767,0.14552757608527744
199,Kif5a,Hippocampal formation,0.23302452454835124,0.7749111694732365
200,Kif5b,Hippocampal formation,0.047987566935627,0.6737216128534247
201,Dync1li1,Hippocampal formation,0.7943655120066528,0.3414181986714169
202,Itgb1,Hippocampal formation,0.109696870792171,0.24887996292291725
203,Mpzl1,Hippocampal formation,0.06389668451960002,0.11725629538081166
204,Ndrg2,Hippocampal formation,0.19336948363424178,0.6608991194191585
205,Gfap,Hippocampal formation,0.1525590786803626,0.45558473659819687
206,S100a1,Hippocampal formation,0.17049016470273343,0.20871311602039655
207,Calb2,Hippocampal formation,0.004863462453153804,0.0412482620114322
208,Nmu,Hippocampal formation,0.015996064314251185,0.0049436119264637726
209,Ccl3,Hippocampal formation,0.004606069629950801,0.0009269272362119575
210,Mt2,Hypothalamus I,0.40159043910995407,0.6988872806222901
211,Gstp1,Hypothalamus I,0.5322441514170789,0.3940202641577228
212,Sqstm1,Hypothalamus I,0.7521850359074433,0.4428713587840926
213,Nfe2l1,Hypothalamus I,0.48354636171560217,0.5174597430793555
214,Atf4,Hypothalamus I,0.5481898420937101,0.5354170436040488
215,Jun,Hypothalamus I,0.1847910558625354,0.41446535190875905
216,Atf5,Hypothalamus I,0.29628555434131987,0.17125022616247149
217,Hspa5,Hypothalamus I,0.15431198348520409,0.5853084856159803
218,Hspd1,Hypothalamus I,0.4821811381313675,0.5355075085940977
219,Hspa9,Hypothalamus I,0.6865707191105118,0.5069205717386664
220,Gdf15,Hypothalamus I,0.47062856882227544,0.004025692057173877
221,Adm,Hypothalamus I,0.24487275470672185,0.008684639044689671
222,Cst7,Hypothalamus I,0.9999999998964272,0.03975936312647004
223,Igfbp3,Hypothalamus I,0.15058049900848453,0.044644472589107774
224,Serpina3n,Hypothalamus I,0.9999999999786813,0.24163198842046357
225,B2m,Hypothalamus I,0.5107335166581057,0.5446897050840542
226,H2-D1,Hypothalamus I,0.47660730700274156,0.3669712321331217
227,H2-K1,Hypothalamus I,0.5182631489133136,0.27994391170614435
228,Ctss,Hypothalamus I,0.8355797620462293,0.16840057897593325
229,Kif5a,Hypothalamus I,0.25396399698933575,0.7471503528133425
230,Kif5b,Hypothalamus I,0.23804096934876937,0.6753663832095935
231,Dync1li1,Hypothalamus I,0.8272379693613356,0.26619323321872174
232,Itgb1,Hypothalamus I,0.36372571697897293,0.33888185272295906
233,Mpzl1,Hypothalamus I,0.5985509935308194,0.20901935950785927
234,Ndrg2,Hypothalamus I,0.6291688634051296,0.8582413605933095
235,Gfap,Hypothalamus I,0.40457171416830856,0.502849647186469
236,S100a1,Hypothalamus I,0.4772709050885536,0.3055455038899641
237,Calb2,Hypothalamus I,0.25915284360815977,0.3277546589469526
238,Nmu,Hypothalamus I,0.9060525025469166,0.0562692238103846
239,Ccl3,Hypothalamus I,0.9855124068538436,0.018861950425185462
240,Mt2,Hypothalamus II,0.05831053089835049,0.6485249595156145
241,Gstp1,Hypothalamus II,0.31326114862770876,0.4627895515031407
242,Sqstm1,Hypothalamus II,0.917939781733705,0.5270013377454931
243,Nfe2l1,Hypothalamus II,0.4350552559363554,0.5695275645990002
244,Atf4,Hypothalamus II,0.20503424493704858,0.5109483911848977
245,Jun,Hypothalamus II,0.10796722953518903,0.4425825529817054
246,Atf5,Hypothalamus II,0.0,0.13757656833063295
247,Hspa5,Hypothalamus II,0.1699081939891513,0.6504963740055122
248,Hspd1,Hypothalamus II,0.7622832094999845,0.6496514820812703
249,Hspa9,Hypothalamus II,0.5269551285128034,0.5487573047947211
250,Gdf15,Hypothalamus II,0.057011412656522625,0.0011265225656551432
251,Adm,Hypothalamus II,0.0,0.0016897838484827143
252,Cst7,Hypothalamus II,0.001170507704953563,0.0007040766035344646
253,Igfbp3,Hypothalamus II,0.10402393129624489,0.05174963035978349
254,Serpina3n,Hypothalamus II,0.20863824416105076,0.13997042878264968
255,B2m,Hypothalamus II,0.13992213537737624,0.4522988101104792
256,H2-D1,Hypothalamus II,0.06987160326152696,0.18235584031541643
257,H2-K1,Hypothalamus II,0.0840664680830534,0.15046117017531122
258,Ctss,Hypothalamus II,0.22802060811964364,0.1720763219038152
259,Kif5a,Hypothalamus II,0.3057470803502358,0.8338379215659967
260,Kif5b,Hypothalamus II,0.3582900048144174,0.7588537632895312
261,Dync1li1,Hypothalamus II,0.9017787793071497,0.32119974653238664
262,Itgb1,Hypothalamus II,0.18989989895826978,0.31401816517633646
263,Mpzl1,Hypothalamus II,0.0,0.10709005139759285
264,Ndrg2,Hypothalamus II,0.7258860674063569,0.8900936421884341
265,Gfap,Hypothalamus II,0.03291035771128108,0.21037808913608283
266,S100a1,Hypothalamus II,0.25890984016384627,0.26832359360695834
267,Calb2,Hypothalamus II,0.24727335348564414,0.4917975075687552
268,Nmu,Hypothalamus II,0.02177236325659707,0.010490741392663532
269,Ccl3,Hypothalamus II,0.01938003066648028,0.0014081532070689287
270,Mt2,Medial habenula,0.33494863548730147,0.6843159065628897
271,Gstp1,Medial habenula,0.19695571849115798,0.32146829810900823
272,Sqstm1,Medial habenula,0.4899065907302055,0.3779755283648477
273,Nfe2l1,Medial habenula,0.9999999999877205,0.6215795328142648
274,Atf4,Medial habenula,0.6138431705863776,0.5394883203559578
275,Jun,Medial habenula,0.0,0.24560622914349142
276,Atf5,Medial habenula,0.3611368152853053,0.2086763070077853
277,Hspa5,Medial habenula,0.2445371671211594,0.618020022246967
278,Hspd1,Medial habenula,0.8355941005005333,0.5890989988876718
279,Hspa9,Medial habenula,0.7233110703020883,0.499443826473857
280,Gdf15,Medial habenula,0.0,0.0002224694104560623
281,Adm,Medial habenula,0.03491178563989485,0.003114571746384872
282,Cst7,Medial habenula,0.14684882808410918,0.0073414905450500615
283,Igfbp3,Medial habenula,0.0,0.008676307007786438
284,Serpina3n,Medial habenula,0.3220872662647554,0.098109010011123
285,B2m,Medial habenula,0.08177256839332041,0.3034482758620673
286,H2-D1,Medial habenula,0.13095485880022933,0.21512791991101107
287,H2-K1,Medial habenula,0.16495993790464084,0.17196885428253525
288,Ctss,Medial habenula,0.1162445899644444,0.10923248053392605
289,Kif5a,Medial habenula,0.07457818691622921,0.5181312569521707
290,Kif5b,Medial habenula,0.038223988328348626,0.5697441601779897
291,Dync1li1,Medial habenula,0.965528698537298,0.25761957730811874
292,Itgb1,Medial habenula,0.20968089472111856,0.2703003337041142
293,Mpzl1,Medial habenula,0.1610814595006779,0.1290322580645155
294,Ndrg2,Medial habenula,0.16648871670746335,0.6342602892102635
295,Gfap,Medial habenula,0.3660390237471182,0.5737486095661998
296,S100a1,Medial habenula,0.16911136778394076,0.18843159065628376
297,Calb2,Medial habenula,0.8152025676044851,0.5904338153504085
298,Nmu,Medial habenula,0.01294776437154504,0.002447163515016685
299,Ccl3,Medial habenula,0.27342823530741095,0.007563959955506124
300,Mt2,Meningeal–parenchymal border domain,0.999999999996859,0.8109664496744663
301,Gstp1,Meningeal–parenchymal border domain,0.001242352063549352,0.19303955933900338
302,Sqstm1,Meningeal–parenchymal border domain,0.14924831774020467,0.30145217826740267
303,Nfe2l1,Meningeal–parenchymal border domain,0.14806163341125553,0.3495242864296546
304,Atf4,Meningeal–parenchymal border domain,0.26819347196538285,0.383324987481238
305,Jun,Meningeal–parenchymal border domain,0.26168318407480073,0.41086629944919484
306,Atf5,Meningeal–parenchymal border domain,0.3051277436509177,0.1712568853279878
307,Hspa5,Meningeal–parenchymal border domain,0.06655802246487948,0.44629444166252114
308,Hspd1,Meningeal–parenchymal border domain,0.0,0.3397596394591972
309,Hspa9,Meningeal–parenchymal border domain,0.0,0.3345017526289509
310,Gdf15,Meningeal–parenchymal border domain,0.03138183142550851,0.0007511266900350525
311,Adm,Meningeal–parenchymal border domain,0.2614601446360806,0.009138708062093126
312,Cst7,Meningeal–parenchymal border domain,0.024005217828874863,0.0016274411617426137
313,Igfbp3,Meningeal–parenchymal border domain,0.1226673749916713,0.036805207811717804
314,Serpina3n,Meningeal–parenchymal border domain,0.08012301348421882,0.04857285928893377
315,B2m,Meningeal–parenchymal border domain,0.47848906315201817,0.5146469704557166
316,H2-D1,Meningeal–parenchymal border domain,0.35819567394453344,0.2930645968953431
317,H2-K1,Meningeal–parenchymal border domain,0.4555695152290025,0.26915373059588965
318,Ctss,Meningeal–parenchymal border domain,0.9999999999881398,0.2123184777165689
319,Kif5a,Meningeal–parenchymal border domain,0.3325072016208656,0.6966700050074961
320,Kif5b,Meningeal–parenchymal border domain,0.04553577783870024,0.5098898347521625
321,Dync1li1,Meningeal–parenchymal border domain,0.06746622687164464,0.13157235853780425
322,Itgb1,Meningeal–parenchymal border domain,0.42982849961046515,0.3209814722083175
323,Mpzl1,Meningeal–parenchymal border domain,0.5455718874619989,0.19291437155733088
324,Ndrg2,Meningeal–parenchymal border domain,0.7637015264274017,0.8411367050575329
325,Gfap,Meningeal–parenchymal border domain,0.2961733297523869,0.425513269904881
326,S100a1,Meningeal–parenchymal border domain,0.8543236697923342,0.3918377566349701
327,Calb2,Meningeal–parenchymal border domain,0.021964133703052197,0.05708562844266447
328,Nmu,Meningeal–parenchymal border domain,0.07118728216779542,0.005132699048572853
329,Ccl3,Meningeal–parenchymal border domain,0.09166948683207939,0.0030045067601402083
330,Mt2,Meninges,0.7999432062901216,0.7533065400072597
331,Gstp1,Meninges,0.006652044880780263,0.21731823164047198
332,Sqstm1,Meninges,0.375330390728585,0.36258677383995036
333,Nfe2l1,Meninges,0.6594060212050061,0.5153087321884966
334,Atf4,Meninges,0.13928644435138127,0.39137742053340835
335,Jun,Meninges,0.3051856505817083,0.4781147241505013
336,Atf5,Meninges,0.9718873016615996,0.3233467299963287
337,Hspa5,Meninges,0.27544976821452843,0.5958348556813664
338,Hspd1,Meninges,0.1227336314270041,0.4110339788088911
339,Hspa9,Meninges,0.47870771783183924,0.4476434051881359
340,Gdf15,Meninges,0.10048753385578209,0.001461454146876141
341,Adm,Meninges,0.9999999997755161,0.03960540738034333
342,Cst7,Meninges,0.05693164699273157,0.0030690537084398983
343,Igfbp3,Meninges,0.5285248336074847,0.09711362805991768
344,Serpina3n,Meninges,0.23377937973460147,0.0909024479356945
345,B2m,Meninges,0.9999999999962876,0.7689440993788333
346,H2-D1,Meninges,0.9999999999941482,0.6084764340518442
347,H2-K1,Meninges,0.9999999999906817,0.487833394227227
348,Ctss,Meninges,0.9536121960496805,0.3061015710631914
349,Kif5a,Meninges,0.0819391233612124,0.39473876507122324
350,Kif5b,Meninges,0.09921140000844161,0.5907197661673003
351,Dync1li1,Meninges,0.0,0.12816952868103354
352,Itgb1,Meninges,0.9999999999907911,0.5484106686152389
353,Mpzl1,Meninges,0.26135485085406507,0.1554987212276155
354,Ndrg2,Meninges,0.46867998215708107,0.7641213006941424
355,Gfap,Meninges,0.999999999997816,0.6920716112531536
356,S100a1,Meninges,0.9999999999880133,0.4891487029594154
357,Calb2,Meninges,0.027109504842134168,0.05743514797223271
358,Nmu,Meninges,0.052854388703227555,0.004530507855316042
359,Ccl3,Meninges,0.11329214178383411,0.0035074899525027415
360,Mt2,Olfactory areas,0.003761565094895787,0.552352048558256
361,Gstp1,Olfactory areas,0.1317663788314077,0.3636245393452732
362,Sqstm1,Olfactory areas,0.3000889961991212,0.4573162800779302
363,Nfe2l1,Olfactory areas,0.40341496517546604,0.5771515282894359
364,Atf4,Olfactory areas,0.4811335695869996,0.5882072404073571
365,Jun,Olfactory areas,0.42859339310750094,0.6335573379577315
366,Atf5,Olfactory areas,0.025560357942050718,0.1462822458270165
367,Hspa5,Olfactory areas,0.14336264942844676,0.6504660741380814
368,Hspd1,Olfactory areas,0.33468393057548373,0.5780619986991471
369,Hspa9,Olfactory areas,0.07114321906165494,0.4877086494687643
370,Gdf15,Olfactory areas,0.06441970991746669,0.0014740949490570116
371,Adm,Olfactory areas,0.11006046596269427,0.004985909386516366
372,Cst7,Olfactory areas,0.008615679719531715,0.001127249078690656
373,Igfbp3,Olfactory areas,0.19010245741440207,0.079167569911123
374,Serpina3n,Olfactory areas,0.013588347183568241,0.04482982874485192
375,B2m,Olfactory areas,0.14475516056542465,0.4127032300020838
376,H2-D1,Olfactory areas,0.07543525263809676,0.13080424886191702
377,H2-K1,Olfactory areas,0.10886937033270536,0.12759592456102806
378,Ctss,Olfactory areas,0.3555697273271443,0.16145675265554538
379,Kif5a,Olfactory areas,0.32493620182680105,0.8389768046820854
380,Kif5b,Olfactory areas,0.0,0.6469976154344199
381,Dync1li1,Olfactory areas,0.9542266679554238,0.35517017125509825
382,Itgb1,Olfactory areas,0.19483649433726696,0.29551268155212
383,Mpzl1,Olfactory areas,0.11274510682496225,0.12811619336657762
384,Ndrg2,Olfactory areas,0.20026987072026106,0.7050075872531589
385,Gfap,Olfactory areas,0.033655676443446005,0.2006503360069457
386,S100a1,Olfactory areas,0.2268468226144265,0.23004552352049595
387,Calb2,Olfactory areas,0.03418776238726132,0.07752005202688272
388,Nmu,Olfactory areas,0.21751752850158562,0.018556254064600056
389,Ccl3,Olfactory areas,0.08619063395804306,0.0017342293518317782
390,Mt2,Palladium,0.14634063689879676,0.6345838069976028
391,Gstp1,Palladium,0.3175748253077194,0.38373121131740445
392,Sqstm1,Palladium,0.4258577683017135,0.4297082228116495
393,Nfe2l1,Palladium,0.41890908940685373,0.5259568018188442
394,Atf4,Palladium,0.374077965740712,0.5109258557534113
395,Jun,Palladium,0.16339599808258556,0.42819249715799307
396,Atf5,Palladium,0.03841754718293263,0.12454212454212733
397,Hspa5,Palladium,0.13181278847751232,0.5992168750789372
398,Hspd1,Palladium,0.36990957220102144,0.5370721232789962
399,Hspa9,Palladium,0.3405895942945631,0.47960085891117366
400,Gdf15,Palladium,0.10722757161595645,0.001515725653656688
401,Adm,Palladium,0.0921099209781219,0.005178729316660355
402,Cst7,Palladium,0.03851663796657881,0.002652519893899205
403,Igfbp3,Palladium,0.1588090486949351,0.06100795755968142
404,Serpina3n,Palladium,0.13026743376172153,0.07768093974990574
405,B2m,Palladium,0.15720121900858525,0.3772893772893646
406,H2-D1,Palladium,0.09820115166276952,0.15990905646078513
407,H2-K1,Palladium,0.13050492391587915,0.13843627636731431
