,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
2610035D17Rik,354.80649659903605,-0.032777444978624046,0.13075680250605143,-0.2506748738912234,0.8020654882655508,0.9999370156431621
9630013A20Rik,188.27341494010247,0.17516346590734339,0.20071307989603593,0.8727057847852937,0.3828234638282484,0.9999370156431621
A1cf,0.29732650322033444,1.5419763832660818,3.7269986887991906,0.41373139945023546,0.6790708288335807,0.9999370156431621
A2m,35.50946516777785,1.0631678809190392,0.41005261569864654,2.592759661117188,0.009520927915615015,0.9999370156431621
Aatf,241.69163298737132,-0.0014424295721204646,0.14404173901183956,-0.010013969437024803,0.9920101419306764,0.9999370156431621
Abca1,346.1063601956759,0.06859678475033539,0.13648410172642658,0.5025990857736173,0.6152461721752178,0.9999370156431621
Abca13,0.38516429460113305,-0.2785974307460132,3.3171909525182186,-0.08398594917622039,0.9330676032292872,0.9999370156431621
Abca3,678.9187538567797,-0.06008893211819601,0.09881118048953594,-0.608118755595268,0.5431087136708672,0.9999370156431621
Abca4,4.169837377748665,-0.37896233875963103,0.9173003350087955,-0.4131278756766151,0.6795129270360071,0.9999370156431621
Abca7,160.7627783699975,0.2555322879806836,0.16701348287118464,1.5300099344540488,0.12601426991515413,0.9999370156431621
Abca8a,14.511985962754286,0.06842038593587846,0.5342002178448112,0.12808004124729702,0.8980856307246385,0.9999370156431621
Abca8b,162.4655643199967,0.058219169611930195,0.18040092493400384,0.32272101505703776,0.7469065353190709,0.9999370156431621
Abcb1a,130.72860219207772,-0.16176363013510234,0.19600189606304902,-0.8253166596055117,0.40919183603674625,0.9999370156431621
Abcb1b,38.43248135312502,-0.318223861056014,0.31219292455683867,-1.0193179794440772,0.30805203098642,0.9999370156431621
Abcb4,119.26300022985309,-0.1847722606197056,0.19436682211763737,-0.950636835065787,0.3417887630713248,0.9999370156431621
Abcb8,64.08818724479595,0.018512800100418125,0.24520634612071102,0.07549886205353175,0.9398178029041149,0.9999370156431621
Abcc1,144.7196927344088,-0.05365816605587637,0.18988650927973827,-0.28258019097516757,0.7774986669936106,0.9999370156431621
Abcc6,4.100855273626355,-1.295088346051591,0.9697968652486074,-1.3354222852840374,0.1817381749916267,0.9999370156431621
Abcc8,44.147350442599326,-0.08927792273522014,0.3307024450666481,-0.2699645075718371,0.7871875589584942,0.9999370156431621
Abcc9,8.00381941479304,0.7834109307950892,0.720669255536643,1.0870602912173988,0.27701016532539124,0.9999370156431621
Abcd2,58.912442973853594,0.07916583225495467,0.26374091620900453,0.3001651521989057,0.7640511846706318,0.9999370156431621
Abcd3,1095.194854724316,-0.05145496643634775,0.08846141019357118,-0.5816656813830351,0.5607918920234201,0.9999370156431621
Abcf1,193.27249201031586,0.07399835150718916,0.15373065471461836,0.4813506560845512,0.6302673002335109,0.9999370156431621
