,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,delta_log2FC,se_delta,z,p_delta,q_delta
2610035D17Rik,0.14404080945109524,0.12826269569242016,0.0,0.18139084379475376,0.0,1.0,1.0
9630013A20Rik,0.3919249176187232,0.16686138389706465,0.0,0.2359776321435724,0.0,1.0,1.0
A1cf,-1.9372559385366352,3.5585754829267136,0.0,5.032585710683344,0.0,1.0,1.0
A2m,0.6045786589964094,0.4686215049164816,0.0,0.6627308878725783,0.0,1.0,1.0
Aatf,-0.13162557730822383,0.13242256760982446,0.0,0.18727379107808187,0.0,1.0,1.0
Abca1,-0.09517326394249026,0.1475571923838441,0.0,0.2086773826949283,0.0,1.0,1.0
Abca13,-1.7912034581760776,3.694329641231315,0.0,5.224571082506256,0.0,1.0,1.0
Abca3,0.08351556322068063,0.09539924959678585,0.0,0.13491491261999056,0.0,1.0,1.0
Abca4,-0.10694403572565175,0.9096252745893036,0.0,1.2864044000015438,0.0,1.0,1.0
Abca7,-0.019386129688075338,0.1630788411668144,0.0,0.23062830891419675,0.0,1.0,1.0
Abca8a,-0.40651051016766065,0.5932565802824565,0.0,0.8389915018025329,0.0,1.0,1.0
Abca8b,0.005025942428041044,0.1557899905840687,0.0,0.22032031756596673,0.0,1.0,1.0
Abcb1a,-0.2014620282985121,0.18542382391617027,0.0,0.26222888656932863,0.0,1.0,1.0
Abcb1b,-0.10440772195492276,0.3105088863549933,0.0,0.4391258783205976,0.0,1.0,1.0
Abcb4,-0.028943990216598235,0.18135978298140834,0.0,0.2564814647613489,0.0,1.0,1.0
Abcb8,-0.04709647077370612,0.23130464643035895,0.0,0.3271141680217271,0.0,1.0,1.0
Abcc1,0.0068746664393584435,0.17126137725950186,0.0,0.2422001624310827,0.0,1.0,1.0
Abcc6,0.27547832284977347,0.8488578461529002,0.0,1.2004662785562457,0.0,1.0,1.0
Abcc8,0.09487250697413156,0.36302686301432957,0.0,0.5133975131806247,0.0,1.0,1.0
Abcc9,0.3979400909153353,0.795765547811665,0.0,1.1253824301845123,0.0,1.0,1.0
Abcd2,-0.153300377619014,0.26225322950847674,0.0,0.37088207394703177,0.0,1.0,1.0
Abcd3,0.00987509503976297,0.08435696224514937,0.0,0.11929876008768536,0.0,1.0,1.0
Abcf1,0.06786686242125882,0.14766405032619717,0.0,0.2088285026462513,0.0,1.0,1.0
Abcg2,-0.08552091641902719,0.13389170526117414,0.0,0.18935146546961354,0.0,1.0,1.0
Abhd17c,-0.12457174413527809,0.13274471819573863,0.0,0.18772938080580814,0.0,1.0,1.0
Abhd4,-0.023779360764838123,0.10856518871187777,0.0,0.153534362277932,0.0,1.0,1.0
