group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,-0.028823223,0.022704503,0.103,0.897,0.103,0.103,False,2610035D17Rik,60
Medium Spiny Neurons,-0.010567505,0.0097399065,0.134,0.866,0.134,0.1185,False,2610035D17Rik,60
Oligodendrocytes,-0.010164781,0.00971993,0.135,0.865,0.135,0.124,False,2610035D17Rik,60
Oligodendrocyte Precursor Cells,0.009046196,0.012069054,0.767,0.233,0.233,0.15125,False,2610035D17Rik,60
Neurons,0.00805051,0.011876395,0.755,0.245,0.245,0.16999999999999998,False,2610035D17Rik,60
Endothelial Cells,-0.008653677,0.03045453,0.395,0.605,0.395,0.20750000000000002,False,2610035D17Rik,60
Microglia,-0.0043377886,0.01772904,0.397,0.603,0.397,0.2345714285714286,False,2610035D17Rik,60
Neural Stem Cells,-0.004535992,0.020388493,0.405,0.595,0.405,0.255875,False,2610035D17Rik,60
Excitatory Neurons,0.0029640729,0.013252255,0.586,0.414,0.414,0.2734444444444445,False,2610035D17Rik,60
Endocrine Cells,0.008125599,0.057449166,0.559,0.441,0.441,0.2902,False,2610035D17Rik,60
Astrocytes,0.00028038266,0.017041365,0.525,0.475,0.475,0.307,False,2610035D17Rik,60
GABAergic Neurons,-0.0018341675,0.020457927,0.488,0.512,0.488,0.32208333333333333,False,2610035D17Rik,60
