,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013801898,0.011357657,0.89,0.11,0.11,0.11,False,Cab39l
Oligodendrocytes,0.0067437803,0.010114463,0.751,0.249,0.249,0.1795,False,Cab39l
Neurons,0.008261718,0.0137148015,0.727,0.273,0.273,0.21066666666666667,False,Cab39l
Myocytes,0.006820495,0.018746132,0.638,0.362,0.362,0.2485,False,Cab39l
Excitatory Neurons,0.0042730654,0.012497252,0.631,0.369,0.369,0.2726,False,Cab39l
Endothelial Cells,-0.009062836,0.030665739,0.393,0.607,0.393,0.2926666666666667,False,Cab39l
Astrocytes,0.0030079794,0.016321437,0.597,0.403,0.403,0.3084285714285714,False,Cab39l
Neural Stem Cells,0.0040702135,0.021351714,0.581,0.419,0.419,0.32225,False,Cab39l
Endocrine Cells,0.0027996935,0.027978094,0.541,0.459,0.459,0.33744444444444444,False,Cab39l
Microglia,-0.0012696107,0.018102704,0.462,0.538,0.462,0.3499,False,Cab39l
GABAergic Neurons,-0.0023241583,0.019599061,0.475,0.525,0.475,0.3612727272727273,False,Cab39l
Medium Spiny Neurons,-0.00041156466,0.009532334,0.497,0.503,0.497,0.3725833333333333,False,Cab39l
