,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013369259,0.011429788,0.882,0.118,0.118,0.118,False,Myh9
Myocytes,-0.019147923,0.018738987,0.163,0.837,0.163,0.1405,False,Myh9
Neurons,0.010476287,0.01374686,0.775,0.225,0.225,0.16866666666666666,False,Myh9
Endocrine Cells,0.016712336,0.028131438,0.732,0.268,0.268,0.1935,False,Myh9
Excitatory Neurons,0.005704767,0.012534241,0.671,0.329,0.329,0.2206,False,Myh9
Astrocytes,0.005136751,0.016369967,0.645,0.355,0.355,0.243,False,Myh9
Oligodendrocytes,0.0033387723,0.010215543,0.63,0.37,0.37,0.2611428571428571,False,Myh9
Medium Spiny Neurons,0.0024849894,0.009518902,0.619,0.381,0.381,0.27612499999999995,False,Myh9
Endothelial Cells,-0.0066790907,0.030244645,0.413,0.587,0.413,0.2913333333333333,False,Myh9
Microglia,0.0041968217,0.018407568,0.585,0.415,0.415,0.30369999999999997,False,Myh9
Neural Stem Cells,0.0030282633,0.021370435,0.561,0.439,0.439,0.31599999999999995,False,Myh9
GABAergic Neurons,-0.00090832205,0.01958052,0.502,0.498,0.498,0.3311666666666666,False,Myh9
