,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.030004343,0.018756792,0.055,0.945,0.055,0.055,False,Alpl
Oligodendrocyte Precursor Cells,0.012845146,0.011338178,0.874,0.126,0.126,0.0905,False,Alpl
Neurons,0.009226009,0.013830715,0.75,0.25,0.25,0.14366666666666666,False,Alpl
Endothelial Cells,-0.015578393,0.030677423,0.305,0.695,0.305,0.184,False,Alpl
Excitatory Neurons,0.0047919448,0.012443691,0.65,0.35,0.35,0.21719999999999998,False,Alpl
Endocrine Cells,0.006863588,0.027751999,0.605,0.395,0.395,0.24683333333333332,False,Alpl
Neural Stem Cells,-0.00314605,0.021518981,0.432,0.568,0.432,0.27328571428571424,False,Alpl
Microglia,-0.0012980939,0.018064022,0.462,0.538,0.462,0.296875,False,Alpl
Medium Spiny Neurons,0.00032201293,0.009584316,0.536,0.464,0.464,0.3154444444444444,False,Alpl
Astrocytes,0.0005139877,0.016366463,0.535,0.465,0.465,0.33039999999999997,False,Alpl
Oligodendrocytes,-0.0013133367,0.010364527,0.466,0.534,0.466,0.3427272727272727,False,Alpl
GABAergic Neurons,-0.0013354854,0.019479977,0.496,0.504,0.496,0.3555,False,Alpl
