,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.026345732,0.011549596,0.99,0.01,0.01,0.01,True,Mertk
Astrocytes,0.014581164,0.01701441,0.813,0.187,0.187,0.0985,False,Mertk
Neurons,0.012287504,0.013772247,0.811,0.189,0.189,0.12866666666666668,False,Mertk
Medium Spiny Neurons,0.005601955,0.009535418,0.731,0.269,0.269,0.16375,False,Mertk
Excitatory Neurons,0.005645402,0.012481342,0.667,0.333,0.333,0.1976,False,Mertk
Endocrine Cells,0.00913192,0.027825044,0.636,0.364,0.364,0.2253333333333333,False,Mertk
Myocytes,0.0055842907,0.01872027,0.617,0.383,0.383,0.24785714285714283,False,Mertk
Endothelial Cells,-0.006050892,0.030864732,0.425,0.575,0.425,0.26999999999999996,False,Mertk
Microglia,0.003538749,0.019077413,0.56,0.44,0.44,0.28888888888888886,False,Mertk
Oligodendrocytes,0.001134956,0.010325618,0.554,0.446,0.446,0.3046,False,Mertk
Neural Stem Cells,-0.0011781408,0.021416437,0.467,0.533,0.467,0.31936363636363635,False,Mertk
GABAergic Neurons,0.00016786152,0.019536816,0.522,0.478,0.478,0.3325833333333333,False,Mertk
