,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.0138025815,0.01129571,0.892,0.108,0.108,0.108,False,Myo1c
Neurons,0.009958941,0.013771514,0.765,0.235,0.235,0.17149999999999999,False,Myo1c
Myocytes,-0.011529809,0.018760413,0.27,0.73,0.27,0.20433333333333334,False,Myo1c
Excitatory Neurons,0.0051627895,0.012471588,0.654,0.346,0.346,0.23975,False,Myo1c
Astrocytes,0.0048252353,0.016257016,0.641,0.359,0.359,0.2636,False,Myo1c
Neural Stem Cells,0.0041832374,0.021516915,0.582,0.418,0.418,0.28933333333333333,False,Myo1c
Endothelial Cells,-0.0053073107,0.03071685,0.434,0.566,0.434,0.31,False,Myo1c
Medium Spiny Neurons,0.00085189205,0.009547912,0.556,0.444,0.444,0.32675,False,Myo1c
Endocrine Cells,-0.002372176,0.027968021,0.472,0.528,0.472,0.34288888888888885,False,Myo1c
Oligodendrocytes,0.00025316342,0.01031994,0.517,0.483,0.483,0.3569,False,Myo1c
Microglia,0.0013437188,0.018158996,0.511,0.489,0.489,0.3689090909090909,False,Myo1c
GABAergic Neurons,-0.0010150949,0.019527843,0.5,0.5,0.5,0.3798333333333333,False,Myo1c
