,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.011787546,0.01176523,0.835,0.165,0.165,0.165,False,Smoc1
Myocytes,0.016734624,0.01878597,0.803,0.197,0.197,0.181,False,Smoc1
Neurons,0.009262421,0.013728244,0.753,0.247,0.247,0.20299999999999999,False,Smoc1
Astrocytes,0.0047928905,0.016355595,0.639,0.361,0.361,0.2425,False,Smoc1
Excitatory Neurons,0.0042334003,0.012455279,0.63,0.37,0.37,0.26799999999999996,False,Smoc1
Neural Stem Cells,0.0064561814,0.021254033,0.628,0.372,0.372,0.28533333333333327,False,Smoc1
Endocrine Cells,0.0067523164,0.027828628,0.604,0.396,0.396,0.3011428571428571,False,Smoc1
Medium Spiny Neurons,0.0015497272,0.009554942,0.581,0.419,0.419,0.31587499999999996,False,Smoc1
Endothelial Cells,-0.0060682753,0.03094998,0.425,0.575,0.425,0.32799999999999996,False,Smoc1
Oligodendrocytes,-0.0018032168,0.010306897,0.447,0.553,0.447,0.3399,False,Smoc1
Microglia,-0.0012033788,0.01807243,0.464,0.536,0.464,0.35118181818181815,False,Smoc1
GABAergic Neurons,-0.0012806106,0.019520584,0.496,0.504,0.496,0.36325,False,Smoc1
