,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.08389352,0.02861501,0.996,0.004,0.004,0.004,True,Sult1a1
Oligodendrocyte Precursor Cells,0.0141588105,0.01128224,0.898,0.102,0.102,0.053,False,Sult1a1
Neurons,0.010266917,0.01379462,0.77,0.23,0.23,0.112,False,Sult1a1
Astrocytes,0.010285149,0.016465921,0.742,0.258,0.258,0.14850000000000002,False,Sult1a1
Excitatory Neurons,0.00491983,0.012453563,0.653,0.347,0.347,0.1882,False,Sult1a1
Medium Spiny Neurons,0.0035372402,0.009552598,0.653,0.347,0.347,0.21466666666666667,False,Sult1a1
Myocytes,-0.0067857984,0.018885218,0.348,0.652,0.348,0.23371428571428574,False,Sult1a1
Neural Stem Cells,0.007667869,0.021491552,0.64,0.36,0.36,0.2495,False,Sult1a1
Microglia,0.00646927,0.018419035,0.639,0.361,0.361,0.2618888888888889,False,Sult1a1
Endothelial Cells,0.010580189,0.030445589,0.63,0.37,0.37,0.27270000000000005,False,Sult1a1
Oligodendrocytes,0.00026562,0.010339791,0.517,0.483,0.483,0.29181818181818187,False,Sult1a1
GABAergic Neurons,-0.0006587173,0.019501235,0.505,0.495,0.495,0.30875,False,Sult1a1
