,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.014045359,0.01144173,0.894,0.106,0.106,0.106,False,Plxdc2
Neurons,0.009737343,0.013615801,0.763,0.237,0.237,0.17149999999999999,False,Plxdc2
Microglia,-0.0134631675,0.019333592,0.245,0.755,0.245,0.19599999999999998,False,Plxdc2
Endocrine Cells,0.017778322,0.027941242,0.744,0.256,0.256,0.211,False,Plxdc2
Myocytes,0.009918528,0.018836211,0.691,0.309,0.309,0.2306,False,Plxdc2
Excitatory Neurons,0.0041468213,0.012531489,0.627,0.373,0.373,0.25433333333333336,False,Plxdc2
Astrocytes,0.004044951,0.016368007,0.626,0.374,0.374,0.2714285714285714,False,Plxdc2
Endothelial Cells,-0.009858544,0.030763479,0.383,0.617,0.383,0.285375,False,Plxdc2
Oligodendrocytes,-0.00351512,0.0098962365,0.392,0.608,0.392,0.2972222222222222,False,Plxdc2
Neural Stem Cells,0.0048328475,0.021463485,0.594,0.406,0.406,0.3081,False,Plxdc2
Medium Spiny Neurons,0.00052857096,0.009529508,0.547,0.453,0.453,0.32127272727272727,False,Plxdc2
GABAergic Neurons,-0.0008665652,0.019717269,0.503,0.497,0.497,0.33591666666666664,False,Plxdc2
