,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.034591194,0.018962905,0.966,0.034,0.034,0.034,True,Flna
Oligodendrocyte Precursor Cells,0.015541074,0.0113843335,0.911,0.089,0.089,0.0615,False,Flna
Neurons,0.010203925,0.0137564065,0.77,0.23,0.23,0.11766666666666666,False,Flna
Oligodendrocytes,0.007197167,0.010278422,0.763,0.237,0.237,0.1475,False,Flna
Endocrine Cells,0.016930673,0.028196706,0.734,0.266,0.266,0.1712,False,Flna
Neural Stem Cells,0.0082648825,0.020890811,0.651,0.349,0.349,0.20083333333333334,False,Flna
Excitatory Neurons,0.0044229752,0.012483791,0.638,0.362,0.362,0.2238571428571429,False,Flna
Astrocytes,0.00440218,0.016413214,0.632,0.368,0.368,0.241875,False,Flna
Endothelial Cells,-0.006281293,0.030427177,0.421,0.579,0.421,0.2617777777777778,False,Flna
Medium Spiny Neurons,0.0014931296,0.009526002,0.579,0.421,0.421,0.27769999999999995,False,Flna
GABAergic Neurons,-0.0008616928,0.019559441,0.503,0.497,0.497,0.2976363636363636,False,Flna
Microglia,0.0010149034,0.01817665,0.5,0.5,0.5,0.31449999999999995,False,Flna
