,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.014094085,0.011294994,0.896,0.104,0.104,0.104,False,Daam2
Neurons,0.010567824,0.013786705,0.776,0.224,0.224,0.164,False,Daam2
Oligodendrocytes,-0.00594793,0.010068047,0.284,0.716,0.284,0.204,False,Daam2
Excitatory Neurons,0.00505974,0.012452954,0.654,0.346,0.346,0.2395,False,Daam2
Astrocytes,0.0053477325,0.01654691,0.647,0.353,0.353,0.2622,False,Daam2
Medium Spiny Neurons,0.002506802,0.009545477,0.619,0.381,0.381,0.282,False,Daam2
Endothelial Cells,-0.007976082,0.03099487,0.401,0.599,0.401,0.299,False,Daam2
Myocytes,0.003931564,0.018720664,0.586,0.414,0.414,0.313375,False,Daam2
Neural Stem Cells,0.004255462,0.021499848,0.585,0.415,0.415,0.32466666666666666,False,Daam2
Endocrine Cells,0.004232515,0.027788693,0.562,0.438,0.438,0.336,False,Daam2
Microglia,-0.0011665417,0.018094545,0.465,0.535,0.465,0.3477272727272727,False,Daam2
GABAergic Neurons,-0.0011684608,0.019509505,0.498,0.502,0.498,0.36025,False,Daam2
