,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.012788599,0.011464243,0.869,0.131,0.131,0.131,False,Adgrg1
Oligodendrocytes,0.008956476,0.010032736,0.814,0.186,0.186,0.1585,False,Adgrg1
Neurons,0.010085417,0.013779505,0.767,0.233,0.233,0.18333333333333335,False,Adgrg1
Myocytes,0.0144650955,0.018760247,0.765,0.235,0.235,0.19625,False,Adgrg1
Microglia,-0.008926705,0.018197056,0.322,0.678,0.322,0.22139999999999999,False,Adgrg1
Excitatory Neurons,0.0054114773,0.012444299,0.661,0.339,0.339,0.241,False,Adgrg1
Neural Stem Cells,0.004108889,0.021313548,0.581,0.419,0.419,0.2664285714285714,False,Adgrg1
Medium Spiny Neurons,0.0011372853,0.009584514,0.564,0.436,0.436,0.287625,False,Adgrg1
Endothelial Cells,-0.0047326167,0.030913252,0.446,0.554,0.446,0.3052222222222223,False,Adgrg1
Endocrine Cells,0.001832489,0.027756669,0.535,0.465,0.465,0.32120000000000004,False,Adgrg1
Astrocytes,-0.0020397173,0.01650735,0.469,0.531,0.469,0.3346363636363636,False,Adgrg1
GABAergic Neurons,-0.0003778046,0.019514414,0.509,0.491,0.491,0.3476666666666666,False,Adgrg1
