,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.03298407,0.018806135,0.963,0.037,0.037,0.037,True,Tubb2b
Oligodendrocyte Precursor Cells,0.0185577,0.011636814,0.947,0.053,0.053,0.045,True,Tubb2b
Neural Stem Cells,0.02911705,0.020605747,0.913,0.087,0.087,0.059,False,Tubb2b
Neurons,0.009969037,0.013712345,0.766,0.234,0.234,0.10275000000000001,False,Tubb2b
Excitatory Neurons,0.0052877176,0.012511304,0.656,0.344,0.344,0.151,False,Tubb2b
Endocrine Cells,0.007931674,0.027750436,0.616,0.384,0.384,0.18983333333333333,False,Tubb2b
Medium Spiny Neurons,0.0023836608,0.009557535,0.611,0.389,0.389,0.21828571428571428,False,Tubb2b
Astrocytes,0.0031917272,0.016590785,0.6,0.4,0.4,0.241,False,Tubb2b
Endothelial Cells,-0.007584691,0.030925114,0.406,0.594,0.406,0.25933333333333336,False,Tubb2b
Microglia,-0.000690194,0.018162372,0.473,0.527,0.473,0.2807,False,Tubb2b
Oligodendrocytes,0.00039744447,0.0102687385,0.522,0.478,0.478,0.29863636363636364,False,Tubb2b
GABAergic Neurons,-0.0015445139,0.019600844,0.492,0.508,0.492,0.31475000000000003,False,Tubb2b
