,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.0132178115,0.011263624,0.883,0.117,0.117,0.117,False,Cdh5
Neurons,0.009591818,0.013813417,0.757,0.243,0.243,0.18,False,Cdh5
Myocytes,-0.008841194,0.018915128,0.319,0.681,0.319,0.22633333333333336,False,Cdh5
Excitatory Neurons,0.0049963472,0.012434459,0.654,0.346,0.346,0.25625,False,Cdh5
Endothelial Cells,-0.012094947,0.03030894,0.35,0.65,0.35,0.275,False,Cdh5
Astrocytes,0.0046105892,0.016250616,0.637,0.363,0.363,0.2896666666666667,False,Cdh5
Medium Spiny Neurons,0.0018019452,0.009547822,0.59,0.41,0.41,0.3068571428571429,False,Cdh5
Neural Stem Cells,0.0032647178,0.02156374,0.566,0.434,0.434,0.32275000000000004,False,Cdh5
Endocrine Cells,-0.0031486568,0.027864149,0.461,0.539,0.461,0.33811111111111114,False,Cdh5
Microglia,-0.0014189414,0.01807016,0.461,0.539,0.461,0.3504,False,Cdh5
Oligodendrocytes,-0.00060282915,0.010360748,0.487,0.513,0.487,0.3628181818181818,False,Cdh5
GABAergic Neurons,-0.0009346699,0.019479007,0.502,0.498,0.498,0.3740833333333333,False,Cdh5
