,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.026510503,0.009465268,0.003,0.997,0.003,0.003,True,Nkx6-2
Oligodendrocyte Precursor Cells,0.013250428,0.01126706,0.883,0.117,0.117,0.060000000000000005,False,Nkx6-2
Neurons,0.008632851,0.013809091,0.732,0.268,0.268,0.12933333333333333,False,Nkx6-2
Excitatory Neurons,0.0049337554,0.0124368,0.653,0.347,0.347,0.18375,False,Nkx6-2
Myocytes,0.005637115,0.018715259,0.619,0.381,0.381,0.2232,False,Nkx6-2
Endothelial Cells,-0.0091299135,0.03106418,0.393,0.607,0.393,0.2515,False,Nkx6-2
Medium Spiny Neurons,0.0015015573,0.009592403,0.579,0.421,0.421,0.27571428571428575,False,Nkx6-2
Neural Stem Cells,0.0034642785,0.021523304,0.568,0.432,0.432,0.29525,False,Nkx6-2
Endocrine Cells,0.003008078,0.027708245,0.544,0.456,0.456,0.3131111111111111,False,Nkx6-2
Microglia,-0.00139459,0.018072661,0.461,0.539,0.461,0.32789999999999997,False,Nkx6-2
Astrocytes,-0.0022291297,0.016313957,0.465,0.535,0.465,0.34036363636363637,False,Nkx6-2
GABAergic Neurons,-0.0013530242,0.019477444,0.496,0.504,0.496,0.35333333333333333,False,Nkx6-2
