,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.028684167,0.027981143,0.841,0.159,0.159,0.159,False,Sema6a
Oligodendrocytes,-0.009117639,0.009501855,0.161,0.839,0.161,0.16,False,Sema6a
Oligodendrocyte Precursor Cells,0.010617298,0.011662217,0.815,0.185,0.185,0.16833333333333333,False,Sema6a
Neurons,0.00855182,0.013627569,0.732,0.268,0.268,0.19325,False,Sema6a
Myocytes,0.010877323,0.018820211,0.705,0.295,0.295,0.2136,False,Sema6a
Endothelial Cells,-0.012205171,0.030867307,0.351,0.649,0.351,0.23650000000000002,False,Sema6a
Excitatory Neurons,0.0046623233,0.0124966325,0.643,0.357,0.357,0.2537142857142857,False,Sema6a
Astrocytes,0.0027863751,0.016324833,0.588,0.412,0.412,0.2735,False,Sema6a
Microglia,-0.0010661831,0.018092161,0.466,0.534,0.466,0.2948888888888889,False,Sema6a
Medium Spiny Neurons,0.00023972435,0.0095749665,0.531,0.469,0.469,0.3123,False,Sema6a
Neural Stem Cells,0.0012493947,0.021309014,0.523,0.477,0.477,0.32727272727272727,False,Sema6a
GABAergic Neurons,-0.0006176742,0.019718423,0.505,0.495,0.495,0.34125,False,Sema6a
