,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.23393637,0.019215943,0.0,1.0,0.0,0.0,True,Ldha
Neural Stem Cells,-0.03865456,0.021139996,0.037,0.963,0.037,0.0185,True,Ldha
Oligodendrocyte Precursor Cells,0.015484565,0.011760239,0.907,0.093,0.093,0.043333333333333335,True,Ldha
Neurons,0.007327982,0.013178555,0.714,0.286,0.286,0.104,False,Ldha
Astrocytes,0.0050340714,0.01667148,0.641,0.359,0.359,0.15499999999999997,False,Ldha
GABAergic Neurons,-0.007485055,0.020207388,0.367,0.633,0.367,0.19033333333333333,False,Ldha
Oligodendrocytes,0.0027786451,0.010054724,0.613,0.387,0.387,0.21842857142857142,False,Ldha
Endocrine Cells,-0.00606785,0.028033415,0.419,0.581,0.419,0.2435,False,Ldha
Endothelial Cells,-0.00540069,0.03035212,0.431,0.569,0.431,0.2643333333333333,False,Ldha
Medium Spiny Neurons,-0.0013142579,0.00949044,0.451,0.549,0.451,0.28300000000000003,False,Ldha
Excitatory Neurons,-0.0014039342,0.013471729,0.462,0.538,0.462,0.2992727272727273,False,Ldha
Microglia,0.000864388,0.018442066,0.498,0.502,0.498,0.31583333333333335,False,Ldha
