,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013617861,0.011263763,0.889,0.111,0.111,0.111,False,Naaa
Neurons,0.009525821,0.013806269,0.757,0.243,0.243,0.177,False,Naaa
Excitatory Neurons,0.005140644,0.012461298,0.654,0.346,0.346,0.2333333333333333,False,Naaa
Myocytes,0.007590979,0.018739777,0.653,0.347,0.347,0.26175,False,Naaa
Endocrine Cells,0.0068963706,0.027807992,0.605,0.395,0.395,0.2884,False,Naaa
Astrocytes,0.0032071287,0.0165091,0.6,0.4,0.4,0.307,False,Naaa
Endothelial Cells,-0.007896393,0.03096418,0.401,0.599,0.401,0.32042857142857145,False,Naaa
Neural Stem Cells,-0.0044681244,0.021437941,0.411,0.589,0.411,0.33175000000000004,False,Naaa
Microglia,-0.0023045058,0.018105865,0.436,0.564,0.436,0.3433333333333334,False,Naaa
Medium Spiny Neurons,0.0006984722,0.009572578,0.554,0.446,0.446,0.3536,False,Naaa
Oligodendrocytes,-0.00054863124,0.010321072,0.488,0.512,0.488,0.3658181818181819,False,Naaa
GABAergic Neurons,-0.0012565816,0.019514484,0.496,0.504,0.496,0.37666666666666676,False,Naaa
