,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.014826043,0.01138396,0.903,0.097,0.097,0.097,False,Tac1
Myocytes,0.011607097,0.018742744,0.718,0.282,0.282,0.1895,False,Tac1
Endocrine Cells,0.011583618,0.02776614,0.669,0.331,0.331,0.23666666666666666,False,Tac1
Neurons,0.0052860365,0.013657968,0.661,0.339,0.339,0.26225,False,Tac1
Excitatory Neurons,0.004930829,0.012445192,0.653,0.347,0.347,0.2792,False,Tac1
Medium Spiny Neurons,-0.0041770414,0.009655699,0.348,0.652,0.348,0.29066666666666663,False,Tac1
GABAergic Neurons,-0.008075504,0.01991423,0.352,0.648,0.352,0.2994285714285714,False,Tac1
Astrocytes,0.0035056192,0.016211547,0.609,0.391,0.391,0.31087499999999996,False,Tac1
Endothelial Cells,-0.007963144,0.031075507,0.401,0.599,0.401,0.3208888888888889,False,Tac1
Neural Stem Cells,0.0020657345,0.02154527,0.538,0.462,0.462,0.335,False,Tac1
Oligodendrocytes,-0.0007499992,0.010309643,0.48,0.52,0.48,0.3481818181818182,False,Tac1
Microglia,-0.00037882614,0.018086864,0.481,0.519,0.481,0.35925,False,Tac1
