,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.033678282,0.009521319,0.0,1.0,0.0,0.0,True,Prr5l
Oligodendrocyte Precursor Cells,0.01350317,0.011252059,0.888,0.112,0.112,0.056,False,Prr5l
Neurons,0.0095305955,0.0138274785,0.757,0.243,0.243,0.11833333333333333,False,Prr5l
Myocytes,0.011718852,0.018747838,0.719,0.281,0.281,0.159,False,Prr5l
Endothelial Cells,-0.014874148,0.030854493,0.312,0.688,0.312,0.1896,False,Prr5l
Excitatory Neurons,0.004780432,0.012439347,0.65,0.35,0.35,0.21633333333333335,False,Prr5l
Medium Spiny Neurons,0.0029790301,0.009591883,0.636,0.364,0.364,0.2374285714285714,False,Prr5l
Astrocytes,0.0026033823,0.016255135,0.584,0.416,0.416,0.25975,False,Prr5l
Endocrine Cells,0.004039367,0.027725684,0.561,0.439,0.439,0.2796666666666667,False,Prr5l
Neural Stem Cells,0.00064076437,0.021514375,0.511,0.489,0.489,0.3006,False,Prr5l
Microglia,0.0007447741,0.018115118,0.496,0.504,0.496,0.31836363636363635,False,Prr5l
GABAergic Neurons,-0.0010935009,0.01948076,0.499,0.501,0.499,0.33341666666666664,False,Prr5l
