,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.028846757,0.018793514,0.94,0.06,0.06,0.06,False,Htr2c
Oligodendrocyte Precursor Cells,0.013600228,0.011301704,0.888,0.112,0.112,0.086,False,Htr2c
Neurons,0.00607346,0.013584401,0.677,0.323,0.323,0.165,False,Htr2c
Excitatory Neurons,0.0047152387,0.012524274,0.647,0.353,0.353,0.212,False,Htr2c
Endothelial Cells,-0.010918691,0.03083426,0.362,0.638,0.362,0.242,False,Htr2c
Astrocytes,0.0038452956,0.016231705,0.62,0.38,0.38,0.26499999999999996,False,Htr2c
Medium Spiny Neurons,-0.0021734335,0.009533465,0.415,0.585,0.415,0.2864285714285714,False,Htr2c
Neural Stem Cells,0.003892309,0.021551643,0.576,0.424,0.424,0.303625,False,Htr2c
GABAergic Neurons,-0.004400072,0.019689633,0.425,0.575,0.425,0.31711111111111107,False,Htr2c
Endocrine Cells,0.0045236973,0.027715208,0.568,0.432,0.432,0.32859999999999995,False,Htr2c
Microglia,-0.001125578,0.018077808,0.466,0.534,0.466,0.34109090909090906,False,Htr2c
Oligodendrocytes,-0.0012827924,0.010338407,0.466,0.534,0.466,0.3515,False,Htr2c
