,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.01852453,0.0117247235,0.946,0.054,0.054,0.054,False,Gnal
Medium Spiny Neurons,-0.016342375,0.011088096,0.066,0.934,0.066,0.06,False,Gnal
Myocytes,0.017257985,0.018793609,0.811,0.189,0.189,0.103,False,Gnal
Neurons,0.010720731,0.013095247,0.793,0.207,0.207,0.129,False,Gnal
Excitatory Neurons,0.0067427075,0.012947217,0.7,0.3,0.3,0.1632,False,Gnal
Astrocytes,0.006014306,0.01655469,0.659,0.341,0.341,0.19283333333333333,False,Gnal
Endocrine Cells,0.010820649,0.02777511,0.657,0.343,0.343,0.21428571428571427,False,Gnal
GABAergic Neurons,0.005120438,0.021084394,0.612,0.388,0.388,0.236,False,Gnal
Endothelial Cells,-0.007949468,0.030852493,0.401,0.599,0.401,0.2543333333333333,False,Gnal
Microglia,-0.0011673959,0.018313,0.466,0.534,0.466,0.27549999999999997,False,Gnal
Neural Stem Cells,0.00064626103,0.02131045,0.511,0.489,0.489,0.2949090909090909,False,Gnal
Oligodendrocytes,-0.0004847377,0.0100423265,0.49,0.51,0.49,0.31116666666666665,False,Gnal
