,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.045999415,0.019465856,0.006,0.994,0.006,0.006,True,Jun
Endocrine Cells,0.038914766,0.02833343,0.915,0.085,0.085,0.045500000000000006,True,Jun
Neural Stem Cells,0.023780635,0.020319087,0.874,0.126,0.126,0.07233333333333335,False,Jun
Neurons,0.010049305,0.01332313,0.771,0.229,0.229,0.11150000000000002,False,Jun
Endothelial Cells,-0.020880489,0.030096365,0.249,0.751,0.249,0.139,False,Jun
Excitatory Neurons,0.004476545,0.01300184,0.632,0.368,0.368,0.1771666666666667,False,Jun
Microglia,-0.005054451,0.018503087,0.383,0.617,0.383,0.2065714285714286,False,Jun
Medium Spiny Neurons,0.0016960191,0.009503297,0.588,0.412,0.412,0.23225,False,Jun
Oligodendrocytes,-0.00082329975,0.009117327,0.474,0.526,0.474,0.25911111111111107,False,Jun
Astrocytes,-0.0016816409,0.016718257,0.477,0.523,0.477,0.2809,False,Jun
GABAergic Neurons,-0.00070915325,0.01994939,0.505,0.495,0.495,0.30036363636363633,False,Jun
Oligodendrocyte Precursor Cells,-0.0003194163,0.011879444,0.498,0.502,0.498,0.3168333333333333,False,Jun
