,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.046397813,0.018979056,0.992,0.008,0.008,0.008,True,Ahi1
Oligodendrocyte Precursor Cells,0.017610222,0.011758012,0.935,0.065,0.065,0.036500000000000005,True,Ahi1
Endocrine Cells,-0.032874055,0.028021537,0.109,0.891,0.109,0.06066666666666667,False,Ahi1
Oligodendrocytes,0.00732188,0.009942017,0.768,0.232,0.232,0.10350000000000001,False,Ahi1
Medium Spiny Neurons,0.006138143,0.009507014,0.746,0.254,0.254,0.1336,False,Ahi1
Astrocytes,0.0074650035,0.016559403,0.69,0.31,0.31,0.163,False,Ahi1
Neural Stem Cells,-0.008293804,0.021037824,0.337,0.663,0.337,0.18785714285714286,False,Ahi1
GABAergic Neurons,-0.0066531166,0.020769227,0.382,0.618,0.382,0.212125,False,Ahi1
Neurons,-0.003529912,0.012043449,0.389,0.611,0.389,0.2317777777777778,False,Ahi1
Excitatory Neurons,0.003865417,0.013027613,0.609,0.391,0.391,0.24770000000000003,False,Ahi1
Endothelial Cells,-0.0064495928,0.03088299,0.419,0.581,0.419,0.2632727272727273,False,Ahi1
Microglia,0.0013356217,0.018240543,0.511,0.489,0.489,0.28208333333333335,False,Ahi1
