,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.037615173,0.009123786,0.0,1.0,0.0,0.0,True,Ccp110
Myocytes,0.02864248,0.018841479,0.939,0.061,0.061,0.0305,True,Ccp110
Oligodendrocyte Precursor Cells,0.013371153,0.011408526,0.883,0.117,0.117,0.05933333333333333,False,Ccp110
Endocrine Cells,0.018792951,0.027998315,0.754,0.246,0.246,0.106,False,Ccp110
Neurons,0.008990702,0.013686115,0.742,0.258,0.258,0.1364,False,Ccp110
Excitatory Neurons,0.004781384,0.012564068,0.649,0.351,0.351,0.17216666666666666,False,Ccp110
Neural Stem Cells,0.006539578,0.021205513,0.629,0.371,0.371,0.20057142857142857,False,Ccp110
Medium Spiny Neurons,0.0024284078,0.009564413,0.614,0.386,0.386,0.22375,False,Ccp110
Astrocytes,0.0032362952,0.016337933,0.6,0.4,0.4,0.24333333333333332,False,Ccp110
Endothelial Cells,-0.008002877,0.03095429,0.401,0.599,0.401,0.2591,False,Ccp110
Microglia,-0.0013022587,0.01811589,0.462,0.538,0.462,0.2775454545454546,False,Ccp110
GABAergic Neurons,-0.0010620047,0.019685272,0.5,0.5,0.5,0.29608333333333337,False,Ccp110
