,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.015995052,0.011399398,0.921,0.079,0.079,0.079,False,Vcl
Myocytes,-0.02375285,0.018841946,0.105,0.895,0.105,0.092,False,Vcl
Neurons,0.011522202,0.0137410695,0.798,0.202,0.202,0.12866666666666668,False,Vcl
Astrocytes,0.010273125,0.016857237,0.74,0.26,0.26,0.1615,False,Vcl
Medium Spiny Neurons,0.004526483,0.009513107,0.697,0.303,0.303,0.18980000000000002,False,Vcl
Neural Stem Cells,0.011095681,0.021301618,0.695,0.305,0.305,0.209,False,Vcl
Excitatory Neurons,0.005372641,0.012493263,0.659,0.341,0.341,0.22785714285714284,False,Vcl
Endocrine Cells,0.008812142,0.028074868,0.632,0.368,0.368,0.245375,False,Vcl
Endothelial Cells,-0.0065892763,0.030642143,0.415,0.585,0.415,0.26422222222222225,False,Vcl
Oligodendrocytes,0.0016693921,0.010320636,0.573,0.427,0.427,0.2805,False,Vcl
GABAergic Neurons,-0.00028007585,0.019627761,0.51,0.49,0.49,0.29954545454545456,False,Vcl
Microglia,0.00034679106,0.01812279,0.492,0.508,0.492,0.3155833333333333,False,Vcl
