,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.012877935,0.011253358,0.877,0.123,0.123,0.123,False,Acvrl1
Neurons,0.009729929,0.013814996,0.759,0.241,0.241,0.182,False,Acvrl1
Excitatory Neurons,0.004928348,0.012436203,0.653,0.347,0.347,0.237,False,Acvrl1
Astrocytes,0.004523164,0.016214894,0.636,0.364,0.364,0.26875,False,Acvrl1
Myocytes,-0.005461923,0.018714793,0.379,0.621,0.379,0.2908,False,Acvrl1
Endocrine Cells,0.007275343,0.027823213,0.611,0.389,0.389,0.30716666666666664,False,Acvrl1
Medium Spiny Neurons,-0.0024081697,0.009526382,0.406,0.594,0.406,0.3212857142857143,False,Acvrl1
Neural Stem Cells,0.003531746,0.021572037,0.571,0.429,0.429,0.33475,False,Acvrl1
Endothelial Cells,-0.0037373332,0.03041444,0.457,0.543,0.457,0.34833333333333333,False,Acvrl1
Microglia,-0.00049659074,0.018108571,0.476,0.524,0.476,0.3611,False,Acvrl1
Oligodendrocytes,-0.00071008207,0.010364668,0.484,0.516,0.484,0.37227272727272726,False,Acvrl1
GABAergic Neurons,-0.0011502085,0.019476429,0.498,0.502,0.498,0.38275,False,Acvrl1
