,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Medium Spiny Neurons,-0.032142375,0.009793763,0.0,1.0,0.0,0.0,True,Mbp
Myocytes,0.30005005,0.01997544,1.0,0.0,0.0,0.0,True,Mbp
Neural Stem Cells,0.08303952,0.016605468,1.0,0.0,0.0,0.0,True,Mbp
Oligodendrocytes,-0.10460861,0.015241145,0.0,1.0,0.0,0.0,True,Mbp
Excitatory Neurons,-0.037086874,0.013701928,0.002,0.998,0.002,0.0004,True,Mbp
Endocrine Cells,0.08472264,0.028384814,0.997,0.003,0.003,0.0008333333333333334,True,Mbp
Oligodendrocyte Precursor Cells,-0.030492622,0.0120388875,0.006,0.994,0.006,0.0015714285714285713,True,Mbp
Endothelial Cells,-0.06238245,0.02914248,0.022,0.978,0.022,0.004125,True,Mbp
Microglia,-0.037380334,0.02134001,0.042,0.958,0.042,0.008333333333333335,True,Mbp
Astrocytes,-0.023536986,0.018290287,0.085,0.915,0.085,0.016000000000000004,True,Mbp
Neurons,-0.008143685,0.011727998,0.243,0.757,0.243,0.03663636363636364,True,Mbp
GABAergic Neurons,-0.013520629,0.021475129,0.265,0.735,0.265,0.05566666666666667,False,Mbp
