,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.021202601,0.018827727,0.868,0.132,0.132,0.132,False,Inpp4b
Oligodendrocyte Precursor Cells,0.0108194,0.0114163235,0.828,0.172,0.172,0.152,False,Inpp4b
Neurons,0.009583386,0.013632376,0.759,0.241,0.241,0.18166666666666664,False,Inpp4b
Microglia,-0.010175613,0.018193373,0.29,0.71,0.29,0.20875,False,Inpp4b
Astrocytes,0.0054454845,0.016245918,0.649,0.351,0.351,0.2372,False,Inpp4b
Excitatory Neurons,0.0045349267,0.012479425,0.64,0.36,0.36,0.25766666666666665,False,Inpp4b
Endothelial Cells,-0.007134634,0.030861385,0.409,0.591,0.409,0.27928571428571425,False,Inpp4b
Medium Spiny Neurons,0.0008214911,0.009583793,0.555,0.445,0.445,0.3,False,Inpp4b
Endocrine Cells,0.003577894,0.02773905,0.551,0.449,0.449,0.31655555555555553,False,Inpp4b
GABAergic Neurons,-0.00033640023,0.019642845,0.51,0.49,0.49,0.3339,False,Inpp4b
Oligodendrocytes,-9.008581e-06,0.010343592,0.51,0.49,0.49,0.34809090909090906,False,Inpp4b
Neural Stem Cells,-5.789944e-05,0.021518707,0.499,0.501,0.499,0.36066666666666664,False,Inpp4b
