,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.18759078,0.019376501,1.0,0.0,0.0,0.0,True,Aldoc
Endocrine Cells,0.07023006,0.02849472,0.99,0.01,0.01,0.005,True,Aldoc
Neural Stem Cells,0.038536582,0.019235548,0.987,0.013,0.013,0.007666666666666666,True,Aldoc
Neurons,0.022575887,0.01230424,0.964,0.036,0.036,0.01475,True,Aldoc
Oligodendrocyte Precursor Cells,0.019083424,0.011815624,0.951,0.049,0.049,0.0216,True,Aldoc
Medium Spiny Neurons,0.008650569,0.009640621,0.811,0.189,0.189,0.049499999999999995,True,Aldoc
Endothelial Cells,-0.014107698,0.02879894,0.308,0.692,0.308,0.08642857142857142,False,Aldoc
Oligodendrocytes,0.0037349819,0.008757749,0.668,0.332,0.332,0.117125,False,Aldoc
Astrocytes,0.0048744394,0.019232096,0.628,0.372,0.372,0.14544444444444446,False,Aldoc
Excitatory Neurons,0.0035665203,0.013423899,0.6,0.4,0.4,0.1709,False,Aldoc
Microglia,-0.003531279,0.019529685,0.422,0.578,0.422,0.19372727272727275,False,Aldoc
GABAergic Neurons,0.002135449,0.020910764,0.55,0.45,0.45,0.21508333333333338,False,Aldoc
