,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.03249095,0.019079257,0.049,0.951,0.049,0.049,True,Sod2
Endocrine Cells,-0.032885514,0.028103547,0.109,0.891,0.109,0.079,False,Sod2
Oligodendrocyte Precursor Cells,0.013815705,0.01173097,0.884,0.116,0.116,0.09133333333333334,False,Sod2
Medium Spiny Neurons,-0.008068521,0.009483767,0.2,0.8,0.2,0.11850000000000001,False,Sod2
Neurons,0.009528322,0.013056911,0.767,0.233,0.233,0.14140000000000003,False,Sod2
Endothelial Cells,-0.010265069,0.030613868,0.376,0.624,0.376,0.18050000000000002,False,Sod2
Neural Stem Cells,-0.005899979,0.021134852,0.38,0.62,0.38,0.20900000000000002,False,Sod2
Astrocytes,0.0034261614,0.016710548,0.603,0.397,0.397,0.2325,False,Sod2
GABAergic Neurons,-0.0038197343,0.02063985,0.441,0.559,0.441,0.2556666666666667,False,Sod2
Microglia,-0.0016671018,0.018327799,0.453,0.547,0.453,0.2754,False,Sod2
Oligodendrocytes,0.0005768274,0.009921922,0.527,0.473,0.473,0.2933636363636363,False,Sod2
Excitatory Neurons,0.0005931468,0.013093936,0.521,0.479,0.479,0.30883333333333335,False,Sod2
