,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.014514393,0.0113005275,0.901,0.099,0.099,0.099,False,Lfng
Neurons,0.01055819,0.013788774,0.776,0.224,0.224,0.1615,False,Lfng
Excitatory Neurons,0.0051520527,0.012443855,0.654,0.346,0.346,0.223,False,Lfng
Medium Spiny Neurons,0.0030247315,0.009549125,0.638,0.362,0.362,0.25775000000000003,False,Lfng
Endothelial Cells,-0.00864339,0.030960625,0.395,0.605,0.395,0.2852,False,Lfng
Neural Stem Cells,-0.0034310096,0.021429958,0.425,0.575,0.425,0.30850000000000005,False,Lfng
Myocytes,0.0033223098,0.018717207,0.573,0.427,0.427,0.32542857142857146,False,Lfng
Astrocytes,-0.0028227775,0.016805373,0.449,0.551,0.449,0.340875,False,Lfng
Microglia,-0.0018035603,0.01814664,0.453,0.547,0.453,0.3533333333333333,False,Lfng
Endocrine Cells,0.0027811234,0.02777986,0.541,0.459,0.459,0.3639,False,Lfng
Oligodendrocytes,6.295458e-05,0.010343653,0.513,0.487,0.487,0.37509090909090903,False,Lfng
GABAergic Neurons,-0.00080932694,0.019489389,0.505,0.495,0.495,0.3850833333333333,False,Lfng
