,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.023675209,0.00907508,0.005,0.995,0.005,0.005,True,Erbin
Endocrine Cells,0.063962676,0.02835179,0.986,0.014,0.014,0.0095,True,Erbin
Oligodendrocyte Precursor Cells,0.013446644,0.01160689,0.877,0.123,0.123,0.04733333333333333,True,Erbin
Myocytes,0.020902652,0.018879391,0.866,0.134,0.134,0.069,False,Erbin
Neurons,0.009235179,0.013652183,0.753,0.247,0.247,0.1046,False,Erbin
Endothelial Cells,-0.011631547,0.030714007,0.354,0.646,0.354,0.14616666666666667,False,Erbin
Excitatory Neurons,0.0030444593,0.012530526,0.591,0.409,0.409,0.18371428571428572,False,Erbin
Astrocytes,0.0019727931,0.016517913,0.564,0.436,0.436,0.21525,False,Erbin
GABAergic Neurons,-0.0036865338,0.019780222,0.44,0.56,0.44,0.24022222222222223,False,Erbin
Medium Spiny Neurons,0.00043776698,0.009514251,0.542,0.458,0.458,0.262,False,Erbin
Neural Stem Cells,0.0017263459,0.020948667,0.531,0.469,0.469,0.2808181818181818,False,Erbin
Microglia,-3.053435e-05,0.018313723,0.488,0.512,0.488,0.2980833333333333,False,Erbin
