,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013347724,0.011250839,0.886,0.114,0.114,0.114,False,Pdgfb
Neurons,0.009841186,0.013822452,0.761,0.239,0.239,0.1765,False,Pdgfb
Excitatory Neurons,0.006334068,0.012498567,0.694,0.306,0.306,0.21966666666666668,False,Pdgfb
Myocytes,-0.007726221,0.018734565,0.337,0.663,0.337,0.249,False,Pdgfb
Endothelial Cells,-0.010705903,0.030648185,0.364,0.636,0.364,0.27199999999999996,False,Pdgfb
Astrocytes,0.004391076,0.016211241,0.632,0.368,0.368,0.288,False,Pdgfb
Microglia,-0.003854924,0.018251585,0.41,0.59,0.41,0.30542857142857144,False,Pdgfb
Endocrine Cells,0.0052877422,0.027766597,0.58,0.42,0.42,0.31975,False,Pdgfb
Neural Stem Cells,0.0037473696,0.021553818,0.575,0.425,0.425,0.33144444444444443,False,Pdgfb
Medium Spiny Neurons,0.0013731786,0.009578601,0.57,0.43,0.43,0.3413,False,Pdgfb
Oligodendrocytes,-0.00066678546,0.010365008,0.485,0.515,0.485,0.3543636363636363,False,Pdgfb
GABAergic Neurons,-0.001166074,0.019503824,0.498,0.502,0.498,0.36633333333333334,False,Pdgfb
