,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013333704,0.011660012,0.877,0.123,0.123,0.123,False,Rgs20
Myocytes,0.02067741,0.01878139,0.861,0.139,0.139,0.131,False,Rgs20
Neural Stem Cells,-0.019010628,0.020954132,0.18,0.82,0.18,0.14733333333333334,False,Rgs20
Neurons,0.010939829,0.01359648,0.786,0.214,0.214,0.164,False,Rgs20
Astrocytes,-0.008251662,0.016994728,0.316,0.684,0.316,0.1944,False,Rgs20
Endocrine Cells,0.011662785,0.027793258,0.671,0.329,0.329,0.21683333333333332,False,Rgs20
Excitatory Neurons,0.0041616578,0.012748774,0.625,0.375,0.375,0.2394285714285714,False,Rgs20
Endothelial Cells,-0.009223273,0.030815177,0.392,0.608,0.392,0.2585,False,Rgs20
Microglia,-0.002928748,0.01821313,0.427,0.573,0.427,0.27722222222222226,False,Rgs20
Medium Spiny Neurons,-0.0014281749,0.009593158,0.446,0.554,0.446,0.29410000000000003,False,Rgs20
GABAergic Neurons,-0.0029958945,0.019845972,0.458,0.542,0.458,0.30900000000000005,False,Rgs20
Oligodendrocytes,0.0001627917,0.010185278,0.514,0.486,0.486,0.32375000000000004,False,Rgs20
