,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.016514488,0.011385834,0.928,0.072,0.072,0.072,False,Serpina3n
Myocytes,0.023304604,0.01877876,0.89,0.11,0.11,0.091,False,Serpina3n
Oligodendrocytes,0.0124912765,0.0102811465,0.881,0.119,0.119,0.10033333333333333,False,Serpina3n
Astrocytes,0.016921235,0.016409522,0.847,0.153,0.153,0.11349999999999999,False,Serpina3n
Neurons,0.012254273,0.013745924,0.811,0.189,0.189,0.1286,False,Serpina3n
Excitatory Neurons,0.006183339,0.0124685215,0.687,0.313,0.313,0.15933333333333333,False,Serpina3n
Endocrine Cells,0.010231351,0.027798176,0.649,0.351,0.351,0.1867142857142857,False,Serpina3n
Microglia,0.0053533623,0.0181482,0.617,0.383,0.383,0.21125,False,Serpina3n
Medium Spiny Neurons,0.0021162755,0.009554127,0.599,0.401,0.401,0.23233333333333336,False,Serpina3n
Neural Stem Cells,0.0049517164,0.021515308,0.594,0.406,0.406,0.24970000000000003,False,Serpina3n
Endothelial Cells,-0.002975464,0.031037899,0.465,0.535,0.465,0.2692727272727273,False,Serpina3n
GABAergic Neurons,0.00013546391,0.019518185,0.519,0.481,0.481,0.28691666666666665,False,Serpina3n
