,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Microglia,0.05253976,0.01903217,1.0,0.0,0.0,0.0,True,Gfap
Myocytes,0.23404963,0.019548684,1.0,0.0,0.0,0.0,True,Gfap
Oligodendrocyte Precursor Cells,0.03862969,0.011688897,1.0,0.0,0.0,0.0,True,Gfap
Oligodendrocytes,0.03843418,0.009458955,1.0,0.0,0.0,0.0,True,Gfap
Neurons,0.03396899,0.013453369,0.991,0.009,0.009,0.0018,True,Gfap
Astrocytes,0.042168386,0.017663447,0.988,0.012,0.012,0.0034999999999999996,True,Gfap
Neural Stem Cells,0.037770294,0.019883003,0.979,0.021,0.021,0.005999999999999999,True,Gfap
Medium Spiny Neurons,0.018033812,0.009534327,0.961,0.039,0.039,0.010124999999999999,True,Gfap
Endothelial Cells,0.034262266,0.030132785,0.873,0.127,0.127,0.02311111111111111,True,Gfap
Endocrine Cells,0.03182723,0.027911864,0.872,0.128,0.128,0.0336,True,Gfap
Excitatory Neurons,0.009162981,0.012537384,0.767,0.233,0.233,0.051727272727272726,False,Gfap
GABAergic Neurons,0.010783812,0.019722918,0.697,0.303,0.303,0.07266666666666666,False,Gfap
