,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013699014,0.011265132,0.89,0.11,0.11,0.11,False,Irgm2
Neurons,0.009629853,0.013812525,0.757,0.243,0.243,0.1765,False,Irgm2
Myocytes,-0.011082298,0.018742127,0.283,0.717,0.283,0.21199999999999997,False,Irgm2
Excitatory Neurons,0.004725743,0.012437772,0.649,0.351,0.351,0.24674999999999997,False,Irgm2
Microglia,-0.0071040373,0.018268224,0.351,0.649,0.351,0.26759999999999995,False,Irgm2
Astrocytes,0.005143647,0.016279586,0.645,0.355,0.355,0.2821666666666666,False,Irgm2
Endocrine Cells,0.00856434,0.027944937,0.628,0.372,0.372,0.295,False,Irgm2
Endothelial Cells,-0.007884896,0.030725947,0.401,0.599,0.401,0.30825,False,Irgm2
Medium Spiny Neurons,0.0012079375,0.009549897,0.564,0.436,0.436,0.3224444444444445,False,Irgm2
Neural Stem Cells,0.0007938003,0.021441747,0.514,0.486,0.486,0.3388,False,Irgm2
Oligodendrocytes,-0.00041226574,0.010358173,0.493,0.507,0.493,0.3528181818181818,False,Irgm2
GABAergic Neurons,-0.0013581591,0.019477962,0.496,0.504,0.496,0.36474999999999996,False,Irgm2
