,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.040548168,0.01892165,0.987,0.013,0.013,0.013,True,Ets1
Oligodendrocyte Precursor Cells,0.01410245,0.01134784,0.896,0.104,0.104,0.058499999999999996,False,Ets1
Neurons,0.009440901,0.013834376,0.757,0.243,0.243,0.12,False,Ets1
Endothelial Cells,-0.012358449,0.030538127,0.347,0.653,0.347,0.17675,False,Ets1
Excitatory Neurons,0.004904059,0.012444756,0.653,0.347,0.347,0.21079999999999996,False,Ets1
Microglia,-0.0062987623,0.018208884,0.361,0.639,0.361,0.2358333333333333,False,Ets1
Astrocytes,0.003991846,0.016229615,0.626,0.374,0.374,0.2555714285714285,False,Ets1
Endocrine Cells,0.0036567526,0.027894633,0.551,0.449,0.449,0.27974999999999994,False,Ets1
Medium Spiny Neurons,0.00046599415,0.009583223,0.543,0.457,0.457,0.2994444444444444,False,Ets1
Neural Stem Cells,0.0022139011,0.021501312,0.539,0.461,0.461,0.31559999999999994,False,Ets1
Oligodendrocytes,-0.0008353983,0.01035899,0.477,0.523,0.477,0.3302727272727272,False,Ets1
GABAergic Neurons,-0.0013621717,0.01950878,0.496,0.504,0.496,0.3440833333333333,False,Ets1
