,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.040536862,0.019021079,0.987,0.013,0.013,0.013,True,Fstl1
Oligodendrocyte Precursor Cells,0.014610274,0.011328648,0.902,0.098,0.098,0.0555,False,Fstl1
Endocrine Cells,0.027828487,0.028083306,0.83,0.17,0.17,0.09366666666666668,False,Fstl1
Neurons,0.01071484,0.013668507,0.782,0.218,0.218,0.12475,False,Fstl1
Neural Stem Cells,0.015651494,0.021158647,0.762,0.238,0.238,0.1474,False,Fstl1
Endothelial Cells,-0.009103747,0.030789513,0.393,0.607,0.393,0.18833333333333332,False,Fstl1
Excitatory Neurons,0.0033051723,0.01250678,0.598,0.402,0.402,0.21885714285714286,False,Fstl1
Astrocytes,0.0023287984,0.016437784,0.574,0.426,0.426,0.24475,False,Fstl1
Medium Spiny Neurons,-0.0013240939,0.009514035,0.449,0.551,0.449,0.26744444444444443,False,Fstl1
Microglia,-0.001341361,0.01808457,0.462,0.538,0.462,0.28690000000000004,False,Fstl1
GABAergic Neurons,-0.0027955165,0.019665591,0.465,0.535,0.465,0.3030909090909091,False,Fstl1
Oligodendrocytes,-0.0008306824,0.010327823,0.477,0.523,0.477,0.31758333333333333,False,Fstl1
