,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.04466624,0.01894409,0.99,0.01,0.01,0.01,True,Rbp1
Endocrine Cells,0.063047394,0.028299568,0.984,0.016,0.016,0.013000000000000001,True,Rbp1
Oligodendrocyte Precursor Cells,0.013231328,0.0112667885,0.883,0.117,0.117,0.04766666666666667,True,Rbp1
Neurons,0.008429986,0.013805341,0.728,0.272,0.272,0.10375000000000001,False,Rbp1
Excitatory Neurons,0.0044128187,0.012449466,0.639,0.361,0.361,0.1552,False,Rbp1
Astrocytes,0.003268984,0.01641691,0.601,0.399,0.399,0.19583333333333333,False,Rbp1
Neural Stem Cells,0.004179527,0.021436563,0.583,0.417,0.417,0.22742857142857145,False,Rbp1
Microglia,-0.001652402,0.018073255,0.453,0.547,0.453,0.255625,False,Rbp1
Endothelial Cells,-0.004045597,0.030623836,0.454,0.546,0.454,0.2776666666666667,False,Rbp1
Oligodendrocytes,-0.0014262774,0.010349101,0.461,0.539,0.461,0.296,False,Rbp1
GABAergic Neurons,-0.0018671323,0.019502409,0.485,0.515,0.485,0.3131818181818182,False,Rbp1
Medium Spiny Neurons,-0.00035313048,0.009538644,0.5,0.5,0.5,0.32875,False,Rbp1
