,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Neurons,0.011675295,0.013232229,0.81,0.19,0.19,0.19,False,Serpine2
Myocytes,-0.0142422775,0.018897051,0.229,0.771,0.229,0.20950000000000002,False,Serpine2
Endothelial Cells,-0.016374705,0.030052166,0.293,0.707,0.293,0.2373333333333333,False,Serpine2
Oligodendrocyte Precursor Cells,0.004199562,0.011984896,0.645,0.355,0.355,0.26675,False,Serpine2
Astrocytes,-0.0067735747,0.017308721,0.357,0.643,0.357,0.2848,False,Serpine2
Endocrine Cells,0.007911304,0.028123267,0.616,0.384,0.384,0.3013333333333333,False,Serpine2
Excitatory Neurons,0.0036189426,0.012697757,0.605,0.395,0.395,0.31471428571428567,False,Serpine2
Neural Stem Cells,0.003518972,0.021068627,0.572,0.428,0.428,0.328875,False,Serpine2
Medium Spiny Neurons,0.0012322512,0.009501095,0.568,0.432,0.432,0.3403333333333333,False,Serpine2
Microglia,0.0023465948,0.0189499,0.532,0.468,0.468,0.35309999999999997,False,Serpine2
Oligodendrocytes,-0.00092626945,0.00987636,0.474,0.526,0.474,0.3640909090909091,False,Serpine2
GABAergic Neurons,-0.0001583099,0.020018341,0.514,0.486,0.486,0.37424999999999997,False,Serpine2
